Cluster,Gene,Score,Adjusted p-value
0,PFN1,5.1078568,3.889071634081973e-05
0,IRF1,5.079672,4.481615940874672e-05
0,MYBL1,5.058474,4.946083265781554e-05
0,STK38,5.026085,5.783463887966734e-05
0,AOAH,5.006723,6.355641766382597e-05
0,SLC38A1,5.0022225,6.464676315244929e-05
0,BHLHE40,5.0006833,6.475531000148463e-05
0,CD52,4.987005,6.883634981736872e-05
0,PDE4D,4.981084,6.99127423052331e-05
0,PTPRC,4.9623733,7.560657338452083e-05
0,NFATC2,4.9443135,8.246621822457381e-05
0,RSRP1,4.9356093,8.571753008081436e-05
0,SLFN12L,4.919918,9.179053519236883e-05
0,PRKCH,4.884924,0.00010905372428377399
0,IL10RA,4.883562,0.0001091715717674887
0,KLRC4,4.8138103,0.00015163829460157488
0,CAPN2,4.8091917,0.00015430715371458187
0,PIK3CD,4.7990074,0.00015989381651249494
0,SIPA1,4.7808886,0.00017282484369901646
0,RIPOR2,4.7744346,0.0001774851733010071
0,SLC44A2,4.770171,0.00018029801531491
0,PRSS23,4.7588615,0.00018966798635009505
0,ANKRD44,4.7467823,0.0002002665627624497
0,PXN,4.733223,0.00021298226535509902
0,C1orf21,4.730203,0.00021502522408341923
0,RAC2,4.7119064,0.00023402227113357603
0,SKAP1,4.649912,0.00030850643598013367
0,RBL2,4.6472473,0.00031091422226843497
0,HCLS1,4.641326,0.0003183270006770497
0,ESYT2,4.6240954,0.0003442088685401331
0,PRR5L,4.583713,0.0004116376101390542
0,CFLAR,4.5772586,0.00042242738599157053
0,ATP2B4,4.563107,0.00044970138966867514
0,FAM49B,4.516507,0.000555348696708135
0,NFATC3,4.5155005,0.000555348696708135
0,PPP2R5C,4.5073295,0.000574361976832942
0,LENG8,4.4885592,0.0006243312210342034
0,RASGRP1,4.480921,0.0006394513283236356
0,ZC3HAV1,4.4786115,0.000641738861542461
0,TLE5,4.453506,0.000714822708268597
0,GBP5,4.446637,0.0007346051929699255
0,PRKCB,4.4380517,0.0007574406746557316
0,ITGB7,4.431479,0.0007773056153297249
0,ARHGAP25,4.4139524,0.0008353153537613755
0,KLRG1,4.3727407,0.000996106625088306
0,BTG2,4.356576,0.001067744528884188
0,RABGAP1L,4.3550363,0.001070476019551985
0,CD99,4.352964,0.0010758465864617048
0,RASAL3,4.3510695,0.0010803852762943243
0,CD300A,4.342957,0.00111613605774368
0,MACF1,4.318325,0.0012427789677895448
0,ARHGAP30,4.316845,0.0012456758050625912
0,CCL4,4.3151274,0.001249940055005958
0,RGS3,4.282798,0.0014214894182043416
0,PSD4,4.2542577,0.0015950248197606819
0,CD96,4.2502904,0.00161671910867764
0,PLAC8,4.245139,0.0016473915452807095
0,CASP8,4.2426524,0.0016588190761250255
0,IFI16,4.236435,0.0016983249603437917
0,PARP8,4.201855,0.0019395712001285864
0,EHD1,4.196704,0.0019761657774476577
0,HCST,4.1724863,0.0021896055432732062
0,ATP8A1,4.16846,0.0022196880322834568
0,FCGR3A,4.15644,0.0023303414055856763
0,CSRNP1,4.1223927,0.0026816872532811347
0,ZFP36L2,4.118485,0.002716783337521016
0,STAT4,4.113807,0.0027615402853036547
0,SEPTIN1,4.1042147,0.0028673567248117234
0,NR4A2,4.077984,0.003173439333739114
0,TAPBP,4.0703454,0.0032564800476766074
0,GIMAP4,4.0692797,0.0032564800476766074
0,UBR2,4.050332,0.0034916174956703006
0,MCTP2,4.043345,0.0035837897744737134
0,ARHGDIB,4.015989,0.003963434693875246
0,TRAF3IP3,4.0025477,0.004167501402680242
0,PDZD4,3.9946728,0.004276909641273118
0,FCMR,3.9931333,0.004287377224602005
0,BRD2,3.9923635,0.004287377224602005
0,TGOLN2,3.977442,0.004548887372701797
0,METRNL,3.9745998,0.0045585826975986015
0,MAPK1,3.9745407,0.0045585826975986015
0,LIMD2,3.974363,0.0045585826975986015
0,SLAMF6,3.9677312,0.004670536984674664
0,BIN1,3.959797,0.004811277451613118
0,DDIT4,3.950086,0.004957789335853666
0,CYBA,3.934987,0.005224859337959253
0,ABCA2,3.9339805,0.005228582910970841
0,TRAPPC10,3.9233816,0.0054078104646853265
0,NOTCH1,3.9161577,0.005534316194386681
0,FBXW5,3.9119537,0.00561241628050526
0,CCDC88B,3.8888018,0.0061547227524024655
0,SH2D2A,3.862571,0.0068086875201344935
0,CNOT6L,3.860617,0.006840339423990893
0,PTPN12,3.8521497,0.0070341029938493435
0,KLRC3,3.8398335,0.007347520975473338
0,FAM53B,3.8359256,0.007440720989906143
0,ACTG1,3.8342085,0.007468239326313882
0,NLRC3,3.807504,0.008267995923920725
0,ADAM8,3.8032405,0.008331974124475654
0,RALGDS,3.8031814,0.008331974124475654
0,EMP3,3.7826347,0.008936581980676301
0,PLEK,3.7820427,0.008936581980676301
0,DIAPH1,3.7818058,0.008936581980676301
0,PIP4K2A,3.7783716,0.009031938811981575
0,DDX6,3.7747595,0.009105993427023255
0,ATP2A3,3.7680688,0.009294863904617838
0,DDX5,3.7595422,0.009562024759867263
0,DENND1C,3.7594237,0.009562024759867263
0,ARRDC3,3.7579434,0.009588883807917312
0,RBM33,3.7269163,0.010749288735988615
0,SLA2,3.7249625,0.010799538297594823
0,PACS1,3.7241926,0.010799538297594823
0,ATXN1,3.7155478,0.011107645087480685
0,SYTL2,3.71312,0.01117836969154303
0,ARHGEF3,3.7003303,0.01168884125153111
0,RESF1,3.6936986,0.011962065512969354
0,GRK2,3.6920998,0.012001490758017116
0,MAP3K8,3.6895537,0.012086051908332642
0,TAP1,3.6800797,0.012489899294804204
0,CLK1,3.6796653,0.012489899294804204
0,FGD3,3.676468,0.01261000129495158
0,FAM107B,3.6543818,0.013706112523432167
0,JUNB,3.6479278,0.014013623356698167
0,DOCK11,3.6300457,0.01484649942739675
0,ARHGAP45,3.6196244,0.015368041048556845
0,PCSK7,3.612282,0.015764362803789688
0,CDKN1B,3.6037557,0.01619756242182019
0,RNF149,3.6029859,0.01619920743807469
0,C12orf75,3.599078,0.016304817456133908
0,AAK1,3.599078,0.016304817456133908
0,CD69,3.5928013,0.016608670790389503
0,SP100,3.5680509,0.018005313292678543
0,ZBTB1,3.5509977,0.019107048486120996
0,RASSF5,3.5374975,0.020000479955590206
0,FGR,3.5177207,0.02143408391619234
0,SYNRG,3.5157666,0.021533608501107537
0,STK4,3.5106153,0.021811161859299565
0,MOAP1,3.5102007,0.021811161859299565
0,SH3KBP1,3.50801,0.021932297233501978
0,GZMM,3.5069442,0.02196113547033092
0,IFNG,3.4869306,0.023482684096916825
0,TMSB10,3.4830818,0.023743838955094836
0,RASA3,3.482371,0.023743838955094836
0,TGFBR2,3.4818382,0.023743838955094836
0,APOL6,3.4762723,0.02415719765587455
0,JUND,3.4645483,0.02505869392384094
0,ADGRG5,3.457147,0.025689932412367698
0,TNFRSF1B,3.437311,0.02732079117830263
0,DEF6,3.4370148,0.02732079117830263
0,TUBA4A,3.4265935,0.02831803001173028
0,SYTL3,3.399001,0.031016304009615685
0,TIGIT,3.392606,0.031668860211656324
0,APMAP,3.3913033,0.03173922377589455
0,ARPC2,3.381711,0.03278542973239574
0,SRGN,3.379994,0.03290784779136747
0,TPST2,3.376678,0.03314014143105794
0,CEP78,3.3697503,0.033876214619125544
0,KLRB1,3.3687437,0.033876214619125544
0,COL6A2,3.3685658,0.033876214619125544
0,BTN3A2,3.3672633,0.033952193573369226
0,OGT,3.354947,0.035321194076940385
0,CLIC3,3.3542957,0.035321194076940385
0,AGTPBP1,3.3522825,0.03549164999330337
0,MED15,3.3218477,0.03936768755811573
0,MIDN,3.3214333,0.03936768755811573
0,SPATA13,3.3060973,0.04138519046658751
0,CBX4,3.2954984,0.04277078298189787
0,NPC1,3.2825902,0.04436817845894956
0,PMAIP1,3.282472,0.04436817845894956
0,MYH9,3.2555895,0.04855790906683273
0,EOMES,3.2513263,0.04917493658445069
0,RREB1,-3.2555895,0.04855790906683273
0,APEX1,-3.2885113,0.04363589574499418
0,APP,-3.2899325,0.0435207356836303
0,HSPB1,-3.30065,0.042094916094369904
0,SELL,-3.3121963,0.040591924791007164
0,KLF4,-3.3492627,0.03579283666560569
0,TRA2B,-3.361638,0.034565614695876275
0,ILF3,-3.377507,0.03312342868806807
0,PIM1,-3.4013102,0.030833907689382604
0,MYBL2,-3.4023168,0.03079912236360876
0,TRIM58,-3.4062839,0.030432834631776942
0,KCNH2,-3.4428177,0.026879826600628577
0,FARSA,-3.4432914,0.026879826600628577
0,PSMF1,-3.446548,0.026649525489244145
0,S100A9,-3.4720683,0.024431092082309737
0,CDT1,-3.4757986,0.02415719765587455
0,NCL,-3.4997203,0.022444252829280604
0,DCAF12,-3.5006084,0.022429564151028793
0,TPX2,-3.5140495,0.02161439746576687
0,TFDP1,-3.532583,0.02032012564301208
0,BCL11A,-3.545728,0.019439527303176773
0,MID1IP1,-3.561952,0.018377851556811504
0,CD74,-3.5713668,0.017828374344158175
0,NPC2,-3.5800116,0.017296989225010113
0,MCM3,-3.584571,0.017045251917176887
0,SYNGR2,-3.5846894,0.017045251917176887
0,MCM7,-3.5955253,0.016482278496029654
0,CA2,-3.599078,0.016304817456133908
0,ATP5IF1,-3.6061833,0.016092967300139458
0,NFIA,-3.6288614,0.01487153069725244
0,HSP90AB1,-3.6308746,0.014842035451432211
0,SLC4A1,-3.6322958,0.014803674378458555
0,STMN1,-3.6372104,0.014566750342807898
0,FBXO7,-3.7124095,0.01117836969154303
0,OXA1L,-3.7195148,0.010967970701374381
0,LMNB2,-3.7540946,0.009677299326302636
0,FTH1,-3.7545683,0.009677299326302636
0,SNRNP25,-3.7702596,0.009242617278274459
0,EIF1AY,-3.7755294,0.009105993427023255
0,CDK4,-3.7892075,0.008758177082411306
0,IDH2,-3.7973194,0.008503907023973517
