Cluster,Gene,Score,Adjusted p-value
0,MKI67,17.844864,5.711083410696939e-67
0,TUBB,17.151972,5.474918200709215e-62
0,RRM2,16.594542,4.5853849433858425e-58
0,HIST1H1B,16.439713,4.4782414305314436e-57
0,TYMS,16.243002,9.024803973809552e-56
0,TUBA1B,15.797634,9.70274802712369e-53
0,TPX2,15.356795,8.212204561665455e-50
0,HIST1H2BH,15.33076,1.0732240832697958e-49
0,CDK1,14.93281,4.036926399994993e-47
0,LMNB1,14.538004,1.2542566522531977e-44
0,HIST1H1C,14.433989,5.181594985034791e-44
0,CKAP2L,14.403677,7.368706251738391e-44
0,CRIP1,14.38959,8.339223711139284e-44
0,CKS1B,14.122068,3.575218710975888e-42
0,TACC3,13.962084,3.190730910827297e-41
0,HMGB2,13.872658,1.0450406808354304e-40
0,ZWINT,13.600231,4.2319195686778814e-39
0,NUSAP1,13.580484,5.2346390959693555e-39
0,SMC4,13.174736,1.1634817242955497e-36
0,FOXM1,13.004689,1.0369124038494469e-35
0,HJURP,12.695411,5.3811946582399214e-34
0,CKS2,12.58825,2.0074680816404935e-33
0,TMPO,12.195332,2.579339234371262e-31
0,IDH2,12.16678,3.508068232758433e-31
0,CENPH,12.117226,6.171669053532927e-31
0,CENPU,11.940764,5.0293492436908346e-30
0,KIF11,11.926552,5.7450130584769404e-30
0,CENPE,11.872091,1.0638923705159382e-29
0,TK1,11.786691,2.841129883863128e-29
0,DEK,11.50634,7.36366382110047e-28
0,KIFC1,11.332142,5.287867263205849e-27
0,TOP2A,11.283845,8.881932340378685e-27
0,SPC25,11.195803,2.3348627284727972e-26
0,MYBL2,11.062608,1.0096988761890628e-25
0,NDC80,11.042107,1.2325400318269791e-25
0,CEP55,11.036321,1.2779928361020033e-25
0,H2AFZ,10.955574,3.0435043036431103e-25
0,NUCB2,10.769931,2.2640641955044996e-24
0,TMEM106C,10.749681,2.7481262637190876e-24
0,NCAPG,10.735595,3.121206426745584e-24
0,HMMR,10.65447,7.305399235191621e-24
0,KIF22,10.650319,7.456696804679262e-24
0,FANCI,10.627429,9.311320716525093e-24
0,HPGD,10.368334,1.415204708440762e-22
0,STMN1,10.351731,1.6460438861213685e-22
0,NCAPG2,10.330224,1.972575297937718e-22
0,KIF23,10.25237,4.335933619773427e-22
0,SGO1,10.234384,5.1155051067558815e-22
0,CENPF,10.139298,1.3327848391246853e-21
0,ANXA1,10.126721,1.4860675550735207e-21
0,CTSG,10.124331,1.4935323676552637e-21
0,UBE2T,10.061821,2.770671823329965e-21
0,AURKB,10.035409,3.555112418001165e-21
0,MS4A2,10.0178,4.171655414397043e-21
0,SKA1,10.007738,4.535921168387022e-21
0,TCF19,10.004342,4.611905520359497e-21
0,SHCBP1,9.955417,7.42116302720768e-21
0,SPAG5,9.814046,2.992435321337431e-20
0,PCLAF,9.7709055,4.5088933572874505e-20
0,MAD2L1,9.731286,6.552404266273803e-20
0,FEN1,9.61092,2.090183871433951e-19
0,NUCKS1,9.605889,2.1599912198018582e-19
0,HIST1H1D,9.586017,2.541596493037218e-19
0,MELK,9.585892,2.541596493037218e-19
0,ARHGAP11A,9.56778,2.9826968626608764e-19
0,BUB1,9.483637,6.605882484080441e-19
0,CKAP2,9.298245,3.676238729320587e-18
0,USP1,9.271078,4.6776979165839e-18
0,PHF19,9.251331,5.549911753990283e-18
0,SRGN,9.150964,1.374324936699984e-17
0,NDE1,9.128575,1.6651636456840967e-17
0,RGS13,9.127318,1.6651636456840967e-17
0,CENPM,9.111219,1.906728157321954e-17
0,SMC1A,9.07072,2.7319528631897823e-17
0,GATA2,9.039528,3.5449072522051956e-17
0,STIL,9.011354,4.5286167651280834e-17
0,HIST1H4C,9.002172,4.8638873421742854e-17
0,CDK4,9.000412,4.882988989051111e-17
0,ASF1B,8.986702,5.4661057943358285e-17
0,RAB27B,8.9579,6.935089794067496e-17
0,LMNB2,8.887341,1.2818635366209544e-16
0,CALM2,8.879166,1.3641577868513887e-16
0,ADAM12,8.854262,1.6869393910193872e-16
0,CDKN3,8.852753,1.6911266208555764e-16
0,KPNA2,8.844703,1.7978329625350765e-16
0,ANLN,8.803072,2.5798339559771526e-16
0,KIF2C,8.741443,4.366363819520225e-16
0,ILF3,8.727104,4.90519498533379e-16
0,BIRC5,8.693271,6.476356117761483e-16
0,RAC2,8.650382,9.344185589400235e-16
0,CCNA2,8.626359,1.1415060975004747e-15
