Cluster,Gene,Score,Adjusted p-value
8,SLC18A2,34.897644,6.95025577064085e-264
8,PRG2,34.635933,5.719662299957207e-260
8,RHEX,34.46914,1.7533887663873698e-257
9,CPA3,95.92578,0.0
9,LAPTM5,92.40819,0.0
9,GATA2,90.202866,0.0
9,HPGD,88.02019,0.0
9,FXYD5,87.75283,0.0
9,SIGLEC6,86.29247,0.0
9,VWA5A,82.689224,0.0
9,AHR,82.387184,0.0
9,SEMA7A,82.19372,0.0
9,SAMSN1,82.141235,0.0
9,CLU,82.02655,0.0
9,HDC,81.03172,0.0
9,KIT,79.71974,0.0
9,FCER1A,79.54313,0.0
9,ITGA2B,78.921684,0.0
9,RAB27B,77.655754,0.0
9,MS4A2,77.53948,0.0
9,SLC18A2,75.58888,0.0
9,HPGDS,75.56912,0.0
9,ACSL4,74.33577,0.0
10,HPGD,31.602596,6.149736273837398e-215
10,KIT,31.532682,2.8006693818145007e-214
10,SIGLEC6,31.426056,5.375001930269113e-213
10,TIMP1,31.275833,4.496540192347948e-211
10,CMIP,30.094986,2.0380707583443955e-195
10,GATA2,29.51544,5.4982959314399893e-188
10,ID2,29.13661,3.1895002682953104e-183
10,RGS2,28.587423,2.17677897329538e-176
10,DCBLD2,28.305098,6.0094268564402905e-173
10,PRG2,27.874376,9.866803075374116e-168
10,CREM,27.651186,4.43929117284037e-165
10,VWA5A,27.563503,4.594040274836497e-164
10,MYO1D,27.502787,2.261541889736582e-163
10,DDIT4,27.434633,1.3687771885260994e-162
10,VIM,27.283508,8.024659269823687e-161
10,ZNF331,27.01206,1.2053766307416383e-157
10,C11orf24,26.985958,2.2975836673619377e-157
10,TDRD3,26.785671,4.76755325233472e-155
10,NR4A1,26.682219,7.204937682638583e-154
10,NR4A2,26.669819,9.53253721614174e-154
11,CSF2RB,45.397263,0.0
11,HDC,44.156143,0.0
11,GATA2,43.762306,0.0
11,CLC,40.128315,0.0
11,BHLHE40,36.378204,3.40496854046289e-286
11,AKAP12,36.028587,8.99668270904528e-281
11,TXNIP,35.232555,1.639674078753449e-268
11,CPA3,35.019608,2.5583557466771863e-265
11,SEMA7A,34.499645,1.4682941199734724e-257
11,CYTIP,34.356133,1.875010175101791e-255
11,PLPP1,34.12778,4.304946200784114e-252
11,FCER1A,32.976562,2.2746438410253363e-235
11,SAMSN1,32.624096,2.2514912549629872e-230
11,SOCS2,31.275007,9.714233680196751e-212
11,CLU,31.019424,2.666670324558071e-208
11,PRNP,30.489752,2.9284393652896443e-201
11,GCSAML,30.00739,5.6852136281535954e-195
11,LIMD2,29.357233,1.2938357913432667e-186
11,IL1RL1,29.066612,5.917408646524936e-183
11,SIGLEC6,28.871634,1.5323132956204008e-180
12,NUPR1,47.982666,0.0
12,CES1,45.15292,0.0
12,GPNMB,44.97895,0.0
12,APOE,42.72627,0.0
12,CSTB,40.649815,0.0
12,VIM,40.643158,0.0
12,CD68,40.32657,0.0
12,LGALS3,39.137882,0.0
12,PLPP3,38.902172,0.0
12,CTSB,37.996387,0.0
12,LAMP1,37.811348,0.0
12,HS3ST2,37.419777,1.9821538527889882e-303
12,TXNRD1,36.159035,2.553403828794408e-283
12,CD9,35.69671,4.019909416685166e-276
12,BHLHE41,35.446064,2.8718719561522295e-272
12,CTSZ,34.794983,2.1824598943981398e-262
12,FTL,33.650932,2.0234843985441736e-245
12,S100A10,33.371204,2.1629802637983723e-241
12,PLD3,33.28468,3.7521217688435166e-240
12,CALU,33.01116,3.0780226573260434e-236
13,CTSZ,76.151115,0.0
13,APOE,74.5903,0.0
13,CCL18,74.23372,0.0
13,NUPR1,73.83943,0.0
13,CTSB,72.68582,0.0
13,CD163,71.285904,0.0
13,GPNMB,71.18352,0.0
13,CTSL,69.23389,0.0
13,EPHX1,68.540375,0.0
13,ADTRP,68.32128,0.0
13,CES1,68.05781,0.0
13,MS4A7,66.8356,0.0
13,CD74,66.59052,0.0
13,NRP2,66.48215,0.0
13,C1QA,66.20726,0.0
13,TFRC,65.218666,0.0
13,IRF8,64.75579,0.0
13,BHLHE41,64.67014,0.0
13,C1QB,64.40819,0.0
13,FABP3,64.34882,0.0
14,CSTB,20.256317,5.650212422974668e-87
14,CD74,20.007225,2.8717306804231474e-85
14,FTL,19.926165,1.0911093017156623e-84
14,CD68,17.954586,8.877440914560745e-69
14,LGALS3,17.83959,5.7244264328818435e-68
14,CAPG,17.586657,4.026274541311048e-66
14,ANXA2,17.329454,2.8327429957955733e-64
14,VIM,16.288458,9.371001821002249e-57
14,SAMHD1,16.278553,1.0558650323777135e-56
14,TMSB10,15.415637,6.833848458670631e-51
14,CTSZ,15.303222,3.654741992466142e-50
14,VAT1,14.819091,4.242238913911053e-47
14,TMSB4X,14.792987,5.879396289632218e-47
14,CTSB,14.405416,1.4915461394126755e-44
14,LGALS1,14.403108,1.5160799644217756e-44
14,S100A6,14.145321,5.230767151661317e-43
14,FTH1,13.808016,5.181174601103285e-41
14,ANXA5,13.633918,5.418071393554183e-40
14,CTSH,13.369154,1.7805320344954752e-38
14,NCF2,13.198542,1.6337676044933307e-37
15,EMP1,46.814964,0.0
15,CXCL2,44.25414,0.0
15,CD74,42.977474,0.0
15,CCL3,42.911785,0.0
15,LYZ,42.54282,0.0
15,CXCL3,42.267677,0.0
15,SOD2,41.690384,0.0
15,CD44,41.313343,0.0
15,THBD,41.150703,0.0
15,IL1B,40.510483,0.0
15,LHFPL2,40.28745,0.0
15,CD14,39.538517,0.0
15,NFKBIA,38.622524,0.0
15,ITGA5,38.076683,0.0
15,S100A10,37.96817,0.0
15,MAFB,37.490658,1.4778968988235556e-304
15,TGFBI,37.337578,4.289729023191029e-302
15,DUSP1,37.298157,1.7660204834990083e-301
15,CXCL8,37.221157,2.95370309625306e-300
