C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score
HDX,-1.1386895,0.7823265149846172,-0.72672075,NAA35,-1.9618059,0.0012062921855318758,-3.6740208,CXCR4,-0.43818888,1.8695498126317045e-15,-8.151237,BAG3,-1.3334368,4.0082542049799837e-10,-6.4630527,MIB1,-0.88479567,1.340515791860345e-20,-9.466243,POGLUT2,-0.62144,0.2255138488690841,-1.6711206,ZNF366,-2.7569005,0.9625468720057772,-0.5231261,MBIP,-0.13282433,0.011461499254960993,-2.9183223,GTF3C5,-0.2624889,1.0,-0.4915412,TSPAN32,-1.5484805,2.5089967163149803e-11,-6.893614,NDUFS7,-0.25309905,0.0029977948784779373,-3.3739135,CDC23,-0.60389155,0.812209651306772,-0.7315333,EXT1,-1.4834341,1.0,-0.60399604,RSPH9,-21.720171,1.0,-0.100455485,KISS1R,-17.691502,1.0,-0.019129712,TMC8,-0.047171954,0.517908423990101,-1.6099645
FAM124A,-0.32776114,0.7818496532411915,-0.7272564,PDE6H,-5.5090904,0.0012008547827604059,-3.6752455,RNF146,-0.5715398,1.816912358441974e-15,-8.154724,FAM98A,-1.2574946,3.9911357714237745e-10,-6.4637327,FILIP1L,-2.7997658,1.3286653093214078e-20,-9.467197,PIK3R3,-1.3538469,0.22504813100384227,-1.6721748,ZNF804A,-1.8523505,0.9618435544846587,-0.52391016,IMP3,-0.32842168,0.011457174399090454,-2.9184961,SNX7,-21.618431,1.0,-0.49292636,TRAF3IP2,-0.51102513,2.4337665938427693e-11,-6.8979774,TAOK2,-0.7513894,0.0029859594015853074,-3.375064,RNF40,-0.18800722,0.812152935326592,-0.73165995,C8orf76,-1.2334138,1.0,-0.6040829,COL7A1,-21.821657,1.0,-0.100455485,SYT5,-18.01339,1.0,-0.019129712,PSME4,0.0668973,0.517908423990101,-1.610239
SCARF2,-1.1618352,0.7803035107136562,-0.72890633,GIGYF2,-26.274857,0.0011999266300365308,-3.6755142,UBAC2,-1.043912,1.7469271873264826e-15,-8.159505,UQCC1,-0.7815432,3.948780945896118e-10,-6.4653788,ECH1,-0.34594506,1.3217685836320574e-20,-9.467768,COX18,-0.36809522,0.22475061782672237,-1.672872,KIFAP3,-0.6294281,0.9613083354430548,-0.5245434,FBXL12,-0.303483,0.011431937033042613,-2.9192398,LEP,-4.3815556,1.0,-0.49297535,SDF2L1,-0.5060609,2.4336046205928053e-11,-6.898023,MPLKIP,-0.5817001,0.0029790980846541933,-3.3757586,CTDSPL2,-0.39588952,0.8120771447662479,-0.73180455,TCHP,-0.6936514,1.0,-0.60440123,CADPS2,-20.908766,1.0,-0.100455485,C9orf50,-17.641867,1.0,-0.019129712,LRP12,-2.1754775,0.5175640138443554,-1.6108044
DNALI1,-1.8718601,0.7802008977349372,-0.7290771,TRAFD1,-2.0167983,0.0011975434786615463,-3.676093,DAP3,-0.021710085,1.7031452580629362e-15,-8.162605,GAA,-0.657914,3.850711379607525e-10,-6.469246,TBCE-1,-1.1735042,1.2809941997632582e-20,-9.471067,MPP6,-0.5787625,0.2245685553396653,-1.6733234,SPATA6,-1.6554528,0.9604128208693411,-0.5255001,DHRS1,-0.4762267,0.011342808789008382,-2.9217908,NR3C2,-1.3501077,1.0,-0.4940226,SULT1B1,-3.057042,2.429799743890693e-11,-6.8982816,SMG8,-1.0848553,0.0029749039914275864,-3.3762298,DCLK2,-1.5425155,0.8119371930601067,-0.7320092,SLC9A6,-0.74993867,1.0,-0.60454595,ABCA10,-22.02817,1.0,-0.100455485,C2orf72,-17.263607,1.0,-0.019129712,DNAJA3,-0.49765426,0.5175640138443554,-1.610869
SCG5,-2.0997355,0.7800597479549931,-0.729356,GATA2,-3.212686,0.0011919014865511002,-3.6773698,ARRB2,-0.3829731,1.6988596541571893e-15,-8.162944,MAGT1,-0.420782,3.7361765158079403e-10,-6.47384,GTF2E2,-0.37725577,1.1611560024475815e-20,-9.481374,DNAJC10,-0.38778943,0.2244642407944379,-1.6736091,CCR6,-4.376331,0.9599617064546098,-0.52605796,TXLNG,-0.23878995,0.011257510354281816,-2.9242535,TMEM242,-0.27650568,1.0,-0.49443272,MPRIP,-0.6116867,2.4195932776900244e-11,-6.898916,GMPPB,-0.31116503,0.0029743170166777943,-3.3763852,SRI,-0.2989032,0.8115995844283199,-0.732399,RPA4,-24.161245,1.0,-0.60512483,PHKG1,-21.823488,1.0,-0.100989826,SLITRK5,-18.03347,1.0,-0.019129712,CELF1,-0.12802371,0.5175640138443554,-1.6109174
SMARCA1,-1.6083968,0.7794780529530353,-0.7299946,COPS7B,-3.1904416,0.0011896055427723649,-3.677933,QSER1,-0.47347543,1.6806613965348994e-15,-8.164279,YARS2,-0.6513972,3.69990493832375e-10,-6.475346,TWISTNB,-0.56381553,1.1227147021478242e-20,-9.484913,MTERF3,-0.44554117,0.22446169015381098,-1.6736777,CDC42EP4,-0.82160944,0.9599617064546098,-0.52610594,SELENOS,-0.030362448,0.011167878547309884,-2.926853,USP44,-0.5478434,1.0,-0.49464166,TIMM8B,-0.12962684,2.3885576523224973e-11,-6.900786,COX15,-0.6244236,0.002973940853476471,-3.3764818,PALMD,-5.1026096,0.8115995844283199,-0.7324542,AKAP5,-24.516811,1.0,-0.60512483,CEP112,-21.093185,1.0,-0.100989826,STPG3,-18.71297,1.0,-0.019129712,DCAF11,-0.28442666,0.5173157037738066,-1.6114343
VAV2,-1.1723228,0.7793314351777498,-0.73020834,BCAS2,-0.94791144,0.0011860635088874376,-3.678765,PPM1A,-0.11844766,1.6523079487602412e-15,-8.166368,HNRNPK,-0.46318027,3.5740295045932795e-10,-6.4806027,CREG1,-0.32061666,1.1133883718905345e-20,-9.485809,POLR2G,-0.30380338,0.22430923884961926,-1.6740662,STIM2,-0.7421066,0.9596708904620973,-0.5264719,RAB28,-0.32877624,0.011142063258354073,-2.9276288,EML5,-1.4495585,1.0,-0.4949615,FHL3,-0.24416114,2.3718307018440468e-11,-6.9018207,PSMD10,-0.30460194,0.0029727359636685614,-3.3766549,THBS4,-5.6884327,0.8107950282753608,-0.73337346,FTSJ1,-0.70703894,1.0,-0.6052334,ARHGAP33,-0.49737176,1.0,-0.10106107,CXCL17,-17.669376,1.0,-0.019129712,KCTD10,-0.9803999,0.5167403652520401,-1.6121126
OMG,-1.7192106,0.7792395239916295,-0.7303686,RGS14,-0.7594682,0.0011830346959541104,-3.6794887,AAR2,-0.50603426,1.5801705645164376e-15,-8.171788,TLK1,-0.45360383,3.54449931973555e-10,-6.48192,DCTN2,-0.26777667,1.0865756306132654e-20,-9.488378,ROCK2,-0.38296968,0.22418428323721062,-1.6743962,AQP11,-4.5443716,0.9580723225483814,-0.5280605,EXOC4,-0.073506035,0.01110416421934537,-2.928744,SRBD1,-0.48768577,1.0,-0.4955651,CTTNBP2,-5.04763,2.3265747205261865e-11,-6.9045925,BCORL1,-1.1168538,0.002971034571269333,-3.376874,HAUS1,-0.52133244,0.809946537201184,-0.73424244,FLYWCH2,-0.70333254,1.0,-0.6068976,AICDA,-21.964884,1.0,-0.10152416,LGI3,-17.333427,1.0,-0.019129712,JAKMIP2,-3.2838495,0.5166322530475069,-1.6123469
KCNN3,-5.3225884,0.7784993778075701,-0.7311623,PIGC,-1.5143031,0.0011817602883377742,-3.679835,SNRNP35,-0.102136694,1.577359570439741e-15,-8.172037,RIN2,-5.3289504,3.5133150081749286e-10,-6.483285,FBXO45,-2.3416297,1.0610052707498014e-20,-9.490887,CGRRF1,-0.84098727,0.22414696345988247,-1.6745391,BIRC7,-5.816018,0.957998636758104,-0.52820307,SPC25,0.017697165,0.01106666828140271,-2.9298515,CRYGS,-2.5467544,1.0,-0.49617898,INTS3,-0.05930802,2.2841880254280534e-11,-6.9072385,ZNF562,-0.4245642,0.0029561648463540405,-3.378377,CCDC102A,-21.543402,0.8090482705234796,-0.73515844,ZNF704,-24.313133,1.0,-0.6071002,MOGAT1,-21.990128,1.0,-0.10152416,PM20D1,-3.9552147,1.0,-0.019188836,FBXW5,-0.093945466,0.5157182639439841,-1.6133482
NKAIN2,-2.5856538,0.7784541594546909,-0.73127705,HOXA10,-1.6198081,0.0011789568437265644,-3.680512,TMOD2,-1.6715766,1.552916265671803e-15,-8.173956,PRR14,-0.43950206,3.504029037458449e-10,-6.483717,WDR41,-1.1728173,1.0603860840635025e-20,-9.490974,EEF1AKMT3,-2.6687007,0.22407354730271833,-1.674759,SH2D3A,-1.29611,0.9565224026013202,-0.52975875,RUNDC1,-0.6790954,0.01104528894301719,-2.9305644,LAMA1,-22.25045,1.0,-0.49671808,ATP13A3,-0.11333209,2.268954208624787e-11,-6.908224,NPRL2,-0.7140324,0.002953059885983709,-3.3787277,ZNF695,-1.6608456,0.8087648020409346,-0.73549795,SLC35C1,-0.34587866,1.0,-0.60751265,TBX1,-21.478342,1.0,-0.10152416,ZNF410,-0.5857955,1.0,-0.019540291,DAPK1,-1.1623373,0.5157182639439841,-1.6134291
