C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score,C16_names,C16_logfold,C16_pvals_adj,C16_z_score,C17_names,C17_logfold,C17_pvals_adj,C17_z_score,C18_names,C18_logfold,C18_pvals_adj,C18_z_score,C19_names,C19_logfold,C19_pvals_adj,C19_z_score,C20_names,C20_logfold,C20_pvals_adj,C20_z_score,C21_names,C21_logfold,C21_pvals_adj,C21_z_score
CTSZ,2.878788,0.0,54.712223,CES1,4.3359103,0.0,45.291855,CXCL16,4.2442713,0.0,75.05075,CPA3,9.03621,0.0,75.07587,S100A9,5.280227,0.0,53.567898,CLC,8.36693,1.2693842295624418e-110,22.781345,LENG8,3.414585,1.08069773830633e-145,26.038988,SRGN,3.3075943,2.241087656450551e-222,32.13947,MYL9,3.6829166,6.8225345735623065e-77,19.079014,MKI67,5.0268693,0.0,51.36023,FOS,4.6105843,1.7971208336975278e-174,28.467241,MT-ATP6,3.172589,0.0,53.64315,CXCL12,2.9920225,0.0,53.76088,SMURF2,2.85841,0.0,51.826187,COL1A1,5.4193206,0.0,71.55839,TXNDC5,4.0421376,2.9973063929518313e-66,17.713224,CEP55,3.3934028,1.212470519524684e-224,32.301308,HIST1H1B,5.4499016,0.0,45.87604,HBA2,13.465321,9.024990078466374e-165,27.69416,JUN,3.6647887,1.6041194425119326e-195,30.091764,CD74,4.8752146,2.8021204505015846e-58,16.657352,ITGA2B,6.371823,2.3733242609390492e-17,9.548763
MARCO,5.3717437,0.0,54.674377,GPNMB,4.006785,0.0,44.66194,CTSH,4.4626136,0.0,74.03642,LAPTM5,4.7102265,0.0,73.758705,S100A8,5.4646697,0.0,50.83939,SRGN,2.700304,5.796350158833898e-97,21.32675,RSRP1,3.872706,1.4054341703276815e-134,25.018085,GATA2,5.9933925,1.8322927159442387e-206,30.957294,LGALS1,2.531983,3.332734007259038e-75,18.838001,CEP55,5.0154634,0.0,49.338367,ZFP36L2,2.8516262,4.10574645109716e-116,23.207104,MT-ND5,2.8851814,0.0,53.329487,HAS2,3.3446343,0.0,52.843773,RGS4,3.274571,0.0,50.239567,ITGA11,3.9121177,0.0,71.20345,MZB1,9.3950405,5.5908545052626796e-46,14.726939,FOXM1,2.925602,2.5927954621586656e-222,32.11338,TYMS,3.7869473,0.0,40.878696,HBB,13.934937,9.024990078466374e-165,27.687109,CXCR4,4.4931955,1.38186189022657e-182,29.067791,IGHM,10.905852,5.077601157206015e-58,16.588614,GP1BB,9.18824,2.283013233636656e-16,9.193921
APOE,5.1444407,0.0,53.41264,APOE,3.952385,0.0,42.729973,FBP1,4.6974177,0.0,73.68844,GATA2,7.3509164,0.0,72.694916,CXCL8,4.8365407,0.0,47.06749,TMSB4X,1.7968246,2.257936404653885e-95,21.135572,ITGAX,4.2211785,4.522991138425832e-104,22.002068,HDC,5.8970504,9.925126540055652e-200,30.43956,TAGLN,3.8394828,6.360504802173569e-70,18.160774,RRM2,4.593602,0.0,48.29503,JUN,2.867502,2.6897306381624747e-113,22.92401,GAS6,3.1937811,0.0,53.09916,LOXL1,2.6158433,0.0,51.74273,SERPINE1,3.7253954,0.0,50.179768,COL1A2,4.5274973,0.0,71.130165,JUN,3.147663,5.25287341864442e-36,12.99665,C12orf75,2.4123986,2.568761550809291e-212,31.376291,HIST1H1C,3.2009265,0.0,40.189495,HBD,10.606256,4.6087259396304094e-164,27.613571,TRBC2,8.969586,1.277697208664003e-178,28.746937,CXCR4,5.2859597,7.871022849309643e-57,16.405697,ITGB3,5.866115,1.1553183637369196e-12,8.108818
CD163,4.913138,0.0,51.04371,CD68,3.460397,0.0,41.971413,CTSA,2.9670002,0.0,72.48939,FXYD5,2.514198,0.0,71.467964,FCAR,5.046222,0.0,46.99525,CD24,6.0908103,2.0985172955412574e-85,20.00852,NABP1,2.5220559,5.870637207747856e-86,19.969904,MS4A2,5.397911,2.079977627022155e-181,29.012316,TPM2,3.206952,3.028171232866428e-56,16.310043,CENPE,4.7014976,0.0,46.770935,MPO,8.713667,1.5593865606234167e-110,22.64065,SERPINE2,3.666609,0.0,52.946095,TPM1,3.4267285,0.0,51.556133,CCN2,3.590174,0.0,49.3366,SPARC,4.0140657,0.0,70.906494,IGKC,11.508806,3.814039940569533e-32,12.257064,CXCL12,2.7675421,4.024632622119248e-211,31.279375,MCM7,3.6454723,6.977352237949773e-282,36.110653,SLC25A37,6.636755,4.3923103337949265e-157,27.007257,ZFP36L2,3.484361,7.941421224733102e-175,28.43301,CD79A,9.598317,2.632279370637895e-51,15.588362,PLEK,4.3122053,6.054100027000574e-12,7.873603
GPNMB,4.596936,0.0,50.88954,CSTB,2.9804337,0.0,41.799618,CYP27A1,4.414708,0.0,71.29708,HPGD,7.940613,0.0,71.433945,PLAUR,3.0010855,0.0,45.23723,CSF2RB,4.4540505,7.483362158916961e-79,19.230175,KLF6,1.9578587,2.204912614298649e-70,18.029945,SAMSN1,4.398588,4.532880234427471e-175,28.49763,CALD1,3.0602062,1.1243510274420569e-51,15.632798,TPX2,4.3698373,0.0,46.692284,DUSP1,2.4603467,2.5759087188521192e-102,21.770517,MT-ND4,2.9503129,0.0,52.581238,MXRA8,2.3704286,0.0,50.99772,CNN3,2.6929245,0.0,48.38347,COL3A1,3.9322467,0.0,68.391785,SEC11C,3.6569908,7.294923232053418e-29,11.600963,TYMS,2.5402315,2.0568002425966368e-200,30.474426,MCM5,3.4202015,1.6645395879363808e-242,33.495937,SNCA,7.23112,1.044928403119958e-149,26.35396,PNRC1,2.7234876,1.1083563947002601e-173,28.334833,BTG1,4.861427,1.6328717827696368e-49,15.296023,FERMT3,3.7580817,6.7951445471606325e-12,7.820506
CCL18,5.1145372,0.0,50.637268,LGALS3,2.6768367,0.0,41.302444,CSTB,3.6371799,0.0,71.05918,CTSG,8.615063,0.0,71.22242,LSP1,3.7160473,0.0,45.092438,EGR3,5.5540786,3.1572976414485975e-75,18.782627,ALOX5,2.814802,6.9794661402281885e-68,17.69828,CLU,4.6369777,1.5760988351383944e-172,28.285376,TMSB10,1.8427547,2.4883494425771986e-48,15.1254225,PLK1,5.380218,0.0,45.486206,CELF2,2.7602444,1.3205216099693353e-94,20.92329,MT-CO3,2.9469683,0.0,52.54368,DKK1,2.8638673,0.0,50.681095,MYO1B,2.4723237,0.0,48.294243,COL5A1,3.963312,0.0,67.91034,UBE2J1,1.9840363,6.318577061165081e-26,10.977701,ACTB,1.2046229,8.205511064971679e-200,30.423052,MCM2,3.9899213,2.869920738505394e-241,33.40629,BNIP3L,4.1543627,2.7228494721047678e-148,26.22565,BTG1,4.466137,1.8468932530694527e-167,27.819029,JUND,3.4649568,1.933310504178891e-48,15.127347,CAVIN2,6.661087,2.3938408276574344e-11,7.643241
CES1,4.8120437,0.0,50.472492,NUPR1,3.120049,0.0,40.93834,LYZ,5.563644,0.0,70.82299,GLUL,4.3002386,0.0,70.22138,CSF3R,4.5960774,0.0,43.489918,BTG2,3.5370152,5.5081717220681e-71,18.241058,MT-ND4,2.278162,1.56067573435822e-67,17.652395,CPA3,5.73292,8.264464658701405e-170,28.057901,TPM1,2.8627505,9.891231577541147e-42,14.061328,ANLN,4.7332854,0.0,44.808075,SPN,2.6862426,9.296294705636048e-92,20.599442,MT-ND3,2.7370923,0.0,52.257782,TNC,2.8087957,0.0,50.599453,GLIPR1,2.0942454,0.0,47.93464,THBS2,4.1072807,0.0,66.58989,ITM2C,3.9635715,2.1342116353088894e-25,10.859666,PTTG1,3.0413482,5.077489922554893e-195,30.053492,PRDX2,3.1793263,1.2362361584492347e-223,32.16123,ALAS2,9.808139,1.5571537394652882e-147,26.15515,JUNB,2.9299076,1.3094997738349948e-156,26.898005,MS4A1,12.013474,1.3341030986102272e-47,14.982249,TMSB4X,1.7015685,2.697932108419953e-11,7.6200137
CD74,4.462723,0.0,50.08174,FTL,1.7767216,0.0,38.789993,TFRC,3.876422,0.0,70.432335,SAMSN1,5.3201647,0.0,69.67954,NAMPT,3.2207017,0.0,43.07513,NCF2,3.7791803,1.7769766264521945e-66,17.651966,APOE,3.1804247,9.2636718380467e-67,17.547651,BHLHE40,3.4288962,6.39186369977588e-168,27.897917,ANXA2,1.9748143,1.1046107926851086e-40,13.883803,TACC3,4.08148,0.0,44.72028,CD74,2.8464975,1.6642322662428984e-75,18.66853,MT-CO2,2.784567,0.0,51.243546,CCN1,2.5844364,0.0,49.78869,ACTA2,3.1065516,0.0,47.608723,HTRA1,3.1395767,0.0,65.993095,IGHA1,11.573268,1.8536544154147273e-22,10.189266,ANLN,3.2020044,2.1907404917856518e-189,29.614603,CENPU,3.5327804,1.2206902503221068e-210,31.20621,SLC4A1,9.563797,4.544094383611499e-143,25.752583,FOS,4.12309,8.595752212125773e-148,26.12039,CD37,3.9256465,1.0230642892642072e-45,14.681362,PRKAR2B,6.163889,2.630771960376227e-10,7.2985053
PSAP,3.418,0.0,50.033463,CXCL8,3.9522202,0.0,38.12648,IFI30,4.8554177,0.0,70.423645,CLU,5.719457,0.0,68.90581,CD14,3.5784805,0.0,42.43505,CD69,4.296549,2.3798543354567146e-64,17.362762,MT-ND3,2.3737838,1.9663827410816802e-63,17.097275,FCER1A,5.1346307,1.9557672354892283e-160,27.269594,PEA15,2.2132576,6.371591309772143e-40,13.752305,CKAP2,3.9828653,0.0,44.571922,SELL,4.660943,1.6507069784262196e-71,18.161537,MT-ND2,2.5829942,0.0,50.014328,FSCN1,2.4652739,0.0,49.787598,NEK7,2.7289422,0.0,47.599472,PSAT1,3.36973,0.0,64.624466,TENT5C,4.7942214,3.381756894589116e-19,9.390929,TUBB,1.8605736,4.153420836726467e-186,29.354929,TUBB,1.8488404,1.1913280988877806e-209,31.130816,TENT5C,7.6561766,3.5617443460978128e-130,24.560402,IL32,7.3939095,1.0522696369339145e-140,25.486347,JUN,3.6165977,5.964274468894785e-42,14.068431,NRGN,7.343239,6.530497314339676e-10,7.1620917
CTSB,2.37462,0.0,49.66761,LAMP1,1.3991385,3.8929872747169144e-305,37.536175,MRC1,4.3301096,0.0,70.20295,SIGLEC6,6.9836235,0.0,68.02822,BRI3,1.8617105,0.0,42.235733,FTL,1.9614109,3.581544244703728e-63,17.197487,PLEC,1.6323726,3.7005197508656203e-63,17.05997,CSF2RB,4.6036158,5.6460105391197925e-154,26.715345,MAP1B,2.8715777,2.928854329945846e-39,13.631785,CENPF,4.755696,0.0,44.091667,AIF1,2.8678854,2.999317123366155e-68,17.737413,LOXL2,3.0646226,0.0,49.92103,ENAH,2.4964201,0.0,49.54977,CLIC4,2.1224043,0.0,47.34843,MMP2,3.0981271,0.0,63.47073,DERL3,7.688205,2.1813898426788664e-18,9.177716,UGDH,2.006472,2.694945467040819e-180,28.892334,RRM2,3.4927783,1.8604292904171916e-209,31.11222,RBM38,6.5388513,6.824514759320035e-129,24.435535,TRAC,9.644428,2.786228100348099e-139,25.355282,FOS,4.383181,4.126527984303304e-40,13.754399,LCP2,2.8353841,1.152134312775759e-09,7.063503
MS4A7,4.0977325,0.0,48.96577,CD9,2.665478,2.505702686665439e-294,36.865307,CTSD,3.867546,0.0,69.38655,SRGN,2.5539148,0.0,67.765854,CYBB,3.4025922,0.0,42.190624,PYGL,4.2762227,8.401120701423884e-63,17.140244,DDX5,1.1576124,1.2776256458009856e-56,16.136507,LAPTM5,3.3717158,7.896741059277463e-142,25.64503,SH3BGRL3,1.6558548,1.662694339655054e-38,13.488048,KIF23,4.4080796,0.0,44.03334,EEF2,0.9538818,2.6107660127306785e-66,17.479174,NEK7,2.7580335,0.0,49.76515,COL6A3,2.6326325,0.0,49.51789,FLNC,2.364178,0.0,47.067955,PRSS23,3.4761758,0.0,63.323524,IGHG1,10.496928,3.538733939441e-17,8.8503,SCARA3,2.3661942,5.809978695921432e-178,28.70266,MKI67,3.0902545,1.2963163246981183e-208,31.047874,TRIM58,9.489637,3.8344290610031504e-128,24.360811,KLF2,4.341363,4.702467721092717e-126,24.111393,TSC22D3,5.1349216,2.2416415172101877e-35,12.902824,RAB27B,4.8824143,2.5123923243063075e-09,6.926714
CTSL,3.0402975,0.0,48.313614,HS3ST2,3.1577818,3.9840143352457256e-293,36.788074,CTSS,4.056002,0.0,68.431755,AHR,3.7266142,0.0,67.691315,NFKBIA,3.0520985,0.0,41.837803,CYTIP,3.9212172,3.671200473887011e-62,17.047396,PPARG,2.5693195,2.5785603764420006e-53,15.645763,SOCS2,4.5158415,4.181145828387442e-130,24.568043,S100A6,1.5117297,1.9746061534511194e-37,13.297216,SMC4,3.3082132,0.0,43.90384,ARHGDIB,2.1321714,1.0504939153102591e-56,16.133835,LOX,3.1204808,0.0,49.750286,MAP1B,2.622299,0.0,49.306866,NTN4,2.5943296,0.0,46.876614,LAMC1,2.9105923,0.0,63.251553,FOS,2.3428388,1.8989269269692547e-14,8.070621,TPX2,2.682477,2.9898528791770226e-173,28.319576,LMNB1,3.0319793,4.3214321592516927e-203,30.634115,DCAF12,6.175333,2.6870180131765424e-122,23.793888,EVL,3.030185,9.922929558323263e-124,23.8871,IGHD,9.866403,4.708540547888067e-34,12.650698,C2orf88,6.4656863,6.954699283677092e-09,6.7595057
NUPR1,3.1920207,0.0,48.236607,SCD,2.6403291,4.949308830853549e-285,36.274357,LTA4H,3.4681675,0.0,68.08763,VWA5A,5.595228,0.0,67.08504,IFI30,3.8753984,0.0,41.739902,BCL2A1,3.1409173,1.996876745692196e-59,16.66883,MT-ND6,3.6646454,1.1136311361514813e-49,15.09241,ANXA1,1.887638,1.85237042008962e-125,24.126068,HSPB1,1.6715118,2.0304549900672293e-35,12.919787,CKAP2L,4.4408474,0.0,43.783836,AZU1,7.4259863,4.831318023878806e-54,15.7393875,SERPINE1,3.600451,0.0,49.70085,C12orf75,2.4401593,0.0,48.91366,ATP8B1,2.427611,0.0,46.776382,VCAN,3.0211415,0.0,63.125046,ISG20,4.749115,3.0343571345704296e-12,7.3780746,RRM2,2.54316,2.0036377769037418e-167,27.839573,ILF3,1.6023096,2.1698959063948795e-198,30.27563,BPGM,4.987468,9.990637666153264e-118,23.343557,IKZF1,3.821932,3.3278417774539534e-116,23.14296,DUSP1,2.6456933,4.1150736209945567e-32,12.275329,LTBP1,4.097245,2.8736832915950592e-08,6.5208135
ADTRP,3.7173827,0.0,48.061493,CTSB,1.5184969,2.6229687655022285e-282,36.09936,CD68,4.0661592,0.0,67.90643,KIT,7.8306026,0.0,64.81714,NCF2,2.9919612,0.0,40.61609,CORO1A,4.5542536,2.0433279693464515e-58,16.520805,CD44,1.2490256,2.4969762019963213e-46,14.5629425,RAC2,3.0266619,1.346510750089498e-121,23.752207,CCND1,3.7589128,2.6569673811490272e-33,12.527354,TYMS,3.502516,0.0,43.69988,SERPINB1,2.1463664,3.3363883988715053e-52,15.463033,CDH2,2.6760235,0.0,49.571495,ALCAM,2.1928668,0.0,48.863186,ANKRD1,3.0597684,0.0,46.75362,LOXL2,3.385234,0.0,62.91519,FKBP11,2.8560247,4.2995838732649365e-12,7.3287477,AXL,2.0478935,4.120828379552298e-167,27.811031,IDH2,1.7879364,2.0006305051101928e-178,28.709826,FBXO7,3.5142322,1.256257672925466e-116,23.233595,TSC22D3,4.4999557,6.228775362416933e-113,22.809555,PNRC1,2.439126,4.5930216850345845e-32,12.264946,MMRN1,9.992682,2.0072278351846892e-07,6.163745
C1QA,4.44126,0.0,47.844727,CTSS,2.894044,4.1522193714695164e-273,35.506485,CYBB,3.9411366,0.0,67.821014,MS4A2,6.8179107,0.0,63.48274,BCL2A1,3.048109,0.0,40.54116,CCL23,6.506226,2.2154210017907047e-58,16.51336,PDXK,1.7792306,2.7892994584256743e-46,14.555179,CLC,7.466032,1.5856119359303446e-113,22.947008,CFL1,1.2434938,4.606496935995315e-33,12.479322,KIF11,4.5414495,0.0,42.785915,H1FX,2.4535022,3.352298419761647e-52,15.462533,COL4A1,2.8483827,0.0,49.545834,AXL,2.292055,0.0,48.736423,GAS6,2.8355517,0.0,46.21761,SERPINE2,3.9232008,0.0,62.476208,TSC22D3,2.939973,1.0634355822901559e-11,7.1974683,MKI67,2.5013647,8.739176852202941e-164,27.5321,GMNN,3.2455935,1.3096260845447556e-173,28.318806,BCL2L1,4.9893613,2.2795820794961746e-113,22.904814,TCF7,5.649387,3.6832445398447985e-112,22.730442,IER2,3.4940152,2.717271853981466e-28,11.506939,MED12L,7.926821,2.556071712016635e-07,6.113387
IFI30,4.4765925,0.0,47.53023,BCL2A1,2.6526487,1.5543519778640805e-270,35.337734,ARRDC4,3.4569232,0.0,67.79294,RGS13,7.616468,0.0,62.931507,SOD2,3.1190562,0.0,40.154594,PLPP1,4.9437943,2.2921710743397208e-57,16.364601,MT-ATP6,1.9591762,5.048466982226721e-46,14.513388,IL1RL1,4.23405,1.301571101500203e-110,22.650875,TMSB4X,1.0560789,1.4248577942502486e-31,12.187475,FOXM1,3.6364768,0.0,42.450226,JUND,1.744975,2.7772348112740152e-45,14.374794,DSTN,2.842273,0.0,49.484913,ENG,1.8898836,0.0,48.46193,STC2,2.8372817,0.0,46.20266,NNMT,2.8558745,0.0,61.994553,DUSP1,1.5477107,1.9340061424463648e-11,7.109612,SMS,1.6265876,1.175900372169913e-161,27.351357,MCM3,3.7155275,1.7045592276058685e-171,28.144123,SLC25A39,4.36399,1.3902689733445659e-111,22.718786,TXNIP,2.682722,7.060386662365097e-112,22.701454,JUNB,2.4353628,2.7963803930495904e-28,11.503405,PF4,13.486849,8.837403432327654e-07,5.8921437
BHLHE41,3.543102,0.0,47.148636,AGPS,1.886807,1.3750794588791494e-266,35.07829,CD74,4.481325,0.0,67.700584,ANXA1,2.1848357,0.0,62.69157,LCP1,2.650196,0.0,40.026073,SAMSN1,3.3785064,6.120496515177107e-50,15.273361,TRIM25,2.3930488,3.602670522625442e-45,14.374402,GCSAML,4.527778,4.896256199896946e-110,22.590157,PALLD,2.6375637,3.654599954621098e-30,11.906756,BUB1,4.6081734,0.0,42.247467,IER2,2.4640844,5.476360380708078e-44,14.163072,THY1,3.0823357,0.0,49.341473,BGN,2.9962852,0.0,48.302303,DDAH1,2.5412633,0.0,45.857418,TGFBI,3.5888274,0.0,61.484764,HERPUD1,2.60054,6.597052279732502e-11,6.9255905,HAS2,2.6761959,1.7592335548701478e-161,27.334429,HELLS,3.5345654,6.469541428879963e-168,27.84781,NCOA4,2.9839938,1.866581541343367e-107,22.289755,ETS1,4.392174,3.32776758574427e-98,21.252733,KLF2,4.338248,4.070515487163946e-28,11.467854,PPBP,11.0943165,3.699412167941585e-06,5.60128
TFRC,3.5250955,0.0,46.953472,LITAF,2.3206577,1.7951255427126225e-265,35.003567,GRINA,2.3012362,0.0,67.50479,RAC2,3.6600852,0.0,62.64321,MCL1,2.4106848,0.0,39.604515,BHLHE40,2.7267184,3.376573203090778e-48,15.004031,CSF1,2.2166126,6.907881699206007e-45,14.32816,MS4A3,6.6567106,3.382086747013107e-106,22.193966,MAP4,2.3836865,7.026918005899538e-30,11.846117,CKS1B,3.4187186,0.0,41.343784,ITM2C,3.1616254,1.6047481410862745e-43,14.084893,CCN2,3.49266,0.0,49.104595,GNG12,2.3786464,0.0,48.234646,LMO7,2.3630683,0.0,45.574768,IGFBP7,3.0952418,0.0,61.27353,KLF2,2.7322133,9.101235506721084e-11,6.876699,MAP1B,2.1314535,1.2608977233118359e-160,27.260284,LIG1,3.1903853,7.64651002413097e-163,27.423527,AHSP,6.835409,3.7254146785759416e-106,22.154324,TNFAIP3,3.031812,7.222062701018632e-94,20.771555,CD79B,8.814978,7.950512181471386e-26,10.977915,RUFY1,2.9125984,4.921139153200807e-06,5.5327983
SCD,3.6982956,0.0,46.87759,LYZ,3.6725762,1.953128102859682e-262,34.802002,SCD,3.6568773,0.0,67.36698,NR4A2,4.8982973,0.0,62.18541,ITGB2,2.9766176,0.0,39.194702,S100A8,3.8507683,2.495635067151723e-47,14.860649,TNFAIP2,3.0049632,9.158297692106929e-45,14.308016,PRG2,4.53228,1.4229360191666438e-105,22.12516,CSRP1,1.6763352,3.286565881449776e-29,11.710442,NCAPG,4.4157853,0.0,41.191864,PLAC8,5.054258,2.0832917640992234e-43,14.065781,MT-ND1,2.5016239,0.0,48.917225,TPM4,1.9371119,0.0,48.18501,ADAMTS1,2.637663,0.0,45.529236,COL12A1,3.229962,0.0,61.251884,POU2AF1,7.716351,1.5232780268927388e-10,6.79666,ALCAM,1.9280838,1.267927175526342e-159,27.173609,MYBL2,3.6926951,3.097490411908001e-159,27.116228,MARCH8,5.9413977,8.579686174998975e-92,20.579666,CORO1A,4.201226,3.246417451706789e-92,20.584383,LTB,6.17234,2.2394759024606355e-24,10.653906,FOS,3.0685425,1.5766833455055904e-05,5.2670383
CTSS,3.7540743,0.0,46.862743,FTH1,1.6775429,5.54174645526485e-260,34.638126,SAMHD1,3.5370002,0.0,67.346275,HDC,6.5936174,0.0,62.032562,LYZ,4.0944223,0.0,38.997284,ALAS1,4.0346723,1.503415946332684e-45,14.5746155,SAT1,2.5374746,1.0899812310423445e-43,14.12977,CYTIP,3.2206056,9.088834518460488e-101,21.616497,SELENOW,1.9318805,1.253139103759017e-28,11.583612,DLGAP5,4.596894,0.0,41.124363,PRSS57,7.1128683,2.9786702911381363e-43,14.039153,ANXA2,2.2140894,0.0,48.888977,COL6A2,3.2348795,0.0,47.861687,GALNT1,2.0119948,0.0,45.446117,FN1,4.5120087,0.0,61.11783,CD79A,5.646032,2.315869654960409e-09,6.359345,LMNB2,2.2198384,2.7000989904317814e-152,26.544323,MCM4,3.5180361,3.0709923295347845e-156,26.858988,EPB41,5.557517,8.384090853087939e-91,20.465649,DUSP1,2.0623147,1.6847505115649206e-86,19.925217,IGKC,7.1192164,2.9928445683219316e-23,10.3961315,MAP3K5,3.5783978,2.7385773731066775e-05,5.141457
SLC15A3,3.35825,0.0,46.686665,GPX4,1.6511315,1.1850937090717904e-259,34.61491,CTSC,3.5964105,0.0,67.15111,BHLHE40,3.4533286,0.0,61.82254,FTH1,1.7792999,0.0,38.617218,CXCR4,3.4668806,7.622182334559956e-45,14.457931,FGR,2.107704,1.1434028859123307e-43,14.126229,HPGD,4.169266,2.9825022510284854e-99,21.451166,CAVIN1,2.7800548,6.209421798536861e-28,11.437267,LMNB1,3.4689567,0.0,40.49584,FOSB,2.6968951,1.0080300460075688e-40,13.609939,PXDN,2.688748,0.0,48.662422,LIMA1,2.1455925,0.0,47.632885,CALD1,3.0138197,0.0,45.30741,CDH13,2.8507419,0.0,60.987705,ST6GAL1,3.982828,9.243321382259929e-08,5.7151628,TUBA1B,1.5694464,3.7734339182199264e-149,26.268602,ZWINT,3.1548784,7.099751904969913e-155,26.739197,IFIT1B,12.579825,1.534147312133278e-87,20.08834,WIPF1,2.1252682,1.5925309689369858e-85,19.811314,LAPTM5,2.507145,1.459595867691036e-21,9.998333,CLU,2.6849875,3.109104782068064e-05,5.1057215
IRF8,4.2365556,0.0,46.646816,BHLHE41,2.849395,7.625081086164959e-258,34.493267,HS3ST2,4.06643,0.0,66.84099,ACSL4,3.5377507,0.0,61.16688,IL1B,3.6744328,0.0,38.41232,CCL4,3.7569377,5.1534253553274335e-43,14.15858,CDK5RAP3,3.0868535,1.1741947426754748e-43,14.124187,SIGLEC6,3.8351035,4.660193803851249e-99,21.428703,RHOC,2.145575,6.209421798536861e-28,11.436507,HMMR,4.43956,0.0,40.49011,HIST1H1C,1.9856391,1.115283604928437e-40,13.602198,TPM2,2.8926768,0.0,48.600315,IGFBP3,3.0046504,0.0,47.617245,AFAP1,2.1876972,0.0,45.2363,BGN,3.4928634,0.0,60.510395,JCHAIN,8.347657,1.0184135578098461e-07,5.6969957,FSCN1,1.9813641,1.6023360437199152e-148,26.211803,DEK,1.865676,5.778725866373624e-150,26.310091,EPB42,7.4864216,4.465370356581847e-80,19.199953,IER2,3.0570142,6.09602042704957e-85,19.742323,FCMR,5.3916144,5.185223089868186e-21,9.859619,SNCA,3.7943063,3.381258747017178e-05,5.087522
C1QB,6.147452,0.0,46.588917,CREG1,2.1706645,2.3110355817345866e-253,34.191856,IL1A,4.222662,0.0,66.678665,LCP2,3.5290344,0.0,60.675865,LCP2,2.7799776,0.0,38.406574,CST7,3.6041958,1.2728406862164752e-42,14.093684,ZFYVE16,2.3928955,6.9824887990946535e-43,13.994519,DUSP6,3.8287256,1.3633534845096495e-98,21.37702,CYB5R3,1.4104502,6.720547582458407e-28,11.428562,NDC80,4.725305,0.0,40.028088,NUCB2,1.6642305,1.2335092737051253e-39,13.421978,DDAH1,2.6252012,0.0,48.51768,MAGED1,2.3065193,0.0,47.361427,THBS1,3.0968726,0.0,45.226437,LTBP2,3.159375,0.0,60.27209,TXNDC11,1.9935168,1.0796327108048255e-07,5.6860085,CDKN3,3.014513,8.48668190990141e-142,25.613485,TPX2,2.6748831,5.678881306290048e-148,26.131449,HEMGN,7.1855946,7.752029425746178e-78,18.923925,CELF2,2.5717921,1.5636472537946115e-76,18.722546,TXNIP,2.3596852,9.959484507354146e-21,9.788517,SPN,2.557636,5.277532467824115e-05,4.9763503
CYP27A1,3.8473728,0.0,46.509216,SOD2,2.577692,2.8296700857457926e-243,33.503925,CSF1,3.8943655,0.0,66.65704,RASSF5,3.9823852,0.0,60.313,SPI1,2.723865,0.0,37.87237,FTH1,1.6481102,3.6711419883948884e-42,14.015181,PIK3R5,2.8184814,6.936838879776702e-42,13.826627,CST7,3.4084063,3.0622843453904273e-96,21.119635,S100A10,1.2742394,3.0565887298087626e-23,10.402415,KPNA2,3.3838966,0.0,39.434155,MYB,4.3169127,4.871949571078146e-38,13.141469,ADAM12,2.7694247,0.0,48.420883,FAM171B,2.2622104,0.0,47.26777,CRYAB,2.4584458,0.0,45.089973,POSTN,3.3002033,0.0,60.029392,SLAMF7,3.9063554,1.179211084146887e-07,5.6695824,H2AFZ,1.9598631,1.660427428382686e-138,25.314642,SMC4,2.3130832,1.6750159082273646e-147,26.08934,FECH,4.419006,3.2944685943384306e-75,18.594887,CD3E,10.779497,6.828006210442337e-72,18.136087,AFF3,6.599458,1.410619421141232e-20,9.74807,TC2N,6.130459,6.135053506387727e-05,4.9385257
