C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score,C16_names,C16_logfold,C16_pvals_adj,C16_z_score,C17_names,C17_logfold,C17_pvals_adj,C17_z_score,C18_names,C18_logfold,C18_pvals_adj,C18_z_score,C19_names,C19_logfold,C19_pvals_adj,C19_z_score,C20_names,C20_logfold,C20_pvals_adj,C20_z_score,C21_names,C21_logfold,C21_pvals_adj,C21_z_score
CCR9,-17.62229,1.0,-0.0056694355,PFDN6,0.5398397,0.7652664638930258,-0.7264328,CABS1,-17.21304,1.0,-0.008481154,URB2,0.2396464,0.25501501339765126,-1.4252251,CYP2E1,-2.4263704,0.6474416362124982,-0.84330773,SPHK2,-23.573092,0.6646738229333603,-0.8919792,GSDMD,0.85104305,0.8063114340825035,-0.7370686,SCAMP5,-22.691938,0.901219943937149,-0.6101406,FOXO1,-1.1935171,0.8296838800009654,-0.74446225,CALHM1,7.756375,1.0,0.04645626,ZNF554,0.08170322,0.7409149368882008,-0.7959503,PCED1A,-0.8547897,0.23110438287513804,1.5148796,EME2,-0.11008179,1.0,0.3577302,TNFSF4,0.8928792,0.02327164311608046,2.4992585,ZNF195,-0.38834256,0.012537955077841894,2.7063422,ZFAND4,-3.3752027,0.7779529478406731,-0.8066513,IL17C,0.11393514,1.0,0.031059263,TEX14,0.03551689,1.0,-0.04539226,GEMIN8,-24.26804,0.1597467176065665,-1.7170062,PCDHB14,-23.469374,0.2550937853389028,-1.4676301,JPH4,-24.490599,0.9619208300605616,-0.6082994,ZNF90,-23.688925,1.0,-0.25048733
CLPS,-16.084318,1.0,-0.0056694355,PINLYP,-3.0243683,0.7647345574320088,-0.72703224,SLC17A8,-15.963455,1.0,-0.008481154,CELF6,-1.2083731,0.25501501339765126,-1.425267,PAOX,-0.41453037,0.6455879067958189,-0.8454809,NXF3,-24.346125,0.6646738229333603,-0.8919792,DNAJC12,-2.2381456,0.8058895634906443,-0.7375387,TMEM163,-23.297695,0.901219943937149,-0.6101406,THY1,-0.16394246,0.829478863167053,-0.7447247,C9orf131,0.38689348,1.0,0.046451643,MARK1,-22.82948,0.7396229269679909,-0.7973701,ZNF862,-0.3994967,0.2316112636376853,1.5137061,C7orf61,0.37521273,1.0,0.35718095,CA13,-0.1879659,0.023454261906041326,2.4963775,KLHL25,0.4157668,0.012593955976264767,2.7048283,USE1,0.35787466,0.7779529478406731,-0.80670035,EXD1,0.043628704,1.0,0.03105386,ZSCAN12,0.3476997,1.0,-0.045655437,C8orf48,-24.136461,0.15935165278651328,-1.7182677,ZBTB24,1.2092245,0.2534765861307781,-1.4710072,DDX17,1.1314893,0.9614096071930851,-0.60881484,PHF14,1.1213115,1.0,-0.25083756
CLDN19,-17.229239,1.0,-0.0056694355,MAP4K2,0.6420119,0.764055365233699,-0.7277788,GPR25,-17.06563,1.0,-0.008481154,SYCP2,-0.74178636,0.2549281850171619,-1.4255043,SLC2A12,-21.890585,0.6452408595763084,-0.84592813,MPP7,0.50777435,0.6645178382288968,-0.89227945,KYAT1,0.6651268,0.8056785883089796,-0.73781043,TMEM52B,-3.4349868,0.9000167065859006,-0.6114586,PAMR1,-3.506762,0.8294456524334769,-0.7448308,C2orf78,1.1478689,1.0,0.046451643,SIGLEC8,-24.593056,0.7396229269679909,-0.7973701,COX15,-0.6106979,0.23205240306428626,1.5126797,B4GALNT4,0.6373475,1.0,0.35675117,TCP11L2,-0.84408295,0.023583700468244605,2.494388,FANCC,-0.6483051,0.01270628980364059,2.701843,GDF15,0.10165263,0.7779421664037857,-0.8068107,PLA2G1B,-0.7475966,1.0,0.031043055,ZNF852,-0.18136498,1.0,-0.04631681,SLC26A6,-24.679705,0.15894101377088063,-1.7195293,LYNX1,-23.692581,0.25344280049982293,-1.4711287,SLC40A1,-25.520267,0.9612520776807286,-0.60910934,ATP6V1G3,-22.69844,1.0,-0.25096264
OR10A7,-17.40516,1.0,-0.0056694355,GPR84,-1.0579524,0.7635744395913567,-0.72832775,GPR37L1,-16.143764,1.0,-0.008481154,CA11,-0.470817,0.25480386851490305,-1.4258132,SGIP1,-22.083826,0.6452408595763084,-0.84592813,GAREM1,-23.345936,0.6638212924369719,-0.89307636,SPEG,1.3414131,0.8045973787350971,-0.7389012,SBSN,-22.163963,0.8998236709998542,-0.6117091,CREB3L4,-5.475776,0.8288909866352675,-0.7454115,RNF224,2.8759365,1.0,0.046451643,ISG20,-0.40443948,0.7387799755077994,-0.7983459,SPA17,-0.34140897,0.23218276025277954,1.51224,RBMX,-0.37566912,1.0,0.35674047,ZKSCAN2,1.1230247,0.023642146730194564,2.4934728,TRMT6,-0.7774973,0.012924447082690462,2.6960418,PHC3,0.71060705,0.7776290717936283,-0.80717856,SLFNL1,-1.0184027,1.0,0.031043055,EGLN3,-19.69541,1.0,-0.046568546,CDCA2,-25.374922,0.15894101377088063,-1.7195293,ZNF253,0.017082619,0.2529463445968245,-1.4722047,NUDT7,-23.23469,0.9603951071428528,-0.60991937,RNASE2,-25.2291,1.0,-0.25096264
LY6D,-16.894377,1.0,-0.0056694355,MYRF,-1.4066355,0.7623790638993185,-0.7295903,COX6A2,-15.243974,1.0,-0.008481154,SUSD3,-0.98867136,0.2525039772755791,-1.4306903,ADRB2,-0.26981872,0.6440992349656502,-0.8473176,ZNF48,-2.738447,0.6637355041937759,-0.89323467,EEF1AKMT3,0.9426076,0.8030995659775156,-0.74045837,CASTOR1,-0.12532279,0.898190534467989,-0.6134934,MTBP,-0.41500095,0.8285327120259441,-0.74581355,C6orf118,3.8855698,1.0,0.046451643,HAUS8,-1.1925161,0.7386881413780007,-0.79850733,NCOA5,-0.4562659,0.2324108248724884,1.5116858,SOHLH2,0.4223588,1.0,0.35433483,FECH,-0.5918806,0.023778435440250534,2.491358,ARVCF,0.62449145,0.013034598626724871,2.6931798,CMA1,-25.610777,0.7776290717936283,-0.80720925,SOX30,-1.8208714,1.0,0.031026846,SPINK8,-19.28926,1.0,-0.046568546,CMKLR1,-24.958813,0.15894101377088063,-1.7195293,PLEKHA4,-1.642274,0.25293950269729626,-1.4722706,CHST7,0.5565586,0.9588462035518938,-0.6113994,P2RX6,-22.89846,1.0,-0.25096264
SOX21,-15.688819,1.0,-0.0056694355,NDUFA2,0.1525006,0.7622973143925783,-0.7298099,HPX,0.19708878,1.0,-0.008519271,PKD1L1,-5.479486,0.25249810590141863,-1.4307513,TSPAN15,0.25822908,0.6438232628521131,-0.84768665,ANXA1,-0.3187444,0.6635505838246105,-0.89349663,GIMAP4,-0.49575007,0.8025381618053937,-0.7410607,WWC1,-22.562052,0.8967852403537419,-0.6148461,CHCHD10,0.595919,0.8280947934796702,-0.7462882,BCL2L15,1.5990412,1.0,0.046451643,SHLD1,0.6889623,0.7377598601965457,-0.79949784,HARBI1,-0.017029436,0.23319915468856622,1.5098969,INCA1,0.68778557,1.0,0.3536251,CADM1,0.9786825,0.023793167278386228,2.4911013,TAF6L,-0.31131962,0.01324255438163721,2.6878645,RCE1,-2.3246958,0.7776290717936283,-0.80723375,RASL11A,-0.24951234,1.0,0.030294737,IL31RA,-18.660938,1.0,-0.046568546,BMF,-25.329475,0.158138515371506,-1.7220525,ZIC1,-23.896763,0.25267048785559815,-1.472878,HYKK,-22.962454,0.9587760605020608,-0.6115393,ASB13,-23.052835,1.0,-0.25096264
SMCP,-15.830375,1.0,-0.0056694355,QPRT,-0.2829473,0.7616322912872537,-0.73054326,PLEKHS1,0.004107063,1.0,-0.009138682,YY2,-4.832448,0.25221983074146903,-1.4313866,ZNF713,0.18660408,0.6437632710929391,-0.8478169,IMMP1L,0.75566816,0.6633709023410743,-0.89375323,ZNF232,-1.2867379,0.8017899944903303,-0.7418393,CCDC134,0.25118956,0.896482207706748,-0.61519676,BATF,-4.3776083,0.8264744775984258,-0.74784046,LENEP,1.5770568,1.0,0.046451643,SNX18,0.8273095,0.7368026134161486,-0.80051774,CCDC40,0.14576857,0.23490059754840517,1.506059,RIPPLY3,3.2519283,1.0,0.353124,STEAP2,0.76453114,0.02383237979920684,2.4904428,SFRP4,2.628629,0.013345843733834555,2.685201,NUBPL,0.28607807,0.777207057403551,-0.80779785,GGN,0.24950458,1.0,0.030275825,OR52K2,-19.353477,1.0,-0.046568546,KIF26B,-24.475428,0.158138515371506,-1.7220525,RBM43,0.65038943,0.2526250125182042,-1.4730238,XRCC2,-24.351274,0.9587760605020608,-0.6115393,ZKSCAN3,-22.750875,1.0,-0.25096264
PXT1,-15.638512,1.0,-0.0056694355,GNPTAB,0.22447635,0.7610584398936965,-0.7312547,RDH16,-0.6595125,1.0,-0.0091577405,MTMR11,-1.5261389,0.2520095964286405,-1.4318786,ANKFN1,-21.957756,0.6429584006917192,-0.8488351,CDK15,0.24329615,0.6632016738595141,-0.8939988,CHST7,0.73200554,0.801746866494051,-0.74195313,ZNF713,-0.79326576,0.8960436400180601,-0.6156708,FANCL,-0.8447114,0.8264744775984258,-0.74784607,AOC3,3.6075034,1.0,0.046451643,PDK4,-3.6328304,0.7368026134161486,-0.8005654,ARL5B,-0.94332296,0.23539714212224183,1.5049218,ITFG2,-0.4166251,1.0,0.35210216,DSCC1,-0.3480828,0.024109129268317125,2.486227,LANCL3,0.5557501,0.013398895793549082,2.683807,NACAD,-23.369917,0.7768744410684706,-0.8081841,PCSK4,1.0728995,1.0,0.0302299,HOXC13,-17.174631,1.0,-0.046568546,LCAT,-24.598806,0.15774657659557897,-1.723314,MAST3,1.4609469,0.25260977657733863,-1.4731071,SRBD1,1.474749,0.9582460056580843,-0.6122315,SH2D3C,-24.402794,1.0,-0.25096264
GSG1L,-15.615777,1.0,-0.0056694355,TMEM223,0.5317726,0.759579615336122,-0.7328027,CCDC114,-0.58412325,1.0,-0.009160917,ARID4B,0.5707548,0.25171766218797326,-1.4325434,PISD,0.46251032,0.6411703357429721,-0.85094315,NUDT8,-23.863722,0.6631002675577922,-0.8941735,CDH24,-22.56787,0.8017232125732009,-0.7420486,ZNF485,-2.1686976,0.8954399738554396,-0.6162951,ZNF48,-3.9736621,0.8253487720317697,-0.74901867,SFTA2,0.83562124,1.0,0.046451643,ALK,-23.350096,0.7367891526969884,-0.8006718,EXOSC3,-0.34029335,0.2368125299745858,1.5017835,CYB5RL,-0.29697356,1.0,0.35115346,TMCC2,-1.2363335,0.024159401860996046,2.4854488,GULP1,0.6124568,0.013418454223274548,2.683285,C11orf71,-0.2279084,0.7764699222608198,-0.80863786,PAPOLB,-0.18555798,1.0,0.030148854,GAS2,-19.460669,1.0,-0.046568546,KIAA1324,-1.5966208,0.15744462547197388,-1.7242614,FAIM2,-4.254244,0.2519768783536904,-1.4745196,YDJC,-23.483543,0.9582017738836583,-0.61234933,FBF1,1.0489786,1.0,-0.25111276
FRMPD2,-16.44695,1.0,-0.0056694355,CD33,-0.13769895,0.7584420627682997,-0.73401034,PROC,-0.73324597,1.0,-0.00916727,ZNF584,0.048337124,0.25066297135190185,-1.4348712,GFI1,-1.4971985,0.6395700960180524,-0.852782,RNF182,-0.2649908,0.6615499246600193,-0.8958656,IRX2,-2.1126766,0.8017232125732009,-0.74209636,PAOX,-22.50588,0.8953911597078821,-0.61641455,VAT1,0.031150037,0.8253487720317697,-0.7490577,MYF5,2.3915536,1.0,0.046451643,NKAPL,0.7239353,0.7365316793509031,-0.801068,FAM227B,0.18546373,0.23769323038841103,1.4998187,MAFK,-0.23412393,1.0,0.35080215,ASIC1,0.98317206,0.024209398991970478,2.4846394,CCDC171,0.31715393,0.013455788956619955,2.6822877,AOX1,-23.477869,0.7759935580997306,-0.809159,NUMB,-0.038265705,1.0,0.030146154,RIN1,-17.309307,1.0,-0.046568546,GPR183,-2.8627238,0.15664927329992395,-1.7266846,BIRC7,-24.889687,0.2519499270052892,-1.4746273,UIMC1,1.5048842,0.9582017738836583,-0.6123788,DOLPP1,1.3798032,1.0,-0.25126284
