Cluster,Gene,Score,Adjusted p-value
0,IL10RA,5.0649977,4.874634440863721e-05
0,CCDC88C,5.057396,5.039565920202631e-05
0,SLC38A1,5.043262,5.356135575480102e-05
0,CD52,5.036195,5.5102235889071014e-05
0,BHLHE40,5.035363,5.5102235889071014e-05
0,AOAH,5.0291276,5.656193131129787e-05
0,JUN,4.9999685,6.458950073185113e-05
0,PTPRC,4.996643,6.530473062861487e-05
0,NFATC2,4.9771643,7.178340524389584e-05
0,SLFN12L,4.938919,8.580792100830444e-05
0,ANKRD44,4.9369593,8.615222226187013e-05
0,PRKCH,4.9066715,9.879043743367527e-05
0,PDE4D,4.8618345,0.00012330149832315076
0,PIK3CD,4.8458,0.000131884390539959
0,CAPN2,4.845028,0.000131884390539959
0,KLRC4,4.8310127,0.0001407040345723531
0,SIPA1,4.8190165,0.00014857913042325024
0,RSRP1,4.8169975,0.0001492371936570245
0,RIPOR2,4.8124247,0.00015183119297341373
0,SLC44A2,4.8051796,0.0001565498263142929
0,IRF1,4.789976,0.00016794718038249716
0,PRSS23,4.776258,0.00017685050401434956
0,CFLAR,4.774892,0.000177082090967651
0,RAC2,4.7714477,0.00017915899943375736
0,PXN,4.757551,0.00018891707182789176
0,C1orf21,4.7519093,0.00019317666414596298
0,HCLS1,4.6949573,0.00025428893462927054
0,ESYT2,4.6769032,0.00027196916945205503
0,PRKCB,4.6393113,0.00032144552287043977
0,PRR5L,4.6008286,0.00038499075925889435
0,ATP2B4,4.5995817,0.000385346571945753
0,LENG8,4.571551,0.00043846381899037134
0,FAM49B,4.5555162,0.00046857126458396973
0,NFATC3,4.553557,0.00047061839852913505
0,PPP2R5C,4.5481524,0.00048048533502078857
0,ZC3HAV1,4.525051,0.0005308516952843379
0,RBL2,4.522854,0.0005316595739792845
0,SKAP1,4.5226755,0.0005316595739792845
0,RASGRP1,4.5036716,0.0005759545255509322
0,TLE5,4.4904876,0.0006098663052172435
0,GBP5,4.467089,0.0006740861673297265
0,ITGB7,4.4569936,0.0007000094091144158
0,ARHGAP25,4.437455,0.0007560414466327106
0,CASP8,4.4275374,0.0007844119559945155
0,RABGAP1L,4.40307,0.0008704021935981269
0,KLRG1,4.3896484,0.0009217218978217187
0,CD99,4.382938,0.0009463247051297789
0,RASAL3,4.3767023,0.000969447390633111
0,CD300A,4.363934,0.00102325862695064
0,MACF1,4.362093,0.001027343298368993
0,ARHGAP30,4.349562,0.0010735841675495125
0,CCL4,4.3303804,0.0011664169902827327
0,RGS3,4.303241,0.0013132441522746671
0,PSD4,4.290413,0.0013854495436890022
0,PLAC8,4.283227,0.0014127114424219705
0,CD96,4.2748537,0.0014606492487420177
0,IFI16,4.2697463,0.0014881936710756793
0,BTG2,4.2551966,0.0015816736560274969
0,PARP8,4.227463,0.0017601565606092555
0,EHD1,4.2237806,0.00178181280109334
0,HCST,4.1982446,0.001962772464408564
0,ATP8A1,4.1942654,0.0019814969298541972
0,FCGR3A,4.172114,0.002175638951519448
0,STAT4,4.1335125,0.002565303289334099
0,SEPTIN1,4.129415,0.0026010885192904168
0,TRAPPC10,4.1275144,0.0026123048178045612
0,NR4A2,4.125733,0.0026222476246323878
0,TAPBP,4.116528,0.0027184539827759644
0,ZFP36L2,4.1120143,0.002761332987877839
0,ARHGDIB,4.0948515,0.002951013795903156
0,GIMAP4,4.09016,0.00299972053455129
0,UBR2,4.0891504,0.0030012173931236903
0,MCTP2,4.0719876,0.0032188426975512385
0,ACTG1,4.040334,0.0036438581978660172
0,TRAF3IP3,4.0343957,0.003709147566739495
0,TGOLN2,4.0319014,0.003734703069210559
0,MAPK1,4.0248938,0.003833320483633951
0,FCMR,4.0227556,0.003835133944291197
0,LIMD2,4.022221,0.003835133944291197
0,PDZD4,4.009275,0.003978171232874445
0,METRNL,3.9988823,0.004140887308218974
0,CSRNP1,3.9931216,0.004227565510839478
0,DIAPH1,3.983026,0.0043798035480891945
0,DDIT4,3.9810069,0.004401460249437991
0,CYBA,3.9798784,0.004406721111761561
0,PLEK,3.9700797,0.004575717418080603
0,ABCA2,3.9564207,0.004828208005612239
0,FBXW5,3.942821,0.005074721349291398
0,NOTCH1,3.9397328,0.005122576954392417
0,CLK1,3.9318938,0.005237814915048378
0,CCDC88B,3.9124742,0.0056386876228227
0,CNOT6L,3.8878286,0.0061378339579238606
0,BRD2,3.8847404,0.006188390068288877
0,MAP3K8,3.884206,0.006188390068288877
0,PTPN12,3.8819492,0.006204612478852032
0,SH2D2A,3.8785641,0.006270738687955143
0,FAM53B,3.8653803,0.006597503049155264
0,KLRC3,3.8530278,0.006916690305689252
0,DDX5,3.850474,0.006966295497778092
0,JUNB,3.848633,0.00698327189411889
0,DDX6,3.8482769,0.00698327189411889
0,SLAMF6,3.8375278,0.007272349133495705
0,EMP3,3.8330739,0.00734402304822356
0,BIN1,3.8319454,0.00734402304822356
0,NLRC3,3.8284416,0.0074018986233105
0,ARRDC3,3.826957,0.007413826587510656
0,DOCK11,3.8264818,0.007413826587510656
0,RALGDS,3.8247595,0.007442291285654541
0,PIP4K2A,3.82375,0.007449347049824599
0,ADAM8,3.8225029,0.007463665168930704
0,RBM33,3.813476,0.0077175501806352785
0,ATP2A3,3.8043303,0.007958568042134302
0,DENND1C,3.7797441,0.008705914516167897
0,PACS1,3.7603247,0.009352831908578219
0,SLA2,3.7423306,0.009927435635143656
0,GRK2,3.7348478,0.010165882891713668
0,SYTL2,3.726771,0.010465668893808209
0,ARHGEF3,3.720001,0.010718145477527828
0,FGD3,3.7103803,0.01110067527344296
0,TAP1,3.7028975,0.011399468653313186
0,FAM107B,3.6947021,0.011738665107397664
0,ARHGAP45,3.6506963,0.013863414088055628
0,CDKN1B,3.6488554,0.01392217982574011
0,PCSK7,3.637453,0.014510485201129705
0,AAK1,3.6331177,0.01471355281187665
