C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score,C16_names,C16_logfold,C16_pvals_adj,C16_z_score
MS4A5,3.4409196,1.0,0.07366134,DUSP21,-18.853397,1.0,-0.03726266,ZNF296,-2.476036,1.0,-0.19790092,MAGEB1,-14.761433,1.0,-0.0049420074,OR5K2,-16.201012,1.0,-0.0060487557,NEK1,0.2943329,1.0,-0.54978913,NIM1K,-1.3567809,1.0,0.03907045,DEPDC7,-0.27935553,1.0,-0.085884444,STK36,-23.780584,1.0,-0.6653276,SOWAHD,0.2841559,1.0,-0.37874907,C11orf94,-18.220837,1.0,-0.01594109,FABP4,-3.5483239,0.18003637936795727,-1.7258592,KLK2,-16.647924,1.0,-0.0024604467,PRR15L,-16.717133,1.0,-0.0014253071,ANKRD7,-17.468664,1.0,-0.01738751,SOX12,-22.28487,1.0,-0.15418695,HSPG2,-23.79623,1.0,-0.118058704
SYNDIG1L,1.3015788,1.0,0.07365121,HS6ST3,-18.561655,1.0,-0.03726266,ZNF559,-0.45946372,1.0,-0.19843635,DYDC1,-16.147999,1.0,-0.0049420074,PGLYRP4,-16.784117,1.0,-0.0060487557,PUS10,-0.33863455,1.0,-0.55008805,C16orf96,-1.2138333,1.0,0.03907045,ITGB4,-0.69933283,1.0,-0.08589501,TTPAL,-0.05343012,1.0,-0.6655003,CDC42EP1,0.60538054,1.0,-0.37923095,ABCA4,-18.92787,1.0,-0.01594109,ZNHIT2,-0.9361585,0.1799205590945257,-1.7262162,DEFB108B,-16.511656,1.0,-0.0024604467,CBLL2,-15.180691,1.0,-0.0014253071,TM4SF18,-17.952606,1.0,-0.01738751,IGFBP6,-22.896683,1.0,-0.15418695,MEGF6,-23.553944,1.0,-0.118058704
SCN3B,1.7802228,1.0,0.07365121,TIGIT,-18.482506,1.0,-0.03726266,POMT1,-0.20451462,1.0,-0.19848816,NKX1-2,-15.492366,1.0,-0.0049420074,OR10A6,-17.213133,1.0,-0.0060487557,FNDC10,0.3263467,1.0,-0.55037886,SPATA6L,-1.7389138,1.0,0.03907045,GNG7,-0.790804,1.0,-0.08589501,SPIRE2,-0.9328899,1.0,-0.6655126,PRICKLE3,0.60548747,1.0,-0.37958306,ZFP2,-18.310186,1.0,-0.01594109,POLI,0.52412117,0.17968987876882006,-1.7268728,ADH6,-17.393082,1.0,-0.0024604467,SCGB2A2,-16.045006,1.0,-0.0014253071,HOXA11,-17.048964,1.0,-0.01738751,LYPD5,-21.815144,1.0,-0.15418695,AP4S1,-0.22021286,1.0,-0.118163414
PNMA2,2.600641,1.0,0.07365121,DLEC1,-16.755297,1.0,-0.03726266,FSTL3,-2.007105,1.0,-0.19853999,OR4A16,-17.207933,1.0,-0.0049420074,PLEKHB1,0.7057036,1.0,-0.0065123257,ATP23,0.5479441,1.0,-0.5504677,ARHGAP20,-1.4315537,1.0,0.03907045,TPBGL,-0.15753074,1.0,-0.086063996,FANCG,-2.11212,1.0,-0.66664755,GINS2,-0.6281855,1.0,-0.37969428,MAP6,-17.234886,1.0,-0.01594109,SLC22A18AS,-4.4537983,0.17912433976364076,-1.7284604,STAB2,-16.613749,1.0,-0.0024604467,GRID2,-14.033604,1.0,-0.0014253071,IQCA1L,-18.836689,1.0,-0.01738751,CHTF18,-22.342857,1.0,-0.15418695,ELP6,-0.72024924,1.0,-0.11826812
LRRIQ4,2.0491328,1.0,0.07365121,LZTS1,-17.85351,1.0,-0.03726266,ECHDC3,-0.5012045,1.0,-0.19860907,LIPF,-17.695078,1.0,-0.0049420074,GPR89B,0.5400805,1.0,-0.007082015,ABCA7,0.53397655,1.0,-0.550597,TAS1R3,-1.4602704,1.0,0.03907045,GINS4,-0.20526378,1.0,-0.08718885,EPC1,0.8911796,1.0,-0.6671163,RNFT2,-1.0762953,1.0,-0.38023174,KRT3,-18.263851,1.0,-0.01594109,CYFIP2,0.7794837,0.17838352956180425,-1.730456,INSM1,-18.177942,1.0,-0.0024604467,SMPX,-16.045006,1.0,-0.0014253071,EDA,-17.50633,1.0,-0.01738751,ZNF689,-0.2531147,1.0,-0.1547442,SRSF1,0.04278547,1.0,-0.11858224
PALMD,2.4648535,1.0,0.07365121,PPARGC1A,-18.775015,1.0,-0.03726266,MARCH3,-0.66833574,1.0,-0.19878179,KCNK18,-14.329388,1.0,-0.0049420074,NIPBL,-0.07700254,1.0,-0.007461807,MALT1,0.28172797,1.0,-0.5512191,SORCS2,-1.0982509,1.0,0.03907045,SOWAHD,0.053244103,1.0,-0.087521546,SOX4,-1.0636417,1.0,-0.6671163,IGLON5,-1.4396436,1.0,-0.3808248,NOVA2,-18.685312,1.0,-0.01594109,ZNF784,-0.9227055,0.17838352956180425,-1.7304751,TTC9B,-17.703032,1.0,-0.0024604467,ZNF676,-15.844355,1.0,-0.0014253071,WDR86,-15.909745,1.0,-0.01738751,PPP2R1A,0.3617425,1.0,-0.15476564,APOBEC3F,-23.066483,1.0,-0.1186346
TVP23A,1.3727691,1.0,0.07365121,CLDN5,-19.467197,1.0,-0.03726266,DCBLD1,-2.1126575,1.0,-0.19891997,RAB40A,-14.599244,1.0,-0.0049420074,GSDMA,0.39726576,1.0,-0.007947719,PRPF38A,0.5259211,1.0,-0.5527218,EFCAB3,18.96184,1.0,0.038883623,CCDC180,-1.4153728,1.0,-0.087812,ZNF383,-0.7162909,1.0,-0.6677331,PLSCR4,-22.730606,1.0,-0.3811584,KCNH1,-18.089188,1.0,-0.01594109,RARG,-0.24090023,0.17826529436127803,-1.7308768,BTBD18,-17.517956,1.0,-0.0024604467,HOXB1,-16.717133,1.0,-0.0014253071,REELD1,-17.491898,1.0,-0.01738751,B4GALT2,-0.8483809,1.0,-0.15523715,H3F3B,-0.18250069,1.0,-0.11868695
NEUROG2,2.2693055,1.0,0.07364107,RANBP3L,-17.931887,1.0,-0.03726266,PLSCR4,-22.69169,1.0,-0.19907542,STUM,-16.939138,1.0,-0.0049420074,PRDM5,0.14764526,1.0,-0.007958889,UXT,0.30482367,1.0,-0.55273795,RASA4B,16.126265,1.0,0.038883623,UCP3,-0.88806975,1.0,-0.087880656,MND1,-24.114994,1.0,-0.66781944,UBAP2,1.0005023,1.0,-0.38156614,PLCH1,-18.815321,1.0,-0.01594109,SELENOP,-3.6963902,0.17746678723441953,-1.7330317,GUCA2B,-16.897812,1.0,-0.0024604467,NR2E1,-17.29225,1.0,-0.0014253071,PCDHGB2,-18.250092,1.0,-0.01738751,PODXL,-22.472935,1.0,-0.1556015,RBAK,-0.6611655,1.0,-0.119001076
CORO6,1.8833951,1.0,0.07364107,F10,-18.349031,1.0,-0.03726266,CLDND2,-22.183054,1.0,-0.19907542,LEFTY2,-17.695078,1.0,-0.0049420074,DYNC1I1,0.5300497,1.0,-0.008025911,HDGFL3,0.4289211,1.0,-0.55315804,OR5T1,18.427036,1.0,0.038883623,HELZ,-0.16522391,1.0,-0.08794402,ESR1,-23.366459,1.0,-0.66781944,BPHL,0.49066332,1.0,-0.38161248,L1TD1,-18.281172,1.0,-0.01594109,ZFP30,-1.0715351,0.1767603898723397,-1.7349508,CFAP74,-17.902712,1.0,-0.0024604467,FAM177B,-16.296293,1.0,-0.0014253071,EVX1,-18.94833,1.0,-0.01738751,PLEKHA7,-21.961105,1.0,-0.1556015,KCNJ2,-23.335495,1.0,-0.1192105
MIP,1.7972994,1.0,0.07364107,KRT14,-18.895494,1.0,-0.03726266,ITGAD,-22.404856,1.0,-0.19907542,C11orf88,-17.11957,1.0,-0.0049420074,LSMEM1,0.206932,1.0,-0.0080594225,BPHL,-0.3892998,1.0,-0.55354583,CPAMD8,18.427036,1.0,0.038883623,HDAC2,0.018089844,1.0,-0.08812886,ZNF585B,-0.40497553,1.0,-0.6678688,ZC2HC1C,-1.1282622,1.0,-0.3818534,IQCA1,-18.044102,1.0,-0.01594109,SMYD4,-2.1456776,0.17668960837640008,-1.7351931,LGALS14,-17.835907,1.0,-0.0024604467,SOX10,-16.045006,1.0,-0.0014253071,CYP4F2,-18.611414,1.0,-0.01738751,RET,-23.01513,1.0,-0.1556015,OSGEPL1,-23.212992,1.0,-0.1192105
