C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score,C16_names,C16_logfold,C16_pvals_adj,C16_z_score
CTSZ,2.4738061,0.0,49.02823,NUPR1,2.9528039,2.245265516222557e-294,36.93557,FBP1,2.8248987,6.37436873016988e-32,12.559506,PLPP3,2.0450091,6.441702248285436e-187,29.492786,KIT,4.932252,0.0,47.696743,SRGN,2.8334277,1.1672373225778296e-250,34.10391,FBP1,2.4087884,0.0,43.726925,S100A8,3.6456985,0.0,44.099476,CLC,6.7778163,9.110988676742194e-102,21.869791,ITGAX,3.5359104,5.787896050526853e-132,24.785648,TYMS,5.8753138,3.409818531054952e-101,21.809488,FXYD5,2.109113,0.0,39.1106,MPO,9.265129,4.017874615686033e-22,10.627408,CALD1,9.762629,1.2941196581828899e-39,13.891255,MKI67,5.5185957,1.6242942220405858e-142,25.799498,S100A9,6.0517197,5.694684483888975e-40,13.937351,NRGN,9.645925,4.2285716443838655e-05,5.740794
MARCO,3.5548985,0.0,48.412376,CES1,2.2446272,1.5019331119849932e-191,29.774704,TMSB10,1.554786,1.6824124282414206e-24,11.028287,HS3ST2,2.1235583,7.576556068372557e-171,28.187252,CPA3,5.639668,0.0,47.17652,CSF2RB,3.8380678,2.384188817075856e-249,33.995045,CXCL16,1.7287859,0.0,43.418102,FCAR,3.6633456,0.0,44.064625,TMSB4X,1.6975454,5.0818701381598144e-92,20.787458,MT-ND4,5.0353827,1.0012450498036723e-122,23.904217,HPGD,4.2198234,6.185298482481652e-86,20.103756,LAPTM5,2.1662967,2.206859573315259e-303,37.474022,NUCB2,4.292317,1.3520270913213079e-21,10.448066,MYL9,8.968055,1.0422804342727096e-34,13.004544,CEP55,5.8118362,9.891977808471702e-112,22.862638,S100A8,7.2634706,5.694684483888975e-40,13.900401,PPBP,13.672967,4.2285716443838655e-05,5.739852
CD163,3.3685577,0.0,45.20655,ARF4,2.5146956,1.19519297686236e-187,29.468615,TMSB4X,1.0874623,6.427983238719542e-24,10.880872,UGCG,1.9251797,2.0058582144503932e-165,27.726704,HPGD,4.994526,0.0,46.83459,HDC,4.7124887,1.4952604410764014e-232,32.826317,PCOLCE2,2.3129635,0.0,40.92006,S100A9,2.945535,0.0,44.03802,CD24,4.9444594,7.740909326677055e-81,19.491974,MT-ATP6,5.1233916,8.285486814194314e-118,23.412237,CTSG,4.772959,9.667607351341897e-83,19.714975,CPA3,4.981364,3.385737273228722e-294,36.894714,CALR,2.8489945,1.1781384483130789e-17,9.382889,FN1,8.647012,1.320244199448186e-34,12.955382,IDH2,2.2987814,4.483627291896721e-108,22.474104,S100A12,8.634158,7.404729739271325e-33,12.642644,ITGB3,8.164597,4.2285716443838655e-05,5.7387
APOE,3.1850784,0.0,45.091812,CALU,1.8303847,3.614425630426966e-183,29.11109,GSN,1.7148074,6.39925378047072e-17,9.190976,CTSS,1.8036261,3.2097126716380614e-153,26.684618,VWA5A,3.5986712,0.0,46.64657,CLC,7.3287463,7.198062339569852e-216,31.626575,MRC1,2.163343,0.0,39.214447,CXCL8,2.298166,0.0,42.838055,SRGN,1.8798816,3.146341052970041e-66,17.64855,MT-ND3,5.1152787,1.6166129640104788e-111,22.77075,TUBB,3.970692,2.2219168338754123e-76,18.94436,ANXA1,2.3792117,6.311109965854256e-270,35.34064,CAT,2.7309687,1.2028282700023177e-15,8.808891,MMP2,5.008846,4.240825455842823e-34,12.83489,TYMS,4.1477942,1.7268683019997075e-101,21.777163,CD24,4.7646875,9.163443469677674e-31,12.234757,CAVIN2,7.815787,4.2285716443838655e-05,5.727601
IRF8,3.47139,0.0,43.354053,GPNMB,1.8602747,7.498952121967325e-162,27.367777,CRABP2,6.2025924,2.226315641366847e-15,8.7457075,GPNMB,2.089313,1.0078068869220912e-151,26.546928,CTSG,5.609557,0.0,45.651886,CLU,3.8805091,1.2714901834901764e-180,28.935928,TGM2,2.3529735,0.0,38.842323,CSF3R,3.4116445,0.0,40.430756,EGR3,4.085549,2.9127849765948703e-64,17.382093,LENG8,2.7833605,4.6996084933775156e-88,20.23925,ANXA1,2.1981575,6.2820494085748995e-74,18.632942,GATA2,4.250414,1.27198631382894e-268,35.249294,SPN,2.1796923,1.4886045282676413e-15,8.779194,SPARC,4.7062445,4.240825455842823e-34,12.825998,RRM2,5.464668,9.922173245194579e-95,21.041365,PADI4,6.591671,7.343797090093469e-24,10.831665,THBS1,7.154312,4.2285716443838655e-05,5.7041464
C1QB,4.701037,0.0,43.002895,LGALS3,1.1124064,1.0954162796592996e-156,26.923975,ANXA2,1.6021607,1.0477684032699967e-13,8.270611,CHI3L1,2.5792222,4.71670083780089e-148,26.22017,LAPTM5,2.2232628,0.0,45.317707,FCER1A,4.1831408,1.071745103159463e-175,28.536352,TFRC,2.0969567,0.0,37.7398,BRI3,1.6925418,0.0,39.71114,PYGL,3.3541768,1.916339496344507e-60,16.843765,ALOX5,1.9259346,5.443296292640561e-78,19.038858,HIST1H1B,4.392589,1.0960602311595297e-73,18.593355,CTSG,4.905596,2.9087826572880723e-268,35.22067,MLC1,4.7897043,2.509393147576846e-15,8.709465,COL6A1,6.734923,4.790183161176542e-34,12.802406,CDK1,4.9123473,8.571935884474314e-90,20.486443,BASP1,2.7247102,2.6295719305574884e-23,10.699983,RUFY1,4.457993,6.289860720412107e-05,5.604621
NUPR1,2.881687,0.0,41.13713,PGRMC2,2.1957626,8.667878812807975e-151,26.413504,C1QA,2.2137508,2.353112341740967e-13,8.163543,TCN2,1.8903154,1.2336739941551921e-147,26.177649,GATA2,4.920141,0.0,45.30881,GATA2,4.2513256,6.913111781309672e-175,28.466347,ENG,1.7569106,4.729255738076408e-305,37.543026,PLAUR,1.5703567,1.4611124801341268e-290,36.644222,CSF2RB,2.8438308,3.400193380216866e-60,16.804647,RSRP1,3.065397,1.9401450755065946e-77,18.970257,GATA2,3.8368926,5.467988210426052e-69,17.995401,HPGD,3.9046087,3.1127785630139835e-231,32.703842,AZU1,8.083737,3.81819936014683e-15,8.656689,COL6A2,7.285927,8.867307466010336e-33,12.551042,TUBA1B,2.103646,1.2131547249450534e-78,19.187622,FPR2,4.7656555,3.161022072407489e-23,10.670512,SERPINE1,5.2645526,8.64453729457613e-05,5.522268
CTSL,2.3222375,0.0,41.107944,EEF2,0.9830909,5.893440682970087e-149,26.251648,NCF2,1.373125,2.727884728082342e-13,8.140934,CTSA,1.4088234,1.2090459162950267e-144,25.908447,SIGLEC6,4.0818005,0.0,45.086803,MS4A2,3.8265824,1.1091361641721263e-169,28.038477,CTSH,1.9281124,1.0765489789980456e-303,37.45619,IL1RN,2.9244318,3.453094323465404e-286,36.364906,PLPP1,4.6898427,5.132486769249126e-59,16.638124,PLEC,2.6808772,4.581630467313524e-71,18.170319,CPA3,4.332435,5.236165682428113e-67,17.733383,AHR,2.9154563,1.1106766772990473e-220,31.940285,MAT2A,2.862575,8.167787621009477e-15,8.559402,IGFBP7,7.7917457,1.2895136950366663e-32,12.512005,TACC3,3.93051,2.135944945176296e-74,18.665493,MXD1,3.9152188,6.361839893033473e-22,10.366596,RAB27B,5.497191,9.159497946165755e-05,5.4885516
CCL18,3.0602355,0.0,40.216606,APOE,1.9321594,2.5224612466125683e-148,26.192816,SPARC,2.109862,3.697285224355323e-13,8.098756,CSTB,1.5166559,1.4950769970969232e-131,24.714655,AHR,3.3535,0.0,45.052795,PLPP1,5.3137736,2.2914419099816675e-167,27.84417,SLCO2B1,2.0264359,3.192014208161462e-303,37.424038,SOD2,2.1526892,1.0398021643825615e-282,36.140877,CORO1A,4.029291,7.253903057138918e-55,16.032133,MT-ND6,4.639623,1.653114564155128e-70,18.096712,MKI67,4.4917073,7.90082245433349e-67,17.703613,GLUL,1.7177657,9.054085050292524e-220,31.869757,NCL,2.937498,8.220235049259396e-15,8.5503235,TAGLN,6.381515,2.0335640961883705e-30,12.087008,TMEM106C,3.2953377,2.67911382756858e-74,18.647087,FCAR,3.693081,1.3424245650921006e-21,10.285795,ACTN1,2.6490204,0.0002839479048230637,5.227618
MS4A7,2.458194,0.0,38.967,TXNRD1,1.4115924,1.1219646933183131e-145,25.954603,S100A9,1.6255814,5.199012267402975e-13,8.049134,CTSH,1.7323309,5.088148897905957e-131,24.660866,ACSL4,3.0358808,0.0,44.768005,MS4A3,6.169042,3.7224482795767796e-165,27.657547,COLEC12,2.0566568,3.572725275631543e-302,37.35667,CCL4,2.573075,1.3906260887409647e-282,36.12992,CCL23,5.1543565,1.4678916485238676e-50,15.388726,MT-CO3,5.0509396,5.001457207656381e-68,17.776297,MS4A2,3.2655048,3.0088416945841197e-66,17.622202,SRGN,1.673599,7.791827157491036e-214,31.434233,SERPINB1,2.1251366,2.4014411403265226e-13,8.143144,TPM2,9.287189,8.690669673567558e-30,11.959837,HMMR,5.5692887,1.552334681011956e-73,18.54724,CD55,1.9984603,5.058329159172057e-21,10.148733,PF4,15.36997,0.0002839479048230637,5.2189274
CD74,2.1220071,0.0,38.54217,PLPP3,1.5485551,1.183076483293582e-134,24.954727,LTA4H,1.5556844,1.0658876192588613e-12,7.9525323,APP,1.5382779,1.698725722929318e-126,24.231611,HPGDS,4.2100616,0.0,44.45139,SAMSN1,2.8514264,2.2790814948208023e-157,26.999144,LYZ,2.4758427,1.426687777028451e-290,36.632545,CCL4L2,2.9745455,2.597672336989101e-279,35.91834,CYTIP,2.6422946,2.0895883064597465e-46,14.74194,MT-CO2,4.975953,2.0995127289994646e-66,17.562643,KIT,3.3742728,1.1599373602057306e-65,17.540293,MSN,1.4598297,1.7305341713935974e-195,30.049728,SET,3.0015738,2.786549438039834e-12,7.821022,TIMP1,4.8034554,1.6266037459764086e-29,11.900995,CENPE,4.4553823,3.647321219868773e-71,18.246183,TSPAN2,5.9917955,8.712758686037364e-20,9.859049,GP1BB,11.509999,0.0002839479048230637,5.21631
C1QA,2.7542763,0.0,38.33539,TBC1D2,1.7593015,4.2676119268774457e-132,24.714058,S100A10,1.2423751,2.3058862597766727e-11,7.536004,B2M,0.8228517,3.2766252102756505e-122,23.817991,CLU,4.112054,0.0,44.16761,SOCS2,3.5992231,3.268682071924571e-152,26.553339,IL1A,2.0493543,1.1614028196450706e-283,36.19349,CD14,2.1897526,4.6391821067226645e-278,35.835636,CD69,2.8146474,3.205524737026084e-45,14.554161,NABP1,1.9600903,3.816728534698075e-64,17.263449,RAB27B,3.1872854,1.3843351393696163e-65,17.525291,CLU,3.2400084,2.8434181574970575e-192,29.79979,TYMS,4.3619227,4.199405063342375e-12,7.7584777,TPM1,5.842792,1.0551082479359893e-27,11.5297985,SMC4,2.8965607,5.6483264661396695e-71,18.217506,BPI,6.9376087,1.1995706913797197e-19,9.81942,LTBP1,10.375404,0.0002839479048230637,5.210394
CTSB,1.5315833,0.0,38.173798,RHOQ,1.3216786,1.074498897843038e-130,24.582144,SERPINA1,1.6555213,6.544087693296617e-11,7.3853936,CYP27A1,1.7136298,2.9428429758394187e-118,23.429972,SLC18A2,4.151243,0.0,43.99693,BHLHE40,1.7675785,2.5668192663793503e-141,25.577765,ADAMTSL4,1.778291,3.873707952483873e-279,35.902573,CCL3,2.7965727,3.354450730755276e-276,35.71383,BTG2,1.8165941,3.8881843986629475e-45,14.538778,APOE,2.3268747,1.011485481969632e-62,17.070488,LMNB1,4.474366,3.8961413100075705e-65,17.461771,SIGLEC6,3.2388604,5.278798235381009e-186,29.305763,PRSS57,7.708936,4.199405063342375e-12,7.7551312,POSTN,10.103734,6.778954383576067e-27,11.358251,ACTB,1.0518827,1.1626310967354253e-65,17.530664,LSP1,2.7346668,1.5991798935183688e-19,9.783413,LGALSL,6.972052,0.0004076780054546289,5.1278315
NRP2,2.8201687,0.0,37.96167,LAMP1,0.9870543,1.0102470486721303e-129,24.489748,SPI1,1.0565714,1.0850726879586093e-10,7.3085513,FGR,1.3709623,1.5036317966762e-114,23.060123,DUSP4,4.596246,0.0,43.913715,CPA3,4.22247,5.505706870021561e-140,25.455797,VSIG4,2.5275788,3.803501539126454e-278,35.836876,CYBB,2.0466015,4.993132622732281e-270,35.311832,NCF2,2.1312957,1.7243328153484739e-44,14.430271,TRIM25,2.0063841,1.0538742345859191e-59,16.652254,ADAM12,3.359349,1.7884534546514903e-64,17.370312,RGS13,3.6388607,4.141931355215469e-180,28.833134,RACK1,2.7320065,5.084112971828219e-12,7.724302,MAP1B,9.245443,7.366364793998281e-26,11.130011,DEK,2.1555524,4.513351027119436e-65,17.44914,CHI3L1,2.9809284,6.5441159156749666e-18,9.365088,CD9,3.2734888,0.00048325526504593597,5.081655
LIPA,2.2347383,1.7298227420725393e-305,37.54951,GPX4,0.93897337,3.5290185942542046e-129,24.437521,ZNF385A,2.7069309,1.1595855567440318e-10,7.2937665,FCGR2B,2.1012807,2.441672503954322e-106,22.223726,SEMA7A,3.9847121,0.0,43.880028,GCSAML,3.3988657,2.212605426631814e-122,23.794659,SAMHD1,1.7584002,3.7347619388586215e-268,35.18757,LSP1,2.3315992,1.507168249473499e-265,35.01677,ALAS1,3.0515914,7.8046388664861e-40,13.6395235,ZFYVE16,1.9368588,3.0914466682122816e-56,16.160526,SLC18A2,3.2235317,2.108557496199526e-64,17.3569,SAMSN1,2.4462786,1.7886138884433283e-175,28.457312,EEF2,1.3953277,8.135790302756349e-12,7.654893,FSTL1,8.102069,1.3090288298311688e-25,11.071977,STMN1,3.0449746,2.038391799183837e-64,17.358843,LTF,9.310743,4.481027621324785e-16,8.879916,ARHGAP21,5.628553,0.0005911532508003877,5.0300336
GPNMB,2.3282328,3.4395759094063068e-304,37.468136,VIM,0.6172872,2.615158178884908e-125,24.06845,EVL,1.5249953,2.0219963805035154e-10,7.2128477,ACP5,1.5587275,3.4471881596005817e-105,22.101606,FAM102A,4.1255207,0.0,43.861465,TXNIP,2.2341826,3.6650958856202215e-121,23.67396,LTA4H,1.7467787,5.963387438004419e-267,35.106968,GRINA,1.3530958,6.925299953725667e-247,33.76647,MXD1,3.6391954,8.923547935899482e-36,12.928479,PPARG,1.7044145,2.689186684834135e-54,15.873517,RAC2,2.1890697,7.993022443380339e-64,17.276487,JUNB,1.4440674,2.179922773382649e-159,27.11882,DDX21,2.5995655,1.032770517011267e-11,7.621209,IGFBP4,7.973834,1.3090288298311688e-25,11.070849,TPX2,4.4929295,1.5584604859586054e-63,17.237923,IVNS1ABP,1.9035313,1.3306459830507176e-15,8.7499695,PLEK,3.2502265,0.0009757799152635236,4.9204564
PSAP,1.6935133,7.629344303012765e-302,37.322166,SEC31A,1.6016654,8.030385211638835e-125,24.020763,LCP1,0.8761714,1.1091024652767063e-09,6.9513173,ORM1,3.149065,4.5158543233892614e-101,21.66653,RGS13,4.0694346,0.0,43.784718,AKAP12,4.19912,6.633266247395193e-117,23.253191,CCL18,2.3940864,8.85893440168592e-255,34.298264,CHI3L1,2.4961686,2.501480151890113e-237,33.107063,S100A8,2.48897,1.1161307523901546e-32,12.342151,TNFAIP2,2.3584137,9.703050031345445e-53,15.642182,RGS13,3.0779955,2.818544726841727e-62,17.066177,KIT,3.2987616,5.672425288818642e-159,27.082836,LDHB,2.454851,2.2313524147845284e-11,7.515336,ABI3BP,9.555987,6.048271350757235e-25,10.925596,S100A9,1.7986665,3.4969602508309415e-63,17.187616,S100P,3.29274,3.0320458733496785e-15,8.648936,TMSB4X,1.700318,0.0020023203646599304,4.765645
SPARC,2.368433,2.9415837640250796e-297,37.03681,ZFYVE16,1.3305045,1.862667596576408e-116,23.204296,TGM2,1.6154953,2.067672398723889e-09,6.851296,GRINA,1.0947104,9.907712573714157e-100,21.521177,SAMSN1,3.1577322,0.0,43.55217,ANXA1,1.9132016,2.1532159845666138e-113,22.900019,INHBA,2.0958118,7.136561605562087e-252,34.1011,NFKBIA,1.5967201,2.6246626131921987e-235,32.964607,CXCR4,2.393744,5.0785137204876615e-31,12.019443,PDXK,1.5221021,2.6887145221148268e-52,15.5744705,CKAP2L,4.958258,4.380307370646953e-62,17.03707,NR4A2,2.7615368,2.5363688988283302e-157,26.941608,MAGED1,4.0727477,3.3742004745187295e-11,7.4536037,MXRA7,4.85494,7.203928856530615e-25,10.90628,TUBB,2.5791862,1.4071805774801175e-62,17.103365,CEACAM3,5.73776,3.792455817053641e-15,8.612779,TUBB1,13.142641,0.002527287056125386,4.6958046
IFI27,3.6398506,1.588093098130677e-296,36.98983,HS3ST2,1.5132053,5.772294564554461e-113,22.85075,FTL,0.87785906,2.850701353942599e-09,6.798617,LYZ,2.0927627,3.6530799880892215e-99,21.458076,IL1RL1,3.9407797,0.0,43.541786,IL1RL1,3.0939112,2.7222398263212383e-113,22.888693,PNPLA6,1.6135472,1.5327087363786231e-251,34.076763,IER3,1.9153231,5.6262316754751465e-235,32.93985,ARL4C,3.6926622,6.099022247851123e-30,11.805031,KLF6,1.1969997,1.4272838414509518e-44,14.365452,VWA5A,2.6411862,1.7987373924436672e-61,16.948048,RAB27B,3.3673632,3.6990303287677466e-146,25.963242,MYC,4.337214,6.199696547956805e-11,7.364142,SERPINE1,4.508625,7.495199590386261e-25,10.899366,CKAP2L,4.252888,9.206901058648683e-62,16.99039,MKI67,4.6449533,4.465659867269283e-15,8.590703,C2orf88,12.900077,0.002527287056125386,4.6958046
ADTRP,2.1422842,1.3199247114435558e-292,36.74381,CSTB,1.2814687,9.129014600522088e-112,22.727924,S100A6,0.97770816,9.203210413890241e-09,6.5959835,MAN2B1,1.2971047,3.800908327431457e-99,21.453846,RAB27B,4.001437,0.0,43.538467,CYTIP,2.336835,1.3448899056255882e-110,22.614452,MCEMP1,1.842025,1.5327087363786231e-251,34.075607,NAMPT,1.7078326,1.6394472867132153e-227,32.412777,ADAM8,5.205238,1.0173782470499713e-28,11.556955,SLC11A1,2.5128796,1.3703321454701395e-43,14.204109,SRGN,1.5821565,4.865433715719162e-61,16.886557,LCP2,1.3575674,2.288385190071584e-143,25.713646,HSP90AB1,2.70704,6.296085210103675e-11,7.359541,COL5A1,8.456813,1.0304776475064401e-24,10.867158,MYBL2,4.9627314,2.9743082743641462e-58,16.506584,ADGRG3,4.022479,6.372102661719527e-14,8.273221,FERMT3,2.6641138,0.0038924629816071395,4.59607
CES1,2.5525649,9.857213320370608e-292,36.68776,RAB18,1.340503,7.798992951498426e-110,22.530832,SAMHD1,1.2475096,1.4643433632964742e-08,6.5175347,SLC47A1,1.5928993,6.663576083053256e-99,21.425447,NSMCE1,3.3107667,0.0,42.987255,PRG2,3.548661,5.4231614697324984e-107,22.242958,TRPV2,1.6310617,1.2317433529509467e-246,33.74138,BCL2A1,1.3996279,4.909359614849849e-223,32.091995,TRIB1,2.652536,2.144477621594081e-28,11.489922,FNDC3B,1.6902956,6.958089251554636e-40,13.574214,CLU,3.0677643,1.775762458295567e-59,16.664948,RAC2,1.8928123,7.036685595140646e-137,25.119125,RNASE2,6.0166664,6.569593946757544e-11,7.348912,GREM1,9.873507,4.560185808590339e-24,10.724415,TCF19,4.3515244,1.1146912791594982e-57,16.420864,MNDA,2.4408648,8.80921747881926e-14,8.231341,ITGA2B,4.484783,0.003928243067362613,4.583976
BHLHE41,1.9965216,5.138448025446506e-258,34.507217,FABP3,1.8095978,2.0466674541069126e-108,22.383812,SSBP3,2.7285128,1.543485510863861e-08,6.50503,RNF13,1.3056866,1.3357791283380083e-98,21.389627,BACE2,3.885723,0.0,42.815125,RFLNB,3.5734107,8.886743564533115e-106,22.116117,CTSA,1.3812454,1.7927032226570225e-243,33.52364,AQP9,1.9180174,6.4395696425028396e-223,32.080715,BIRC3,3.2224476,2.21036231782561e-27,11.278557,KYNU,3.1744022,9.587387380028536e-39,13.375776,AHR,2.4137313,7.479240209457598e-59,16.576298,VWA5A,2.452964,1.646673113631695e-135,24.992498,YBX3,3.339156,9.689183636828891e-11,7.2943635,BGN,8.978237,6.684025108603175e-23,10.46737,ZWINT,3.9834924,2.9295910000838666e-56,16.218592,ORM1,3.6362975,1.1227230501663129e-13,8.193105,NFE2,5.934725,0.004137832561632099,4.5633483
LGALS3BP,2.4222877,7.023459805395502e-245,33.61873,AGPS,1.0754601,8.150100662147471e-108,22.321232,PGD,1.1962297,2.4180473663678125e-08,6.432281,TFRC,1.6843711,1.3357791283380083e-98,21.38879,CTTNBP2,4.217325,0.0,42.451572,SEMA7A,2.9414997,2.190717755309739e-102,21.756952,RCAN1,2.2702832,2.5185910947861554e-242,33.443462,DYSF,2.5957923,1.4965432935659781e-217,31.69097,METRNL,1.585637,5.933053813952818e-26,10.974192,MICAL1,1.7228118,1.3804498337144801e-37,13.165737,STMN1,3.792741,2.1004893028663382e-58,16.511744,SEMA7A,2.8348975,1.4630558733874958e-132,24.716438,MCM7,4.069166,1.8833372701118025e-10,7.2019243,CALU,2.755172,1.825734420410698e-22,10.366174,TK1,4.569093,1.4073989078184096e-54,15.976338,MCEMP1,2.0273657,6.523105312079457e-13,7.964461,PTGS1,3.713122,0.004488954219635792,4.536857
EPHX1,1.8699634,2.953964242163458e-242,33.437424,SOD2,1.3824137,1.5363536954148187e-105,22.08401,SELENON,1.9357641,2.7248188436737964e-08,6.410898,LRPAP1,1.327541,1.124028206310762e-96,21.178991,MS4A2,3.9360266,0.0,42.41156,CST7,2.5655665,3.035544466842822e-98,21.306389,C1QC,2.265712,4.4146246606518555e-240,33.287483,CCL3L1,3.2862055,5.647008562852034e-207,30.912476,CST7,2.1836815,9.742988981167113e-26,10.926958,MT-CYB,5.078001,1.8469836200837544e-37,13.142487,LAPTM5,1.6057154,1.2065310233052259e-57,16.403625,MS4A2,2.9054601,2.9397200185583715e-132,24.687778,CST7,2.855523,2.3631874407535555e-10,7.1661987,CTHRC1,10.810035,2.8866408158823168e-22,10.319585,MCM7,3.5275915,4.135515007783079e-53,15.761589,TMSB4X,0.9213106,9.405292473174363e-13,7.916409,ZYX,3.031731,0.006052488596765084,4.447122
IL7R,3.5610607,3.17128469318828e-240,33.296185,KDELR2,2.1213713,6.267596501791076e-105,22.018703,SH3BGRL3,1.0268567,2.8667562376797318e-08,6.4015718,SOAT1,1.4279982,1.6196709732592004e-96,21.15985,ITGA2B,4.0800204,0.0,42.23763,SFXN1,3.5395815,2.150658239914718e-97,21.212164,CTSC,1.4532169,6.5124876146514965e-230,32.57589,IL1B,2.1375756,5.25134180545331e-206,30.839108,TXNIP,1.6305754,5.5812763665935255e-25,10.7601385,PIK3R5,2.0750637,6.523274016030976e-37,13.045038,ID2,2.3704531,2.265829955824508e-57,16.360952,FCER1A,2.9725106,3.478370070758949e-123,23.818378,MTHFD1L,5.304279,7.81053447782239e-10,6.987029,COL1A1,7.4317718,9.99091152220265e-22,10.194434,HIST1H1B,3.1147356,1.226122196162183e-51,15.543426,GCA,2.354881,1.5953691067387573e-12,7.835329,OAZ1,1.3159662,0.011619956977875979,4.2884364
A2M,2.941093,6.399687766420701e-235,32.92643,SEC13,1.7915869,2.2372220654757628e-104,21.959335,LPL,3.2389715,3.8483458097542966e-08,6.350257,LITAF,1.1137664,6.789179688621977e-95,20.981094,NR4A2,3.2969427,0.0,42.058147,DUSP6,2.7425358,5.2668106849553266e-90,20.386276,CLEC4A,1.7504739,5.692236585563407e-228,32.437286,NINJ1,1.4181175,7.388670300570991e-206,30.826866,ADGRG3,4.172117,7.338826464171607e-25,10.733813,AHNAK,1.4938406,1.3293447909421381e-36,12.989058,PRG2,3.0430048,9.692286438954655e-54,15.833679,ACSL4,2.2235172,1.1542154823874556e-121,23.668951,DKC1,2.9976976,7.98128933119673e-10,6.9807796,HTRA1,9.469209,2.7228263449672502e-21,10.091515,PLK1,6.1002626,1.3244071335483954e-51,15.536065,PLAC8,6.087942,5.6564787381789576e-12,7.656666,HIPK2,2.9475007,0.011854476727114632,4.2761855
TFRC,1.9725811,5.660823009693992e-231,32.648365,CIR1,2.555165,2.424150736632647e-104,21.954897,SH3BGRL,0.9000605,9.065573157790757e-08,6.2065897,AQP9,1.4806329,1.4458250607218444e-92,20.722773,DCBLD2,4.068252,0.0,41.97481,SIGLEC6,2.6436183,1.351948521628636e-88,20.223703,SORT1,1.4882369,3.0872149591185593e-224,32.170197,FPR2,4.361638,1.1119427454546387e-204,30.73774,CKAP4,2.9826481,9.620953029637264e-24,10.480766,CDK5RAP3,2.653743,2.1274238011581518e-36,12.951435,SAMSN1,2.320917,2.3334823789906395e-53,15.776482,PTGS2,3.110483,5.407182774183769e-116,23.107885,GSTP1,2.8003576,7.98128933119673e-10,6.977655,CNN3,8.624509,3.3587662121917464e-21,10.066093,DLGAP5,5.6911235,2.0019971645467592e-50,15.35864,PROK2,6.0462875,6.274727084189756e-12,7.6412344,GNAZ,14.398553,0.015932831913532796,4.174723
ANXA2,1.6007221,9.156690213157817e-231,32.632534,LONP1,2.0459864,1.1084607600900933e-99,21.457794,SPP1,3.7948306,1.2858668313559433e-07,6.1470532,LGALS3,1.0017834,3.6752096308256875e-89,20.340017,ABCC4,3.931381,0.0,41.896797,TMEM154,3.0401638,3.034770460804063e-88,20.182573,IL17RB,1.7238584,1.0502265006473443e-220,31.915524,MARCKS,2.404869,2.4200145157782865e-203,30.636366,FTL,0.79162675,4.3436212132621546e-23,10.330736,PLK3,1.5242133,1.034899930435471e-34,12.641426,DUSP4,3.1562335,5.809081488320174e-53,15.71701,DUSP4,3.0983467,4.21958448400288e-114,22.917252,LYAR,2.9193807,9.966774689788336e-10,6.9422736,COL3A1,10.123125,3.415250637703895e-21,10.062137,TMSB4X,0.71079314,5.774985927011044e-50,15.287514,G0S2,3.937651,7.471123111851836e-12,7.614636,MMRN1,12.0378895,0.015932831913532796,4.1731524
ADA2,2.1033652,2.1245916872189524e-222,32.036293,TDP2,1.5283431,3.365049947220001e-99,21.405357,CSTA,1.5806947,1.9081347434151344e-07,6.07028,SCD,1.5716364,7.437347830953415e-88,20.19024,HDC,3.8563814,0.0,41.732944,RAC2,1.6991241,9.310919870116456e-86,19.894041,SLC8A1,1.848183,1.4235745245670106e-220,31.904902,MAFB,2.5345519,2.2695836557591255e-202,30.56222,BCL2A1,1.1116506,3.8274419381502584e-22,10.115412,MAP7D1,1.4036419,6.558590333728713e-34,12.493623,TPX2,4.714898,8.103292240749604e-53,15.6924715,RASSF5,1.7987447,1.3691971059250755e-107,22.248507,ELANE,6.834073,2.0738560557772317e-09,6.824369,CCND1,7.9269314,5.564694734753649e-21,10.011698,CENPM,4.5609493,9.824948670540298e-50,15.2506485,MMP8,8.708949,8.245973738891943e-12,7.597897,GP6,11.534171,0.015932831913532796,4.171739
