Cluster,Gene,Score,Adjusted p-value
9,TXNDC5,13.397697,6.779842595514763e-38
9,GNG11,13.396081,6.779842595514763e-38
9,HHIP,13.15974,1.4237175112520144e-36
9,CDH5,13.152698,1.4846293222629123e-36
9,FN1,12.97039,1.5508386469932382e-35
9,S100A16,12.919012,2.7644042576423305e-35
10,GPNMB,25.498667,3.687938650243292e-139
10,CTSZ,24.400406,1.5309083215853778e-127
10,NUPR1,24.186848,1.8443108975322913e-125
10,CTSB,23.093594,2.4274604821595982e-114
10,HS3ST2,22.81277,1.238498137457963e-111
10,APOE,22.491735,1.506958719954218e-108
10,PSAP,22.191786,1.065005205338468e-105
10,CCL18,21.99845,6.735387894344706e-104
10,CTSS,21.97551,9.924672127197498e-104
10,EPHX1,21.606339,2.8313193358684696e-100
10,CD74,21.213764,1.1716182391064349e-96
10,TCN2,20.72555,3.070723869549711e-92
10,CTSL,20.475027,5.000985201561035e-90
10,CES1,20.368216,4.13477640987735e-89
10,LGMN,20.341429,6.665698277397168e-89
10,RASSF4,20.203321,1.0343832226132313e-87
10,ADTRP,20.11504,5.796268449264474e-87
10,SLC15A3,20.018042,3.8525405857371476e-86
10,CYP27A1,19.905891,3.443205744853835e-85
10,TFRC,19.835312,1.3344191892380253e-84
11,CEACAM6,19.291292,1.1493734246089271e-78
11,BPI,18.647537,1.1954866945417894e-73
11,NKG7,18.226393,1.4404954363477343e-70
11,DEFA3,18.130919,6.570848924539363e-70
11,ANXA3,17.891556,4.135427994489853e-68
11,SLPI,17.861822,6.041421094315542e-68
11,AZU1,17.795118,1.742769210852297e-67
11,CD24,17.75455,3.1931899064553115e-67
11,TSPAN2,17.705345,6.895268804190672e-67
11,ELANE,17.645615,1.8077372162785085e-66
11,MPO,17.522951,1.442484080029874e-65
11,SRGN,17.459799,4.033059580857599e-65
11,RNASE2,17.316084,4.5948812759936214e-64
11,S100A8,17.246002,1.445518633489412e-63
11,S100A9,17.177675,4.4101308667520814e-63
11,BEX1,16.890379,5.320331397530251e-61
11,ARHGDIB,16.812403,1.88413203315891e-60
11,GCA,16.772495,3.506770868043456e-60
11,SERPINB1,16.235266,2.445534678812248e-56
11,PLAC8,16.144264,1.0242994714937889e-55
12,S100A8,18.181265,1.3134408820863631e-69
12,S100A9,18.020872,8.998439402005572e-69
12,PADI4,18.014734,8.998439402005572e-69
12,FPR2,16.977697,4.924020139537575e-61
12,FCAR,16.970333,4.924020139537575e-61
12,S100P,16.858934,2.7183185925806885e-60
12,HK3,16.62566,1.1736080779678738e-58
12,S100A12,16.31894,1.636042509750518e-56
12,CKAP4,16.31082,1.6610481936604214e-56
12,TSPAN2,16.162558,1.6750901785643405e-55
12,SIGLEC5,15.90856,9.085392267857465e-54
12,CHI3L1,15.846064,2.255218724351177e-53
12,DYSF,15.80835,3.7904632833929974e-53
12,MXD1,15.71739,1.4848266823223312e-52
12,CORO1A,15.674011,2.74535966763652e-52
12,CDA,15.463535,6.910554483901867e-51
12,ADGRG3,15.377296,2.4724931054441914e-50
12,CEACAM1,15.3291025,4.909193138197743e-50
12,ANXA3,15.238804,1.859730744863913e-49
12,MNDA,15.074917,2.1410299214698685e-48
13,AHR,19.938644,3.4011101835858403e-84
13,DUSP4,19.747635,7.600050359916866e-83
13,LAPTM5,19.720179,8.722392263628963e-83
13,NSMCE1,19.121763,7.52155694095751e-78
13,KIT,18.979471,9.117542625769278e-77
13,DCBLD2,18.533327,3.3510423021694734e-73
13,HPGDS,18.278648,3.1623203535855738e-71
13,RAB27B,17.981028,6.20124483238612e-69
13,GATA2,17.974182,6.236388252316067e-69
13,FAM102A,17.799273,1.2945287693051242e-67
13,HPGD,17.772009,1.9141750646638665e-67
13,ACSL4,17.711435,5.1568225893396936e-67
13,VWA5A,17.52276,1.3359867020066538e-65
13,SLC18A2,17.428423,6.485289056785323e-65
13,SAMSN1,17.275349,8.695909644706756e-64
13,CTSG,17.14059,8.351251892106588e-63
13,CPA3,16.916046,3.6449238282980695e-61
13,RGS10,16.814594,1.916616759199774e-60
13,CYP1B1,16.773907,3.604606566554839e-60
13,RGS13,16.579649,8.841992740486667e-59
14,TYMS,20.697256,6.630080747973347e-91
14,TUBB,20.478487,3.027881992484134e-89
14,CRIP1,20.2866,1.0178785530176471e-87
14,MKI67,20.203722,4.104156479955876e-87
14,TUBA1B,19.16289,2.7325667654090786e-78
14,HPGD,18.98556,6.7666646648495534e-77
14,HDC,18.904812,2.6893171722494692e-76
14,MS4A2,18.744694,4.834663791388396e-75
14,HIST1H1B,18.705614,8.951845427541445e-75
14,RRM2,18.617884,4.161158566606821e-74
14,LMNB1,18.517303,2.4616913191104618e-73
14,GATA2,18.349152,5.052441345537442e-72
14,CPA3,18.31073,9.451803459817824e-72
14,TPX2,18.298763,1.0933006416696884e-71
14,HIST1H2BH,18.20359,5.82642036419763e-71
14,CLU,17.79451,8.80899503614322e-68
14,CDK1,17.554922,5.801285741213867e-66
14,RGS2,16.936777,2.293301389505946e-61
14,FCER1A,16.883108,5.4160640475711625e-61
14,CKS1B,16.801968,1.940366600067211e-60
15,RGS2,11.507368,2.1900735111037793e-26
15,NR4A2,11.3162775,9.854915601430414e-26
15,ZNF331,11.08276,9.168197830576033e-25
15,JUNB,10.972526,2.3418340394904403e-24
15,DDIT4,10.821634,9.832483833836386e-24
15,HPGD,10.592379,9.742321365196217e-23
15,SIGLEC6,10.414207,5.516807820247426e-22
15,KIT,10.375255,7.263408807611645e-22
15,TIMP1,10.290268,1.5662919244830668e-21
15,DCBLD2,10.209215,3.260506027665294e-21
15,ID2,10.128097,6.815945704029682e-21
15,CMIP,9.786705,1.9349531565168726e-19
15,EIF4A3,9.624469,8.767202637390531e-19
15,TDRD3,9.510694,2.446171189905308e-18
15,LXN,9.455741,3.8664474671049475e-18
15,NR4A1,9.408854,5.668455631042609e-18
15,GATA2,9.375213,7.306732609179607e-18
15,C11orf24,9.369704,7.306732609179607e-18
15,HEXIM1,9.233961,2.3579368857783784e-17
15,EPCAM,9.221567,2.5210581350572414e-17
