C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score,C16_names,C16_logfold,C16_pvals_adj,C16_z_score,C17_names,C17_logfold,C17_pvals_adj,C17_z_score
MS4A7,4.1091647,0.0,49.932903,HS3ST2,3.073223,2.409787611406321e-265,35.007458,SMC4,3.264124,0.0,48.581573,SRGN,2.572612,0.0,70.192795,MRC1,4.285987,0.0,70.48007,NFKBIA,3.0191846,0.0,40.135586,BTG2,3.078157,7.860663970950991e-126,24.155598,DDX5,1.1576124,1.2776256458009856e-56,16.136507,SH3BGRL3,1.6510983,5.039173271482413e-38,13.401643,CLIC4,2.3324015,0.0,71.81017,MMP2,3.0311494,0.0,59.016014,TNC,2.8099666,0.0,54.16639,CENPU,3.336965,1.295911171778227e-183,29.096172,TRIM58,9.489637,3.8344290610031504e-128,24.360811,KLF2,4.341363,4.702467721092717e-126,24.111393,IGHG1,10.661353,5.225104555970343e-18,9.056302,TSC22D3,5.1349216,2.2416415172101877e-35,12.902824,LCP2,2.840008,2.09053114610474e-09,6.967276
CTSL,3.0537472,0.0,49.41663,CD9,2.5815747,6.174507152412593e-262,34.780594,CKAP2,3.874371,0.0,48.05951,AHR,3.7381358,0.0,70.0206,CTSS,4.1199503,0.0,70.19377,BRI3,1.796904,0.0,39.72758,LCP1,2.5819273,1.2354328609908829e-113,22.9472,PPARG,2.5693195,2.5785603764420006e-53,15.645763,S100A6,1.5140239,3.3271432216605033e-37,13.2548065,IGFBP7,3.1395028,0.0,71.752716,LAMC1,2.840049,0.0,58.9757,ALCAM,2.2682755,0.0,54.159016,HMGB2,3.15351,1.969085241413368e-178,28.681856,DCAF12,6.175333,2.6870180131765424e-122,23.793888,EVL,3.030185,9.922929558323263e-124,23.8871,FOS,2.4411528,9.070509382024167e-15,8.142012,IGHD,9.866403,4.708540547888067e-34,12.650698,C2orf88,6.535575,3.787600358003814e-09,6.86838
NUPR1,3.200908,0.0,49.08604,SCD,2.5680377,9.406936126223755e-257,34.434048,DLGAP5,4.999728,0.0,46.543056,VWA5A,5.7414646,0.0,69.66032,LTA4H,3.4931846,0.0,69.332954,IFI30,3.7565877,0.0,39.44493,CLU,3.835969,7.296060447723564e-113,22.867968,MT-ND6,3.6646454,1.1136311361514813e-49,15.09241,HSPB1,1.6581334,6.713792152046758e-35,12.827442,ACTA2,3.4105313,0.0,71.36817,LOXL2,3.3210337,0.0,58.763447,AXL,2.379595,0.0,54.03309,MCM3,3.7310076,1.5400726911008317e-167,27.790146,BPGM,4.987468,9.990637666153264e-118,23.343557,IKZF1,3.821932,3.3278417774539534e-116,23.14296,DUSP1,1.6699498,2.2493376388176725e-13,7.7163916,DUSP1,2.6456933,4.1150736209945567e-32,12.275329,LTBP1,4.181637,1.0245912613133287e-08,6.7031393
ADTRP,3.7293694,0.0,49.026836,CTSB,1.4603671,1.036875701383105e-253,34.2283,TACC3,3.9262815,0.0,46.473743,KIT,8.727232,0.0,67.372574,CD68,4.0948935,0.0,69.30078,LCP1,2.6526518,0.0,39.21458,EGR3,4.501257,2.219790833779344e-106,22.199963,CD44,1.2490256,2.4969762019963213e-46,14.5629425,CFL1,1.2495203,2.2161797901528585e-33,12.541736,CALD1,3.439466,0.0,71.22487,TGFBI,3.5635889,0.0,58.47829,ENAH,2.5162907,0.0,53.447765,MKI67,2.6695232,1.4846600736035194e-163,27.456898,FBXO7,3.5142322,1.256257672925466e-116,23.233595,TSC22D3,4.4999557,6.228775362416933e-113,22.809555,ISG20,4.837088,1.5287715127482637e-12,7.4506,PNRC1,2.439126,4.5930216850345845e-32,12.264946,MMRN1,10.060006,1.259800846413336e-07,6.247143
C1QA,4.454405,0.0,48.843594,BCL2A1,2.6050084,1.2542500470252573e-248,33.883163,KIF23,4.2785482,0.0,45.864086,MS4A2,7.298231,0.0,66.11989,GRINA,2.3248947,0.0,69.0232,NCF2,2.9592512,0.0,39.033756,CST7,3.4749534,1.6973587525835588e-97,21.238356,PDXK,1.7792306,2.7892994584256743e-46,14.555179,CCND1,3.7642663,6.306080740784422e-33,12.456418,EDIL3,2.8174195,0.0,71.12776,BGN,3.5056045,0.0,58.410805,COL6A3,2.6535103,0.0,53.43084,RRM2,2.9992654,3.1636170562414894e-158,27.004398,BCL2L1,4.9893613,2.2795820794961746e-113,22.904814,TCF7,5.649387,3.6832445398447985e-112,22.730442,TSC22D3,3.0371675,9.424609151199883e-12,7.1867523,IER2,3.4940152,2.717271853981466e-28,11.506939,MED12L,7.996976,1.6900873343162018e-07,6.1984677
BHLHE41,3.5781255,0.0,48.41219,FTH1,1.6838841,1.0306675737436187e-247,33.817715,BUB1,4.742627,0.0,45.021732,RGS13,8.51428,0.0,65.359,ARRDC4,3.4599063,0.0,68.750626,BCL2A1,2.9568331,0.0,38.2401,PIM1,2.9674056,6.867267265613594e-96,21.061739,MT-ATP6,1.9591762,5.048466982226721e-46,14.513388,TMSB4X,1.051502,4.229026116314355e-31,12.096714,TPM2,3.2086265,0.0,70.71544,FN1,4.474965,0.0,58.39111,GNG12,2.4370508,0.0,53.25775,NCL,1.8422261,1.1140620590816534e-152,26.523632,SLC25A39,4.36399,1.3902689733445659e-111,22.718786,TXNIP,2.682722,7.060386662365097e-112,22.701454,POU2AF1,7.806162,4.465837493859303e-11,6.9546556,JUNB,2.4353628,2.7963803930495904e-28,11.503405,PF4,13.558904,5.821272133416987e-07,5.971547
IFI30,4.443035,0.0,47.991222,CTSS,2.8064337,8.264586073315336e-246,33.68641,TUBB,2.1756098,0.0,44.954952,RAC2,3.7304666,0.0,65.25366,CYBB,3.9408224,0.0,68.69926,LYZ,4.0910244,0.0,38.077988,FTH1,1.6020937,2.481872140230689e-94,20.887203,TRIM25,2.3930488,3.602670522625442e-45,14.374402,PALLD,2.642722,5.38121312325442e-30,11.874441,LOXL2,3.3494463,0.0,70.47369,PRSS23,3.33461,0.0,57.911865,BGN,3.048669,0.0,52.790215,TUBB,1.4826841,1.4309645142915507e-152,26.51376,NCOA4,2.9839938,1.866581541343367e-107,22.289755,ETS1,4.392174,3.32776758574427e-98,21.252733,KLF2,2.8221662,5.618697301386879e-11,6.919462,KLF2,4.338248,4.070515487163946e-28,11.467854,RUFY1,2.9936342,1.8395262687833758e-06,5.7676835
SCD,3.7073333,0.0,47.964203,LYZ,3.6259363,8.980927699953713e-246,33.6825,CKS1B,3.3818734,0.0,44.783554,ANXA1,2.2129447,0.0,65.21494,HS3ST2,4.1558685,0.0,68.61749,MCL1,2.3840704,0.0,37.98981,EMP3,1.3793607,7.663899038544297e-91,20.49439,CSF1,2.2166126,6.907881699206007e-45,14.32816,MAP4,2.3845963,1.8474864377963196e-29,11.763367,SERPINE2,3.6421843,0.0,70.35797,NNMT,2.7879667,0.0,57.817596,UGDH,2.1647172,0.0,52.681355,LIG1,3.1268177,1.7320080788989262e-152,26.506126,AHSP,6.835409,3.7254146785759416e-106,22.154324,TNFAIP3,3.031812,7.222062701018632e-94,20.771555,FKBP11,2.8933058,5.943288863778292e-11,6.9108224,CD79B,8.814978,7.950512181471386e-26,10.977915,PPBP,11.178021,2.7201265051482984e-06,5.6772294
TFRC,3.5285833,0.0,47.872623,AGPS,1.863555,1.3053632751915616e-244,33.601627,PTTG1,3.686177,0.0,43.983803,HDC,6.9602313,0.0,64.40183,CD74,4.4879384,0.0,68.61364,SOD2,3.023595,6.642403853300813e-306,37.563606,SOCS2,4.0723042,6.7215818013943485e-90,20.385908,TNFAIP2,3.0049632,9.158297692106929e-45,14.308016,CSRP1,1.6631507,9.646244116325147e-29,11.615029,MYL9,3.4963396,0.0,70.093285,COL12A1,3.1840081,0.0,57.416626,IGFBP3,3.0736086,0.0,52.468857,ZFP36L2,1.872661,1.998615880878011e-151,26.41253,MARCH8,5.9413977,8.579686174998975e-92,20.579666,CORO1A,4.201226,3.246417451706789e-92,20.584383,CD79A,5.735968,7.472229051140207e-10,6.514916,LTB,6.17234,2.2394759024606355e-24,10.653906,MAP3K5,3.6436696,1.616796488653366e-05,5.2857647
IRF8,4.2673044,0.0,47.779823,LITAF,2.282734,7.471277133662747e-244,33.54839,TUBA1B,1.9448977,0.0,43.08941,NR4A2,4.9747624,0.0,64.30289,SCD,3.6383183,0.0,68.16003,ITGB2,2.889376,1.9237286469884636e-297,37.04051,GATA2,4.170175,4.0869795248840406e-89,20.2927,SAT1,2.5374746,1.0899812310423445e-43,14.12977,CYB5R3,1.4287577,1.7338057243215045e-28,11.555756,SPARC,3.5721397,0.0,70.07911,POSTN,3.3040545,0.0,57.209297,ENG,1.8986697,0.0,52.37162,PRDX2,2.5778105,2.888786969716329e-146,25.95736,EPB41,5.557517,8.384090853087939e-91,20.465649,DUSP1,2.0623147,1.6847505115649206e-86,19.925217,HERPUD1,2.5660102,1.2160152329765498e-09,6.4358325,IGKC,7.1192164,2.9928445683219316e-23,10.3961315,SNCA,3.8609617,2.4259942890452947e-05,5.184346
SLC15A3,3.367289,0.0,47.712803,GPX4,1.6249825,2.5618871612773397e-238,33.16537,LMNB1,3.3561752,0.0,42.832855,BHLHE40,3.4907563,0.0,64.08434,SAMHD1,3.5181053,0.0,67.89742,FTH1,1.7349817,2.3552501360064307e-296,36.971764,IL3RA,3.2318141,3.872449850074502e-85,19.832418,FGR,2.107704,1.1434028859123307e-43,14.126229,SELENOW,1.9259241,3.554783456556301e-28,11.49039,PRSS23,3.2890406,0.0,69.996346,IGFBP7,3.040964,0.0,57.200073,TPM4,1.955999,0.0,52.3664,MCM4,3.4531813,2.559548673862573e-142,25.603706,IFIT1B,12.579825,1.534147312133278e-87,20.08834,WIPF1,2.1252682,1.5925309689369858e-85,19.811314,ST6GAL1,4.0723233,2.6743489528318623e-08,5.9130964,LAPTM5,2.507145,1.459595867691036e-21,9.998333,FOS,3.0544388,3.5713586889910105e-05,5.0945387
FBP1,3.890208,0.0,47.70068,CREG1,2.1462407,6.536174458545824e-235,32.92698,CKAP2L,4.184742,0.0,42.5372,ACSL4,3.5828393,0.0,63.534863,CSF1,3.8937235,0.0,67.54428,AIF1,3.0588365,1.0762002765437307e-294,36.867256,CORO1A,3.8709738,2.678442818760393e-83,19.613535,CDK5RAP3,3.0868535,1.1741947426754748e-43,14.124187,CAVIN1,2.784485,1.1050469939566048e-27,11.387472,COL4A1,3.0747662,0.0,69.7231,LTBP2,3.1276395,0.0,57.068832,FAM171B,2.3382185,0.0,52.196877,HNRNPA2B1,1.2140442,2.612291765482412e-135,24.960041,EPB42,7.4864216,4.465370356581847e-80,19.199953,IER2,3.0570142,6.09602042704957e-85,19.742323,SLAMF7,3.9954262,3.5672611557956686e-08,5.862798,FCMR,5.3916144,5.185223089868186e-21,9.859619,TC2N,6.18883,5.081204261701172e-05,5.007723
CTSS,3.7483416,0.0,47.63117,BHLHE41,2.7799451,1.85671302342841e-229,32.54254,HMMR,4.4928045,0.0,42.427944,RAB27B,7.4689255,0.0,62.73766,FGR,3.5087986,0.0,67.54378,SPI1,2.7069247,3.5907315100323326e-294,36.83356,LAPTM5,2.4092305,1.4246595556483822e-82,19.527725,ZFYVE16,2.3928955,6.9824887990946535e-43,13.994519,RHOC,2.1435819,1.4822877306285476e-27,11.358591,CAV2,2.5801048,0.0,69.64394,SERPINE2,3.7054992,0.0,56.64856,COL6A2,3.2828102,0.0,52.171333,UHRF1,3.924546,6.048796899823355e-134,24.833,HEMGN,7.1855946,7.752029425746178e-78,18.923925,CELF2,2.5717921,1.5636472537946115e-76,18.722546,TRIB1,2.6801002,4.188508066940236e-08,5.8347964,TXNIP,2.3596852,9.959484507354146e-21,9.788517,RGS18,6.481115,5.65936158565523e-05,4.9813066
CYP27A1,3.8413095,0.0,47.258167,SOD2,2.563907,3.2666904650259684e-226,32.311146,KIF11,4.288568,0.0,41.588875,LCP2,3.5485249,0.0,62.599934,GRN,3.208029,0.0,67.50154,IL1B,3.6148384,7.335709475555123e-292,36.68797,GLUL,2.3859808,6.220145386814399e-82,19.450438,PIK3R5,2.8184814,6.936838879776702e-42,13.826627,S100A10,1.2752533,3.5740283953182975e-23,10.390212,ANXA2,2.3975124,0.0,69.40012,COL6A2,3.5188274,0.0,56.528603,CAV1,2.6922734,0.0,52.04324,GMNN,2.9598312,1.9178701384410836e-132,24.691315,FECH,4.419006,3.2944685943384306e-75,18.594887,CD3E,10.779497,6.828006210442337e-72,18.136087,JCHAIN,8.456364,4.287477328955993e-08,5.8306146,AFF3,6.599458,1.410619421141232e-20,9.74807,CLU,2.6456316,6.616636153710828e-05,4.942291
C1QB,6.1074996,0.0,46.77171,FABP3,3.289276,1.178753237089631e-210,31.17848,SPAG5,3.9884431,0.0,41.582764,FCER1A,6.365799,0.0,62.169342,CTSC,3.5644193,0.0,67.485054,LCP2,2.7193232,4.9086438932556455e-289,36.50938,CD69,3.276905,1.1889864475423318e-81,19.414797,SPI1,1.7490592,2.8556762279562006e-39,13.374588,NEK7,1.9166291,2.3237646716072256e-22,10.195258,CNN3,2.9161344,0.0,69.31019,CDH13,2.7564707,0.0,56.258835,ACTB,1.2649752,0.0,51.60072,CDT1,4.7129607,1.9873385754837446e-132,24.689554,UBE2O,4.6792865,1.1119349825091382e-64,17.211508,TMC8,3.7122078,2.1642642928948353e-70,17.941292,TXNDC11,2.0663836,7.418062652074068e-08,5.730351,FCRL1,10.941503,9.007042385470155e-20,9.541729,NLK,3.3004038,7.315734231551692e-05,4.9139733
LIPA,3.3146696,0.0,46.374374,PLD3,1.6796732,2.5690712759321136e-208,31.004496,SHCBP1,4.1083527,0.0,41.469936,RASSF5,3.995609,0.0,61.922832,PPARG,3.6117194,0.0,67.1284,EVI2B,2.6202006,2.3342104959519655e-287,36.401695,RASSF5,2.691371,1.6465419978174375e-80,19.277014,SLC11A1,3.1882393,3.4945271073055533e-39,13.35888,POLR2L,2.2548225,3.810178578902786e-22,10.144717,THBS1,3.491464,0.0,69.28053,FBN1,2.6981745,0.0,55.650066,NAV1,2.1179302,0.0,51.587173,MYBL2,3.43292,4.838968724751858e-131,24.55948,MPP1,2.7699466,3.1581970289779836e-63,17.012016,SYNE2,5.448642,3.6070902845933886e-69,17.781824,IRF4,4.6201506,7.645085047132303e-08,5.7250967,OGA,2.5933435,2.6956882560823156e-19,9.421601,HEMGN,5.232673,7.575863463862197e-05,4.900638
EPHX1,2.98507,0.0,46.276752,CYP27A1,2.6434724,9.092795916675675e-206,30.813847,ACTB,1.2151916,0.0,41.12945,SLC18A2,7.754324,0.0,61.334675,IL1A,4.1859818,0.0,67.044785,NFKBIZ,2.7182965,1.23749295328731e-285,36.291664,HDC,4.344855,1.5743690171436518e-79,19.156033,FNDC3B,1.2443285,9.903903421852076e-39,13.278935,PFN1,1.0058411,4.952188094719236e-22,10.116452,CDH2,2.8989604,0.0,69.26421,COL5A2,2.5622325,0.0,55.310165,LIMA1,2.1577935,0.0,51.380466,E2F1,3.7068465,8.008694751256011e-120,23.476524,DMTN,6.2939725,1.1580857288771517e-59,16.513374,ARHGDIB,2.3030732,1.0981319579228807e-66,17.451824,OTUD1,2.8761876,2.584314931971837e-07,5.4984365,PRKCB,2.928477,7.982769950704653e-19,9.2974,MAPRE2,2.8375578,0.00010934690298502251,4.8050127
GRN,2.992267,0.0,45.95772,PLPP3,1.8824141,1.6632949811123613e-199,30.340008,PRR11,4.0457296,0.0,40.967884,IL1RL1,6.919406,0.0,61.3169,GPNMB,4.2943287,0.0,66.95139,IL1RN,3.994593,2.9127697219184288e-285,36.26724,FTL,1.3737308,1.3971779819612744e-77,18.91599,KYNU,3.9177167,4.3644829985007296e-38,13.164104,DRAP1,1.1911112,3.576470666251955e-21,9.910224,DSTN,3.0437412,0.0,69.2261,COL6A3,2.898474,0.0,55.215584,MAGED1,2.313791,0.0,50.78625,NUCB2,1.3020511,3.8494170795869327e-119,23.409145,TMCC2,9.168567,9.88218261189002e-58,16.238375,MLLT6,2.8757946,1.7912768033849285e-66,17.423336,HSH2D,3.7744927,3.6153116874050086e-07,5.4344573,CIITA,4.6146894,2.063182520519456e-18,9.189157,SPN,2.4740417,0.0001299191844324066,4.758835
CXCL3,3.9636562,0.0,45.89498,NCF2,2.3715723,3.537012698669626e-198,30.238308,KPNA2,3.1386821,0.0,40.90874,NR4A1,4.839106,0.0,61.184692,S100A9,4.0391407,0.0,66.90402,SERPINA1,2.887556,2.1487469389355467e-279,35.892216,MS4A3,6.0062904,1.3001601916093747e-76,18.797064,MCL1,1.5415032,1.3416662081070358e-37,13.077593,GNG12,1.657282,6.154545483296192e-21,9.851195,RGS4,3.2251608,0.0,69.20306,FKBP10,2.6437097,0.0,55.108093,ITGA5,1.9545554,0.0,50.70693,HBB,5.3087034,4.2606858720765865e-118,23.306145,OSBP2,7.2045493,5.5717962975180904e-55,15.8365555,AKNA,4.1692867,2.2766324528662952e-66,17.409409,IGLC1,8.36173,3.711131031650001e-07,5.429272,YPEL5,1.9081016,2.7169331445120122e-18,9.157648,FLI1,2.9322872,0.0001834385617063461,4.6658206
