C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score,C16_names,C16_logfold,C16_pvals_adj,C16_z_score,C17_names,C17_logfold,C17_pvals_adj,C17_z_score
MARCO,5.38115,0.0,55.822548,CES1,4.2783923,0.0,43.686028,CEP55,5.3784647,0.0,57.02183,CPA3,9.438984,0.0,77.47006,CXCL16,4.2370653,0.0,75.72468,S100A9,5.3925195,0.0,53.0834,CLC,9.834977,1.4441552068802645e-278,35.93732,LENG8,3.414585,1.08069773830633e-145,26.038988,MYL9,3.6778948,2.9017826879597506e-76,19.003193,GAS6,3.520074,0.0,77.355125,COL1A1,5.3773212,0.0,67.81315,CXCL12,3.1259184,0.0,59.65599,HIST1H1B,5.0983005,0.0,45.54397,HBA2,13.465321,9.024990078466374e-165,27.69416,JUN,3.6647887,1.6041194425119326e-195,30.091764,TXNDC5,4.157911,3.4889603629659195e-66,17.681831,CD74,4.8752146,2.8021204505015846e-58,16.657352,ITGA2B,6.494356,5.177150955441933e-18,9.705271
CTSZ,2.8514514,0.0,55.46796,GPNMB,3.9428763,0.0,42.97959,MKI67,4.974337,0.0,56.883106,LAPTM5,4.72958,0.0,76.055954,CTSH,4.484153,0.0,75.18796,S100A8,5.6353917,0.0,50.67772,SRGN,3.3434005,2.9597262866230678e-263,34.923473,RSRP1,3.872706,1.4054341703276815e-134,25.018085,LGALS1,2.5329976,1.2953437709045158e-74,18.766,SERPINE1,4.103857,0.0,76.50254,COL1A2,4.488754,0.0,67.419716,HAS2,3.4245174,0.0,57.51655,HIST1H1C,3.0138748,0.0,42.394623,HBB,13.934937,9.024990078466374e-165,27.687109,CXCR4,4.4931955,1.38186189022657e-182,29.067791,MZB1,9.550716,3.874480762217516e-48,15.06948,IGHM,10.905852,5.077601157206015e-58,16.588614,GP1BB,9.179376,1.0078959320095804e-15,9.032874
APOE,5.1478558,0.0,54.471104,APOE,3.908867,0.0,41.258804,TPX2,4.4834714,0.0,53.187584,GATA2,7.58037,0.0,75.17655,CTSA,2.989455,0.0,74.018364,FCAR,5.069991,0.0,45.756077,CSF2RB,5.3511176,1.5201673582090645e-239,33.312775,ITGAX,4.2211785,4.522991138425832e-104,22.002068,TAGLN,3.830618,2.6501975075623265e-69,18.082258,CCN2,4.0666566,0.0,75.87365,ITGA11,3.8464708,0.0,66.91554,DKK1,2.950353,0.0,55.7675,TYMS,3.5626826,0.0,40.42736,HBD,10.606256,4.6087259396304094e-164,27.613571,TRBC2,8.969586,1.277697208664003e-178,28.746937,JUN,3.3343737,2.2581402494030898e-40,13.774645,CXCR4,5.2859597,7.871022849309643e-57,16.405697,ITGB3,5.9772477,4.107297353080763e-13,8.297162
CD163,4.9336596,0.0,52.095116,CD68,3.4237375,0.0,40.631622,RRM2,4.516532,0.0,52.994377,HPGD,8.407209,0.0,74.03471,FBP1,4.63216,0.0,73.72876,CXCL8,4.7328296,0.0,44.93868,SAMSN1,4.0578766,6.473582333702054e-165,27.67409,NABP1,2.5220559,5.870637207747856e-86,19.969904,TPM2,3.2139704,3.0487008345062453e-56,16.30963,SMURF2,3.0205977,0.0,74.63474,SPARC,3.9396992,0.0,66.11926,LOXL1,2.628136,0.0,55.404842,MCM7,3.6157389,3.913786566943005e-291,36.663258,SLC25A37,6.636755,4.3923103337949265e-157,27.007257,ZFP36L2,3.484361,7.941421224733102e-175,28.43301,IGKC,11.761987,1.029943058162277e-33,12.544295,CD79A,9.598317,2.632279370637895e-51,15.588362,PLEK,4.4169173,1.65539753572292e-12,8.064994
CCL18,5.1371574,0.0,51.74994,CSTB,2.9536636,0.0,40.459465,ANLN,5.018138,0.0,51.397106,CTSG,9.029702,0.0,73.89446,CYP27A1,4.4691167,0.0,72.84801,LSP1,3.7469897,0.0,44.118137,CXCR4,4.3676505,4.588277174885998e-163,27.511793,KLF6,1.9578587,2.204912614298649e-70,18.029945,CALD1,3.0611181,2.2022902620460428e-51,15.589908,NEK7,3.1000557,0.0,74.593925,COL3A1,3.9162939,0.0,64.91513,MXRA8,2.403,0.0,55.38841,MCM5,3.3742743,5.57085637626302e-245,33.62314,SNCA,7.23112,1.044928403119958e-149,26.35396,PNRC1,2.7234876,1.1083563947002601e-173,28.334833,SEC11C,3.723969,5.378369984661295e-28,11.407476,BTG1,4.861427,1.6328717827696368e-49,15.296023,FERMT3,3.8526223,1.921062053402007e-12,8.019424
GPNMB,4.5903263,0.0,51.73723,LGALS3,2.661337,0.0,40.01791,CENPE,4.703283,0.0,50.550617,FXYD5,2.497876,0.0,73.41966,CSTB,3.6661167,0.0,72.508575,PLAUR,2.965472,0.0,43.353443,BHLHE40,3.240242,4.563332533916578e-162,27.42164,ALOX5,2.814802,6.9794661402281885e-68,17.69828,TMSB10,1.8493105,1.570167414901283e-48,15.155703,LOX,3.503038,0.0,73.06864,COL5A1,3.9167614,0.0,64.14373,C12orf75,2.5673997,0.0,55.15014,MCM2,3.9507048,1.479354307038371e-236,33.0383,BNIP3L,4.1543627,2.7228494721047678e-148,26.22565,BTG1,4.466137,1.8468932530694527e-167,27.819029,UBE2J1,2.0279112,2.184651029799571e-25,10.843616,JUND,3.4649568,1.933310504178891e-48,15.127347,TMSB4X,1.7628652,4.164913609596828e-12,7.9119596
CES1,4.818713,0.0,51.465157,NUPR1,3.0928383,0.0,39.365467,PLK1,5.589365,0.0,50.201,GLUL,4.3263273,0.0,72.51794,LYZ,5.594632,0.0,72.07716,CSF3R,4.5766325,0.0,41.711494,CYTIP,3.907127,1.3933423858796688e-150,26.435238,MT-ND4,2.278162,1.56067573435822e-67,17.652395,TPM1,2.8653688,8.86432439661452e-42,14.069082,STC2,3.2948074,0.0,73.00286,THBS2,4.010248,0.0,62.257454,MAP1B,2.6972187,0.0,54.80622,LMNB1,3.1814616,1.8051262309719686e-233,32.821617,ALAS2,9.808139,1.5571537394652882e-147,26.15515,JUNB,2.9299076,1.3094997738349948e-156,26.898005,ITM2C,4.0657754,5.556999785482487e-25,10.751365,MS4A1,12.013474,1.3341030986102272e-47,14.982249,CAVIN2,6.746681,1.1639258576900825e-11,7.761879
PSAP,3.398071,0.0,50.738396,FTL,1.7859234,0.0,37.98077,FOXM1,3.8465803,0.0,49.530178,SAMSN1,5.389339,0.0,72.007996,IFI30,4.8896747,0.0,71.8258,NAMPT,3.1836917,0.0,41.24775,PLPP1,5.163284,1.383873870419436e-144,25.8987,APOE,3.1804247,9.2636718380467e-67,17.547651,ANXA2,1.9700447,3.75196067681077e-40,13.795905,DDAH1,3.0004628,0.0,72.78631,HTRA1,3.0868623,0.0,61.905342,FSCN1,2.5228837,0.0,54.728127,ILF3,1.4391991,1.8955345840460495e-195,30.02365,SLC4A1,9.563797,4.544094383611499e-143,25.752583,FOS,4.12309,8.595752212125773e-148,26.12039,IGHA1,11.806843,1.454036363701021e-23,10.429137,CD37,3.9256465,1.0230642892642072e-45,14.681362,NRGN,7.4234657,3.491938403648255e-10,7.2672343
CTSB,2.3777754,0.0,50.711147,CXCL8,3.8987856,8.897564791954916e-293,36.773373,TYMS,3.5206022,0.0,49.311752,CLU,5.81982,0.0,71.29797,TFRC,3.885918,0.0,71.50961,CYBB,3.4022381,0.0,41.031403,TMSB4X,1.2790761,3.696156740217923e-128,24.381962,MT-ND3,2.3737838,1.9663827410816802e-63,17.097275,PEA15,2.2154598,8.793848873818409e-40,13.726968,MYO1B,2.7680037,0.0,72.36007,VCAN,2.989753,0.0,59.703247,TPM1,3.444586,0.0,54.70292,IDH2,1.7053752,5.7380473441220245e-189,29.520166,TENT5C,7.6561766,3.5617443460978128e-130,24.560402,IL32,7.3939095,1.0522696369339145e-140,25.486347,TENT5C,4.9036374,2.6917633025338386e-20,9.649444,JUN,3.6165977,5.964274468894785e-42,14.068431,PRKAR2B,6.1058693,8.986290107966249e-10,7.1120834
CD74,4.443545,0.0,50.693714,LAMP1,1.3653613,5.032800686868825e-279,35.897514,CENPF,4.9139256,0.0,48.801147,SIGLEC6,7.338595,0.0,70.33841,CTSD,3.9182038,0.0,71.15879,CD14,3.5067663,0.0,40.328102,TXNIP,2.9284196,1.0959320753360197e-127,24.334377,PLEC,1.6323726,3.7005197508656203e-63,17.05997,MAP1B,2.8924468,8.793848873818409e-40,13.723979,PEA15,2.48571,0.0,71.91663,PSAT1,3.226785,0.0,59.045525,CCN1,2.631548,0.0,54.353302,HELLS,3.7702503,8.218403678036998e-189,29.507338,RBM38,6.5388513,6.824514759320035e-129,24.435535,TRAC,9.644428,2.786228100348099e-139,25.355282,DERL3,7.7699285,3.0972150850171117e-18,9.116256,FOS,4.383181,4.126527984303304e-40,13.754399,RAB27B,4.9706364,1.3451967131463458e-09,7.050289
