C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score,C16_names,C16_logfold,C16_pvals_adj,C16_z_score,C17_names,C17_logfold,C17_pvals_adj,C17_z_score,C18_names,C18_logfold,C18_pvals_adj,C18_z_score,C19_names,C19_logfold,C19_pvals_adj,C19_z_score,C20_names,C20_logfold,C20_pvals_adj,C20_z_score,C21_names,C21_logfold,C21_pvals_adj,C21_z_score,C22_names,C22_logfold,C22_pvals_adj,C22_z_score,C23_names,C23_logfold,C23_pvals_adj,C23_z_score
SPN,2.3236334,0.0,80.62217,MNDA,2.496714,0.0,67.8357,ANP32E,2.3511162,2.1367067752160415e-242,33.4678,ARHGDIB,1.8070015,0.0,55.516453,PYGL,1.9521786,9.178476461280512e-257,34.398117,EGR3,3.1040506,0.0,54.635113,CCRL2,2.2813308,0.0,46.86784,NUSAP1,2.9955761,0.0,51.326405,SIGLEC6,3.5994089,0.0,37.72787,CLU,3.723612,0.0,82.02655,CREM,3.082681,4.43929117284037e-165,27.651186,PLPP1,4.4007235,4.304946200784114e-252,34.12778,LAMP1,1.5722356,0.0,37.811348,CES1,4.4651594,0.0,68.05781,CTSZ,2.3459072,3.654741992466142e-50,15.303222,LHFPL2,3.4904196,0.0,40.28745,COLEC12,3.4375794,0.0,72.56973,COLEC12,3.1840997,2.333339578108935e-117,23.348738,S100A10,2.2755394,1.3105150014572818e-16,9.113558,C2orf88,11.16803,8.080291068021574e-51,15.477589,MICALL2,4.143733,7.140218573643612e-18,9.378167,PXDN,10.172159,8.152654509034572e-268,35.171734,MT-CO2,3.3458738,1.6848577453561797e-67,17.696365,FXYD5,1.4964579,5.052967328940627e-14,8.274917
RNASE2,3.7594001,0.0,80.205574,SYNE1,3.602811,0.0,66.17939,BEX1,3.3980367,4.517541219768489e-242,33.44305,DEFA3,4.8300037,0.0,55.171295,PLPP1,3.2172625,7.809703901505407e-253,34.13163,S100P,2.4989405,0.0,53.956276,CCL4L2,2.721258,0.0,46.12591,CKAP2L,3.141736,0.0,50.881718,CLU,3.022725,0.0,37.692543,HDC,5.168257,0.0,81.03172,VWA5A,3.3073297,4.594040274836497e-164,27.563503,FCER1A,4.05822,2.2746438410253363e-235,32.976562,HS3ST2,3.169827,1.9821538527889882e-303,37.419777,MS4A7,3.8400133,0.0,66.8356,VAT1,1.7100104,4.242238913911053e-47,14.819091,CD14,2.8863132,0.0,39.538517,IFI30,2.7327225,0.0,72.4083,IDH2,2.1186662,2.898499720085257e-112,22.837994,ANXA2,2.4516828,1.5205302278383728e-16,9.084882,RUFY1,3.9933078,2.4919934126541436e-49,15.249704,YWHAE,1.8992298,1.0980380204070737e-17,9.320881,IGFBP7,5.1816335,2.8215731399769263e-261,34.739044,PDXK,1.7006932,1.0804884147327862e-66,17.590208,BTG1,3.0262697,1.3925230847043277e-13,8.136116
CEACAM6,4.1581373,0.0,79.63316,SIGLEC5,2.720955,0.0,66.13794,AZU1,3.6699903,6.138230515031483e-236,33.01622,BEX1,3.2315538,0.0,54.81276,SRGN,1.0941025,1.8120501171620414e-238,33.14625,CHI3L1,2.5130754,0.0,52.981647,SOD2,1.893842,0.0,45.933548,MNDA,2.2906976,0.0,50.602818,GCSAML,3.8331087,4.663149356915732e-286,36.341263,KIT,5.932072,0.0,79.71974,MYO1D,4.019452,2.261541889736582e-163,27.502787,SAMSN1,2.311091,2.2514912549629872e-230,32.624096,TXNRD1,2.1939137,2.553403828794408e-283,36.159035,CD74,3.71548,0.0,66.59052,TMSB4X,0.87622344,5.879396289632218e-47,14.792987,NFKBIA,2.0317144,0.0,38.622524,IL1A,3.3906546,0.0,72.35961,CTSZ,2.4415207,1.9468468839662388e-110,22.649857,SPARC,3.5051496,1.5205302278383728e-16,9.079257,PTGS1,4.453443,2.27199310886338e-48,15.099428,CENPH,3.528361,1.109085269803439e-17,9.314375,COL5A1,8.916358,1.531430727332855e-259,34.619846,MT-CO3,3.2066402,1.841184499575817e-66,17.558832,SYNE2,8.179544,4.193815560313846e-13,7.9821563
CTSG,4.2815065,0.0,77.152176,DYSF,2.5332265,0.0,65.759254,CKS1B,2.6883264,3.349489256390443e-235,32.96274,MCM7,2.8362186,0.0,54.73312,ANXA1,1.1014366,1.3181831387788412e-224,32.1666,PHACTR1,2.1998007,0.0,52.97316,IL1RN,2.3729687,0.0,45.595448,CEACAM3,2.8830643,0.0,50.098133,SAMSN1,2.2712271,7.170057351260872e-285,36.262367,FCER1A,5.239898,0.0,79.54313,DDIT4,3.7109935,1.3687771885260994e-162,27.434633,SOCS2,3.7030203,9.714233680196751e-212,31.275007,CD9,2.386884,4.019909416685166e-276,35.69671,NRP2,4.0828924,0.0,66.48215,CTSB,2.1228812,1.4915461394126755e-44,14.405416,ITGA5,2.3613942,0.0,38.076683,ARRDC4,2.8692515,0.0,71.98826,SAMHD1,2.5057557,3.2843792331438534e-109,22.521723,EVL,2.48793,3.044266106436706e-16,8.995247,CMIP,3.5496833,1.6184131498806924e-46,14.810499,CD36,4.338071,1.7174031721982948e-17,9.262631,CTTN,7.236724,7.7619722308408965e-258,34.504494,NABP1,1.918255,4.1057733854450353e-66,17.51212,LIMD2,4.09479,6.44359470015642e-13,7.921219
BPI,3.449316,0.0,75.885765,CEACAM1,3.7414312,0.0,65.27606,ELANE,3.7615674,3.9568788580320226e-231,32.675323,NKG7,2.7687452,0.0,54.355747,EIF1B,1.4519233,6.313133618980046e-198,30.189922,FPR2,2.569374,0.0,52.562664,BCL2A1,1.4187526,0.0,44.314056,ANXA3,2.3931818,0.0,49.975132,SEMA7A,3.4677575,1.5375144237438068e-278,35.856712,ITGA2B,5.2064505,0.0,78.921684,VIM,2.141466,8.024659269823687e-161,27.283508,CLU,2.756008,2.666670324558071e-208,31.019424,BHLHE41,2.9602315,2.8718719561522295e-272,35.446064,C1QA,4.3505716,0.0,66.20726,LGALS1,1.9362688,1.5160799644217756e-44,14.403108,S100A10,2.5428498,0.0,37.96817,LTA4H,2.7384048,0.0,70.87376,HMMR,3.8989093,3.6672148806820483e-106,22.205452,CRABP2,7.210769,1.1735345486955212e-15,8.83811,MMRN1,8.124579,1.0218619553255241e-44,14.524491,MPST,3.1031482,1.8141704875946167e-17,9.251808,MMP1,7.7281256,1.8039448954960898e-254,34.277542,AHNAK,2.3194005,6.077501192039793e-63,17.082117,IL32,5.8186593,6.684303694171329e-13,7.912944
MLC1,3.5625916,0.0,72.78849,CHI3L1,2.9434094,0.0,65.25942,SERPINB1,2.030427,7.541157315016079e-231,32.653748,ZWINT,3.0478597,0.0,54.263824,CELF2,1.121419,1.0649193072199243e-196,30.095577,PPP1R15A,1.847733,0.0,51.173344,SGK1,1.7309043,0.0,44.144104,TSPAN2,2.6688068,0.0,49.94798,MKI67,3.065321,4.557244845901687e-277,35.760544,RAB27B,5.2774706,0.0,77.655754,ZNF331,4.0210156,1.2053766307416383e-157,27.01206,PRNP,2.7611465,2.9284393652896443e-201,30.489752,CTSZ,2.1121528,2.1824598943981398e-262,34.794983,TFRC,3.1475005,0.0,65.218666,S100A6,1.4811807,5.230767151661317e-43,14.145321,MAFB,3.1774647,1.4778968988235556e-304,37.490658,PLPP3,3.0269892,0.0,70.66399,BHLHE41,2.9544344,1.0398146566814452e-105,22.155657,CD40,3.7565486,6.1697627766569895e-15,8.643339,ABCC4,4.3735147,1.7293016265066415e-43,14.320656,EEF2,1.5704051,3.6872932105133915e-17,9.166327,EFEMP1,9.860528,3.459892348555313e-252,34.122307,RSRP1,2.109073,3.485606968941506e-62,16.978941,S1PR1,4.541377,1.8817123803490824e-12,7.772407
ATP8A1,3.1372647,0.0,72.7726,MMP8,4.467857,0.0,64.64892,DLGAP5,3.6830285,1.3140553421385382e-228,32.493717,TK1,3.3132005,0.0,54.122448,CRIP1,2.3348303,5.020542757122255e-196,30.043715,RESF1,2.1866362,0.0,51.135296,PLAUR,1.365613,0.0,43.71555,CEP55,2.9141457,0.0,49.308796,TYMS,3.2066743,1.8079974836590605e-270,35.33193,MS4A2,5.1051493,0.0,77.53948,C11orf24,3.45773,2.2975836673619377e-157,26.985958,GCSAML,3.6548,5.6852136281535954e-195,30.00739,FTL,1.2016273,2.0234843985441736e-245,33.650932,IRF8,4.216931,0.0,64.75579,FTH1,1.934001,5.181174601103285e-41,13.808016,TGFBI,3.8235316,4.289729023191029e-302,37.337578,SLC7A7,3.006293,0.0,70.259346,CXCL3,3.2637093,4.3362673735935106e-105,22.088503,ENG,2.1257403,6.229081912690828e-15,8.635319,MAPRE2,3.523081,2.1735471048277874e-43,14.30078,ALAS2,10.548751,1.6398504446300804e-16,8.999512,TXNDC5,4.917732,9.926086210713062e-252,34.089848,PPARG,2.085947,7.286313005178044e-60,16.650076,SATB1,3.8332613,2.4131905612080197e-11,7.4094906
PLAC8,2.9855087,0.0,72.55128,TCN1,3.3993018,0.0,62.874813,MS4A3,2.700381,9.346096421115804e-225,32.21818,HIST1H4C,3.0439994,0.0,53.54997,CEBPE,2.3766375,1.85969404338635e-185,29.219374,TREM1,2.5021834,0.0,50.788708,LGALS3,1.645402,0.0,43.059135,TPX2,2.84298,0.0,49.248684,SLC18A2,3.7053752,6.95025577064085e-264,34.897644,SLC18A2,5.2309327,0.0,75.58888,TDRD3,3.1391187,4.76755325233472e-155,26.785671,LIMD2,4.3864293,1.2938357913432667e-186,29.357233,S100A10,2.2363317,2.1629802637983723e-241,33.371204,BHLHE41,3.5846744,0.0,64.67014,ANXA5,1.962301,5.418071393554183e-40,13.633918,DUSP1,2.0327368,1.7660204834990083e-301,37.298157,CES1,3.7238233,0.0,69.776054,CXCL16,2.5159638,1.9845112654474668e-101,21.701738,C1QA,3.221918,1.7809188202246474e-14,8.507787,GP1BB,6.421355,3.9930398308676016e-43,14.254621,NME4,3.1542602,4.1975916932518737e-16,8.8754635,COL4A2,10.232556,3.267316456708554e-250,33.985783,SLC11A1,2.9904704,1.5019432771840002e-59,16.604378,ETS1,4.0852556,2.5847975761466804e-11,7.3989835
NKG7,2.963993,0.0,71.89738,MXD1,2.367505,0.0,61.867237,RNASE2,2.9307635,3.0705441514109352e-224,32.179684,BPI,2.9925048,0.0,53.24662,NUCB2,1.7849888,9.546878808530324e-174,28.276321,NDRG1,2.3252177,0.0,50.198277,METTL9,1.6471716,0.0,42.897667,NKG7,2.709142,0.0,48.676308,PRG2,3.4978437,5.719662299957207e-260,34.635933,HPGDS,5.322765,0.0,75.56912,NR4A1,3.4604638,7.204937682638583e-154,26.682219,IL1RL1,3.429938,5.917408646524936e-183,29.066612,PLD3,1.9974971,3.7521217688435166e-240,33.28468,C1QB,5.592135,0.0,64.40819,CTSH,2.2015977,1.7805320344954752e-38,13.369154,CXCL8,2.3637123,2.95370309625306e-300,37.221157,ENG,2.5656357,0.0,69.20621,CDK1,3.3487697,5.645198269146092e-101,21.651123,CCL22,8.976894,4.0758262133865415e-14,8.404886,PLEK,3.1012638,4.290181026065758e-43,14.246026,SLC2A1,3.585139,4.625464733855209e-16,8.861,MAP1B,9.271286,1.3818315663409825e-249,33.941925,ZFYVE16,2.4051445,3.6113963161965373e-59,16.550121,PNRC1,1.5744716,3.1986615865705226e-11,7.3651876
MCM7,3.0026836,0.0,71.36858,PGLYRP1,4.108758,0.0,61.83087,CKAP2,2.885571,3.1679835619672154e-223,32.10563,NCAPG2,2.82686,0.0,53.189987,CLU,1.7098022,1.4706725574564345e-172,28.179289,IL1R1,2.4721391,0.0,50.16331,CD68,1.6659546,0.0,42.850014,LTF,3.8982434,0.0,47.48492,RHEX,3.923109,1.7533887663873698e-257,34.46914,ACSL4,3.3083618,0.0,74.33577,NR4A2,3.4749956,9.53253721614174e-154,26.669819,SIGLEC6,3.093652,1.5323132956204008e-180,28.871634,CALU,2.1622503,3.0780226573260434e-236,33.01116,FABP3,4.1959825,0.0,64.34882,NCF2,1.5476409,1.6337676044933307e-37,13.198542,TLR2,3.1060479,3.558474831708533e-296,36.96664,CTSA,1.8479282,0.0,68.99466,CTSB,2.3257747,3.549490564692457e-100,21.563845,SPP1,5.508698,4.5782496868030885e-14,8.385201,RGS18,5.6392083,1.9107774299507352e-42,14.137866,PGRMC2,2.45978,6.815738917472766e-16,8.814129,RCN1,5.5453625,2.276901595662855e-248,33.85797,INF2,2.958529,1.0472436392843049e-54,15.905631,NOP53,2.796801,8.205968074795775e-11,7.2255163
