C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score
APOE,5.197779,0.0,69.537315,CPA3,10.418788,0.0,80.79523,CLC,7.9420176,2.7043952154077136e-86,20.17906,S100A9,5.2235646,0.0,89.267715,TYMS,4.4334793,0.0,66.35976,IRF8,8.009485,1.264746895385535e-19,10.076832,LENG8,3.422189,1.5533987734407085e-146,26.113266,MYL9,3.6778948,2.9017826879597506e-76,19.003193,COL1A1,7.098439,0.0,117.25519,HBA2,13.465321,9.024990078466374e-165,27.69416,JUN,3.6647887,1.6041194425119326e-195,30.091764,TXNDC5,4.168568,1.2718971324383278e-65,17.608759,CD74,4.8752146,2.8021204505015846e-58,16.657352,ITGA2B,6.494356,5.177150955441933e-18,9.705271
CES1,5.0960293,0.0,68.913605,GATA2,8.284476,0.0,80.09967,TMSB4X,1.7962056,2.7349010751804446e-79,19.329643,IFI30,5.1527905,0.0,86.55963,MKI67,5.1588826,0.0,62.07721,ITM2C,6.305948,5.499040606980204e-18,9.628135,RSRP1,3.8724673,4.618214019713861e-134,24.970564,LGALS1,2.5329976,1.2953437709045158e-74,18.766,COL1A2,6.1489034,0.0,117.21802,HBB,13.934937,9.024990078466374e-165,27.687109,CXCR4,4.4931955,1.38186189022657e-182,29.067791,MZB1,9.573957,1.792137972887947e-48,15.120337,IGHM,10.905852,5.077601157206015e-58,16.588614,GP1BB,9.179376,1.0078959320095804e-15,9.032874
GPNMB,4.6772647,0.0,67.9713,LAPTM5,4.64355,0.0,78.779945,SRGN,2.642955,3.274219646789209e-77,19.059954,LYZ,5.7631783,0.0,84.937004,RRM2,5.1036887,0.0,58.92587,MPEG1,8.179057,4.4025151132298593e-16,9.123045,ITGAX,4.2297077,1.5935053724276136e-104,22.049334,TAGLN,3.830618,2.6501975075623265e-69,18.082258,SPARC,4.935208,0.0,117.10462,HBD,10.606256,4.6087259396304094e-164,27.613571,TRBC2,8.969586,1.277697208664003e-178,28.746937,JUN,3.364756,2.902928531536718e-41,13.922018,CXCR4,5.2859597,7.871022849309643e-57,16.405697,ITGB3,5.9772477,4.107297353080763e-13,8.297162
NUPR1,3.5190656,0.0,65.1605,SRGN,2.7937315,0.0,77.019516,CSF2RB,4.805017,2.3169710205187066e-75,18.820545,CXCL8,5.47973,0.0,84.65914,LMNB1,4.211924,0.0,55.912292,CD74,4.687644,9.456647012418698e-16,9.008342,NABP1,2.5291407,1.5105072726188693e-86,20.042665,TPM2,3.2139704,3.0487008345062453e-56,16.30963,COL5A1,5.7097745,0.0,117.07207,SLC25A37,6.636755,4.3923103337949265e-157,27.007257,ZFP36L2,3.484361,7.941421224733102e-175,28.43301,IGKC,11.799986,6.25736253224952e-34,12.586936,CD79A,9.598317,2.632279370637895e-51,15.588362,PLEK,4.4169173,1.65539753572292e-12,8.064994
CTSZ,2.3233254,0.0,62.004536,SAMSN1,5.5681605,0.0,76.68156,CD24,5.932467,1.0408080953894403e-66,17.721182,CYBB,4.526867,0.0,83.92666,TPX2,4.4551735,0.0,55.052963,APP,2.696872,4.170598987280302e-15,8.814742,KLF6,1.965151,5.7259699973773145e-71,18.10615,CALD1,3.0611181,2.2022902620460428e-51,15.589908,FN1,6.6202397,0.0,115.907936,SNCA,7.23112,1.044928403119958e-149,26.35396,PNRC1,2.7234876,1.1083563947002601e-173,28.334833,SEC11C,3.7161605,1.5767314416387062e-27,11.305714,BTG1,4.861427,1.6328717827696368e-49,15.296023,FERMT3,3.8526223,1.921062053402007e-12,8.019424
CTSB,2.1127791,0.0,61.956352,CLU,6.072497,0.0,75.5089,CYTIP,4.3344865,4.205121666850168e-65,17.501505,CTSA,2.852732,0.0,81.70198,TUBB,2.0450442,0.0,52.724823,PLD4,9.307876,2.287521427962298e-14,8.579135,ALOX5,2.812839,1.803209137907168e-67,17.643738,TMSB10,1.8493105,1.570167414901283e-48,15.155703,LOXL2,5.117446,0.0,114.70947,BNIP3L,4.1543627,2.7228494721047678e-148,26.22565,BTG1,4.466137,1.8468932530694527e-167,27.819029,UBE2J1,2.0252798,5.757762991974663e-25,10.750053,JUND,3.4649568,1.933310504178891e-48,15.127347,TMSB4X,1.7628652,4.164913609596828e-12,7.9119596
MARCO,4.8482256,0.0,60.967358,HPGD,8.651884,0.0,74.52445,EGR3,5.717887,7.937077095881455e-65,17.456488,CTSH,4.4169226,0.0,81.46162,SMC4,3.1597154,0.0,52.071957,YPEL5,3.178341,2.287521427962298e-14,8.572563,MT-ND4,2.2793949,2.147481335270293e-67,17.63337,TPM1,2.8653688,8.86432439661452e-42,14.069082,MMP2,4.245073,0.0,114.39784,ALAS2,9.808139,1.5571537394652882e-147,26.15515,JUNB,2.9299076,1.3094997738349948e-156,26.898005,ITM2C,4.0764313,1.2104250925889212e-24,10.676077,MS4A1,12.013474,1.3341030986102272e-47,14.982249,CAVIN2,6.746681,1.1639258576900825e-11,7.761879
CD68,3.7439196,0.0,59.982513,GLUL,4.190802,0.0,74.00246,FTL,2.1627986,2.0093648909758245e-61,16.995348,GRINA,2.3675592,0.0,80.74766,CEP55,4.7033877,0.0,50.774742,MAPKAPK2,3.3787763,9.424635810857382e-14,8.381806,APOE,3.169205,2.7967483555748367e-66,17.484306,ANXA2,1.9700447,3.75196067681077e-40,13.795905,PRSS23,5.053281,0.0,114.35753,SLC4A1,9.563797,4.544094383611499e-143,25.752583,FOS,4.12309,8.595752212125773e-148,26.12039,IGHA1,11.841878,1.012386949780218e-23,10.464745,CD37,3.9256465,1.0230642892642072e-45,14.681362,NRGN,7.4234657,3.491938403648255e-10,7.2672343
SCD,3.4572182,0.0,59.669353,FXYD5,2.3341992,0.0,73.27401,NCF2,4.0322895,2.0727749042818038e-60,16.850992,CTSD,3.8976388,0.0,79.83137,HIST1H1B,4.4588833,0.0,49.580936,CLEC4C,13.034847,1.4543816110395602e-13,8.308991,MT-ND3,2.3806455,7.494224285104169e-64,17.15548,PEA15,2.2154598,8.793848873818409e-40,13.726968,TGFBI,4.9944806,0.0,113.7327,TENT5C,7.6561766,3.5617443460978128e-130,24.560402,IL32,7.3939095,1.0522696369339145e-140,25.486347,TENT5C,4.9198704,1.8348293263652363e-20,9.687751,JUN,3.6165977,5.964274468894785e-42,14.068431,PRKAR2B,6.1058693,8.986290107966249e-10,7.1120834
BHLHE41,3.5908916,0.0,58.605984,SIGLEC6,7.9311113,0.0,72.07936,BTG2,3.6208885,1.1627585990637878e-59,16.738129,GRN,3.3101573,0.0,79.63373,FOXM1,3.5422366,0.0,49.25803,PLAC8,7.1584992,3.680763599406323e-12,7.873067,PLEC,1.6287904,1.0556584388751213e-62,16.997416,MAP1B,2.8924468,8.793848873818409e-40,13.723979,COL3A1,5.1944604,0.0,113.73099,RBM38,6.5388513,6.824514759320035e-129,24.435535,TRAC,9.644428,2.786228100348099e-139,25.355282,DERL3,7.7841477,2.3289637321792166e-18,9.14783,FOS,4.383181,4.126527984303304e-40,13.754399,RAB27B,4.9706364,1.3451967131463458e-09,7.050289
CSTB,3.115817,0.0,58.504353,CTSG,8.584349,0.0,70.57737,CCL23,6.9696107,1.1627585990637878e-59,16.73676,CD68,4.083776,0.0,79.3182,TACC3,3.9971578,0.0,49.18494,GZMB,8.224192,1.590251989434525e-11,7.6548867,DDX5,1.1586835,1.444366573525782e-56,16.128624,SH3BGRL3,1.6510983,5.039173271482413e-38,13.401643,SERPINE2,5.426389,0.0,113.69186,TRIM58,9.489637,3.8344290610031504e-128,24.360811,KLF2,4.341363,4.702467721092717e-126,24.111393,IGHG1,10.68592,3.9292993262717935e-18,9.086886,TSC22D3,5.1349216,2.2416415172101877e-35,12.902824,LCP2,2.840008,2.09053114610474e-09,6.967276
CTSS,3.622542,0.0,58.35287,MS4A2,9.668893,0.0,70.37651,PYGL,4.4882307,1.238638728265623e-56,16.304533,CD14,4.309484,0.0,78.8771,ANLN,4.770655,0.0,48.90949,PLXNA4,7.7387385,3.357111091470144e-11,7.541625,PPARG,2.5680535,5.004944417852865e-53,15.60298,S100A6,1.5140239,3.3271432216605033e-37,13.2548065,LTBP2,4.918759,0.0,113.66739,DCAF12,6.175333,2.6870180131765424e-122,23.793888,EVL,3.030185,9.922929558323263e-124,23.8871,FOS,2.4608922,4.3436631985796254e-15,8.233959,IGHD,9.866403,4.708540547888067e-34,12.650698,C2orf88,6.535575,3.787600358003814e-09,6.86838
CCL18,4.458777,0.0,58.17284,HDC,9.49192,0.0,69.85442,BCL2A1,3.3705359,1.0268334251299333e-55,16.167728,BCL2A1,3.7976081,0.0,78.56317,MCM7,3.5982978,0.0,48.445892,BCL11A,6.8330956,4.1326443942958074e-11,7.5044045,MT-ND6,3.6700218,6.706159790757611e-50,15.127414,HSPB1,1.6581334,6.713792152046758e-35,12.827442,CALD1,5.0872293,0.0,113.40296,BPGM,4.987468,9.990637666153264e-118,23.343557,IKZF1,3.821932,3.3278417774539534e-116,23.14296,DUSP1,1.6843122,1.4485675275766165e-13,7.7741675,DUSP1,2.6456933,4.1150736209945567e-32,12.275329,LTBP1,4.181637,1.0245912613133287e-08,6.7031393
PSAP,3.0367463,0.0,57.88395,BHLHE40,3.6183345,0.0,69.21748,CD69,4.3663616,1.2950425101679035e-53,15.86284,CTSS,4.108139,0.0,78.16004,CKAP2,3.5377064,0.0,47.664124,PTPRS,5.4428806,5.589569594136734e-11,7.4599514,MT-ATP6,1.9669609,2.145497363719707e-46,14.573307,CFL1,1.2495203,2.2161797901528585e-33,12.541736,IGFBP7,4.6273685,0.0,112.974495,FBXO7,3.5142322,1.256257672925466e-116,23.233595,TSC22D3,4.4999557,6.228775362416933e-113,22.809555,ISG20,4.8508615,1.2063840201980756e-12,7.481303,PNRC1,2.439126,4.5930216850345845e-32,12.264946,MMRN1,10.060006,1.259800846413336e-07,6.247143
CD74,3.9267645,0.0,57.63322,ANXA1,2.2004611,0.0,68.29574,CORO1A,4.67162,4.843818407246608e-50,15.311275,ITGB2,3.904091,0.0,78.00369,CENPF,5.0275784,0.0,47.39235,FOS,4.1061816,3.1424113876206476e-10,7.2066393,CD44,1.2510719,2.2660886775511225e-46,14.569377,CCND1,3.7642663,6.306080740784422e-33,12.456418,LOX,5.104674,0.0,112.50202,BCL2L1,4.9893613,2.2795820794961746e-113,22.904814,TCF7,5.649387,3.6832445398447985e-112,22.730442,TSC22D3,3.0535817,6.02688063366028e-12,7.251351,IER2,3.4940152,2.717271853981466e-28,11.506939,MED12L,7.996976,1.6900873343162018e-07,6.1984677
ADTRP,3.8516595,0.0,56.719643,AHR,3.503117,0.0,68.0394,PLPP1,5.0661974,2.882971349383791e-48,15.040488,CXCL16,3.9166803,0.0,77.96731,LMNB2,2.9854066,0.0,46.852222,JCHAIN,8.926664,6.708791780134148e-10,7.0830774,PDXK,1.7783605,5.374012253173547e-46,14.509294,TMSB4X,1.051502,4.229026116314355e-31,12.096714,MYL9,5.1512637,0.0,112.19929,SLC25A39,4.36399,1.3902689733445659e-111,22.718786,TXNIP,2.682722,7.060386662365097e-112,22.701454,POU2AF1,7.8194294,3.7776626443377625e-11,6.9781127,JUNB,2.4353628,2.7963803930495904e-28,11.503405,PF4,13.558904,5.821272133416987e-07,5.971547
CYP27A1,3.6161506,0.0,56.282978,VWA5A,5.5564017,0.0,68.018875,S100A8,4.2394137,5.386217791910846e-48,14.996454,SPI1,3.5949438,0.0,77.7058,CENPE,4.3313327,0.0,46.837654,TCF4,4.693604,1.2440615981689741e-09,6.9764533,TRIM25,2.399381,1.5835148862178386e-45,14.432876,PALLD,2.642722,5.38121312325442e-30,11.874441,DSTN,4.2571015,0.0,112.09643,NCOA4,2.9839938,1.866581541343367e-107,22.289755,ETS1,4.392174,3.32776758574427e-98,21.252733,KLF2,2.8178642,1.1052019389835837e-10,6.814092,KLF2,4.338248,4.070515487163946e-28,11.467854,RUFY1,2.9936342,1.8395262687833758e-06,5.7676835
LAMP1,1.5451871,0.0,55.107254,RAC2,3.7314377,0.0,67.956924,FTH1,1.9131864,1.7988655755305516e-45,14.5981655,SERPINA1,3.9862978,0.0,77.21829,DEK,2.0650806,0.0,46.007904,IGHM,6.601456,1.5055976340684097e-09,6.9464126,TNFAIP2,3.0105526,5.2955804285863744e-45,14.346791,MAP4,2.3845963,1.8474864377963196e-29,11.763367,PXDN,4.6307964,0.0,111.875694,AHSP,6.835409,3.7254146785759416e-106,22.154324,TNFAIP3,3.031812,7.222062701018632e-94,20.771555,FKBP11,2.894616,1.130502355086798e-10,6.8103747,CD79B,8.814978,7.950512181471386e-26,10.977915,PPBP,11.178021,2.7201265051482984e-06,5.6772294
LYZ,4.3919744,0.0,54.976013,FCER1A,7.6610503,0.0,66.508644,SAMSN1,3.6021354,4.2868819056618895e-45,14.536513,FGR,3.697974,0.0,77.101425,CENPU,3.8681064,0.0,45.89919,SELL,5.533352,4.886604739457419e-09,6.746611,CSF1,2.2149348,1.1380761703237784e-44,14.292716,CSRP1,1.6631507,9.646244116325147e-29,11.615029,THBS2,5.5095425,0.0,111.80826,MARCH8,5.9413977,8.579686174998975e-92,20.579666,CORO1A,4.201226,3.246417451706789e-92,20.584383,CD79A,5.7492547,6.372912061654025e-10,6.5379987,LTB,6.17234,2.2394759024606355e-24,10.653906,MAP3K5,3.6436696,1.616796488653366e-05,5.2857647
IFI30,3.9208474,0.0,54.97118,IL1RL1,8.552086,0.0,64.38406,BHLHE40,2.8522615,8.857859369920444e-42,13.991222,B2M,2.6110148,0.0,76.99903,ZWINT,3.9421809,0.0,45.46582,DUSP5,4.2494473,1.0721698017383933e-08,6.6142035,SAT1,2.5434763,5.71958184146213e-44,14.176138,CYB5R3,1.4287577,1.7338057243215045e-28,11.555756,ITGA11,5.133302,0.0,111.739525,EPB41,5.557517,8.384090853087939e-91,20.465649,DUSP1,2.0623147,1.6847505115649206e-86,19.925217,HERPUD1,2.5482008,2.4755785824920914e-09,6.316916,IGKC,7.1192164,2.9928445683219316e-23,10.3961315,SNCA,3.8609617,2.4259942890452947e-05,5.184346
PLD3,2.2726743,0.0,54.95522,LCP2,3.488384,0.0,64.295235,MXD1,4.8339696,4.0221240112728045e-40,13.707785,OLR1,4.0295463,0.0,76.11172,CKAP2L,4.517894,0.0,45.25701,CCDC50,4.5471005,1.0905954329306692e-08,6.6093507,CDK5RAP3,3.0919313,6.98005676011341e-44,14.161806,SELENOW,1.9259241,3.554783456556301e-28,11.49039,COL4A1,4.754773,0.0,111.65839,IFIT1B,12.579825,1.534147312133278e-87,20.08834,WIPF1,2.1252682,1.5925309689369858e-85,19.811314,ST6GAL1,4.085543,2.253784655041839e-08,5.942362,LAPTM5,2.507145,1.459595867691036e-21,9.998333,FOS,3.0544388,3.5713586889910105e-05,5.0945387
HS3ST2,3.5119534,0.0,54.820427,RASSF5,4.0144176,0.0,64.13245,NAMPT,3.14864,2.072008766206619e-37,13.229113,HCK,3.849503,0.0,75.80424,ILF3,1.4926817,0.0,45.18974,PRKCB,3.271714,1.697072450350197e-08,6.532318,FGR,2.103415,2.621387752944757e-43,14.066479,CAVIN1,2.784485,1.1050469939566048e-27,11.387472,TAGLN,5.5164957,0.0,111.65167,EPB42,7.4864216,4.465370356581847e-80,19.199953,IER2,3.0570142,6.09602042704957e-85,19.742323,SLAMF7,4.0085816,2.995461404099669e-08,5.891371,FCMR,5.3916144,5.185223089868186e-21,9.859619,TC2N,6.18883,5.081204261701172e-05,5.007723
SLC15A3,3.0899317,0.0,53.13885,KIT,8.455575,0.0,63.331966,CXCR4,3.5637517,2.3253679141566263e-37,13.2176,FCER1G,3.5018137,0.0,75.67176,PLK1,5.412313,0.0,44.840813,KLF6,2.826645,2.4884902463455268e-08,6.4683356,ZFYVE16,2.389297,1.6625056417133502e-42,13.931569,RHOC,2.1435819,1.4822877306285476e-27,11.358591,LAMC1,4.2887454,0.0,111.48082,HEMGN,7.1855946,7.752029425746178e-78,18.923925,CELF2,2.5717921,1.5636472537946115e-76,18.722546,TRIB1,2.6953728,3.034672401795087e-08,5.88915,TXNIP,2.3596852,9.959484507354146e-21,9.788517,RGS18,6.481115,5.65936158565523e-05,4.9813066
LGALS3,2.5235257,0.0,52.688892,RGS13,8.8296795,0.0,62.814465,SGK1,2.5259044,4.282921498655519e-37,13.167491,CTSC,3.5911858,0.0,75.59288,NCAPG,5.323308,0.0,44.309555,CORO1A,4.084939,8.5452209634628e-08,6.2589746,PIK3R5,2.814896,1.6146932054027792e-41,13.764919,S100A10,1.2752533,3.5740283953182975e-23,10.390212,BGN,5.0901027,0.0,111.26948,FECH,4.419006,3.2944685943384306e-75,18.594887,CD3E,10.779497,6.828006210442337e-72,18.136087,JCHAIN,8.472489,3.773771571937581e-08,5.8504505,AFF3,6.599458,1.410619421141232e-20,9.74807,CLU,2.6456316,6.616636153710828e-05,4.942291
FABP3,4.053422,0.0,52.385918,SEMA7A,3.59803,0.0,62.053005,TXNIP,2.7435255,8.520838934103928e-37,13.111555,IL1B,4.2615795,0.0,74.310585,SHCBP1,4.6646676,0.0,43.919437,PACSIN1,11.657196,9.889888524640164e-08,6.2286825,SPI1,1.7442626,6.475190511100564e-39,13.312476,NEK7,1.9166291,2.3237646716072256e-22,10.195258,CCN2,5.4697504,0.0,111.18057,UBE2O,4.6792865,1.1119349825091382e-64,17.211508,TMC8,3.7122078,2.1642642928948353e-70,17.941292,IRF4,4.63279,6.706081603597672e-08,5.7475114,FCRL1,10.941503,9.007042385470155e-20,9.541729,NLK,3.3004038,7.315734231551692e-05,4.9139733
NPC2,2.1822116,0.0,52.211395,CST7,5.010929,0.0,62.03964,PLAUR,2.4355767,8.666970199352788e-36,12.930722,S100A8,4.4695005,0.0,74.10913,KIF11,4.697216,0.0,43.155525,LILRA4,10.551695,1.0149621752829983e-07,6.2210135,SLC11A1,3.1845057,8.109991303877163e-39,13.295104,POLR2L,2.2548225,3.810178578902786e-22,10.144717,EDIL3,4.4518,0.0,111.1351,MPP1,2.7699466,3.1581970289779836e-63,17.012016,SYNE2,5.448642,3.6070902845933886e-69,17.781824,TXNDC11,2.0707574,1.0305639054433318e-07,5.667791,OGA,2.5933435,2.6956882560823156e-19,9.421601,HEMGN,5.232673,7.575863463862197e-05,4.900638
GRN,2.6316972,0.0,52.051735,SLC18A2,9.226973,0.0,61.61497,METRNL,2.6827343,2.3479672065141978e-35,12.849114,NCF2,3.5372665,0.0,74.01019,BUB1,4.946404,0.0,43.131012,UCP2,3.484589,1.1224369209737036e-07,6.201669,FNDC3B,1.2437024,1.784659107751458e-38,13.233697,PFN1,1.0058411,4.952188094719236e-22,10.116452,TPM2,4.722247,0.0,110.63235,DMTN,6.2939725,1.1580857288771517e-59,16.513374,ARHGDIB,2.3030732,1.0981319579228807e-66,17.451824,OTUD1,2.88965,2.026743553427145e-07,5.541929,PRKCB,2.928477,7.982769950704653e-19,9.2974,MAPRE2,2.8375578,0.00010934690298502251,4.8050127
LITAF,2.5596673,0.0,52.03655,NR4A2,4.648824,0.0,60.870914,CST7,3.5541031,1.4002434605121805e-34,12.701404,PIK3AP1,3.6302345,0.0,73.9767,KIF23,3.9555633,0.0,43.005486,RGS2,4.536577,3.193665657824614e-07,6.0148125,KYNU,3.9124832,1.0285810766066179e-37,13.098291,DRAP1,1.1911112,3.576470666251955e-21,9.910224,FSTL1,5.3610573,0.0,110.5718,TMCC2,9.168567,9.88218261189002e-58,16.238375,MLLT6,2.8757946,1.7912768033849285e-66,17.423336,HSH2D,3.7870126,3.1618905329826585e-07,5.4579177,CIITA,4.6146894,2.063182520519456e-18,9.189157,SPN,2.4740417,0.0001299191844324066,4.758835
SPI1,2.8869066,0.0,51.617386,ITGA2B,7.16693,0.0,60.608433,MCL1,2.3586318,6.287526603179844e-34,12.581254,IL1RN,4.92963,0.0,73.91553,DLGAP5,5.0628924,0.0,41.933353,LSP1,3.6654944,3.5065103438447564e-07,5.9944506,MCL1,1.5416805,1.7508359872227084e-37,13.057212,GNG12,1.657282,6.154545483296192e-21,9.851195,CDH11,4.419891,0.0,110.564545,OSBP2,7.2045493,5.5717962975180904e-55,15.8365555,AKNA,4.1692867,2.2766324528662952e-66,17.409409,IGLC1,8.375279,3.343275795059052e-07,5.4475513,YPEL5,1.9081016,2.7169331445120122e-18,9.157648,FLI1,2.9322872,0.0001834385617063461,4.6658206
CD9,2.7463326,0.0,51.335514,ACSL4,3.346587,0.0,60.087234,TRIB1,3.8723912,1.545318417724782e-33,12.506987,MCEMP1,4.4539337,0.0,73.89897,NUSAP1,3.9229593,0.0,41.790928,CXCR4,3.4974067,4.720102600502512e-07,5.9387846,PLK3,2.268963,5.804534234889533e-37,12.962363,SPARC,2.2273123,1.0105391265870474e-20,9.797256,CCDC80,4.688255,0.0,110.54014,CA1,6.124668,5.991134742356507e-54,15.6828575,LTB,6.3089776,1.8638427588662225e-63,17.013384,PDK1,2.9903357,5.67788832389039e-07,5.3470526,RASGRP2,5.5392327,3.6581020003028875e-18,9.12276,GATA2,2.8123236,0.00020866536802134793,4.624751
B2M,2.1693583,0.0,51.003086,NR4A1,4.6990957,0.0,59.811604,GLUL,2.6066535,1.6965053139782545e-33,12.49858,CD74,4.216335,0.0,73.85682,CKS1B,2.9584768,0.0,41.662548,NIBAN3,8.436755,5.861459061786504e-07,5.8982983,MAP7D1,1.1965522,2.6404733730975535e-36,12.841782,MYL6,1.6003789,2.859524736187377e-20,9.6849165,POSTN,4.8123355,0.0,109.92278,ANK1,5.4511905,5.986996694319908e-53,15.533053,JUND,1.9851098,1.90012609013482e-63,17.012163,GLCCI1,3.7888937,5.567020773228427e-06,4.8845563,LIMD2,4.5319257,6.358629779946461e-18,9.058528,RAB8A,2.2225273,0.00021243128258632396,4.619136
CTSD,2.9738994,0.0,50.67171,RAB27B,7.349373,0.0,59.569824,CCL4,3.8086438,1.8525153960010496e-33,12.489332,LITAF,3.006247,0.0,73.79803,HMMR,4.88853,0.0,41.521297,CBX4,3.8959649,5.90459890027852e-07,5.8917794,MAP2K3,2.1992254,3.002180166368036e-34,12.461425,TPM4,1.329853,5.2673613334017315e-20,9.613382,THBS1,4.8703213,0.0,109.62404,SELENBP1,6.498711,1.0349633520044153e-51,15.345231,FYB1,3.4030857,2.6439393708200236e-63,16.992432,IGHM,4.727302,1.6732818349785856e-05,4.646351,BANK1,6.678083,8.462740179362525e-18,9.02473,KIF2A,3.3946097,0.00022060876769630883,4.608881
CD52,2.9283743,0.0,50.454998,ARHGEF6,4.986118,0.0,59.37351,LCP1,2.3513386,2.4105474697231063e-33,12.465846,MRC1,4.2396073,0.0,73.64693,MCM5,3.064248,0.0,40.415993,C12orf75,2.417979,7.200642472837353e-07,5.8519545,EMILIN2,1.9790666,6.951457845468392e-34,12.392117,PPDPF,1.6838931,3.0191988127076293e-19,9.4224205,STC2,4.7119927,0.0,109.44245,HBM,7.5343485,1.5061972189139162e-46,14.537065,IL7R,4.5400453,4.7144699556336775e-55,15.82087,SSR4,2.351752,1.8827467330556263e-05,4.620251,NIBAN3,8.694957,9.54775817468911e-18,9.010349,PBX1,4.1024923,0.00022060876769630883,4.608146
CXCL16,2.9700792,0.0,50.445873,PRG2,6.9411364,0.0,58.51455,LSP1,3.1344504,4.0374658439793104e-33,12.420146,NPC2,2.5044668,0.0,73.48578,PTTG1,3.2263427,0.0,40.349236,IRF4,6.4056864,9.507236030648105e-07,5.7902064,SQSTM1,1.5535368,1.5137986162608047e-33,12.327126,PTMS,1.5331783,3.916270160164761e-18,9.133221,TPM1,5.215183,0.0,109.035065,MBNL3,4.9397016,3.17623435336959e-45,14.322063,EIF1,1.0481511,7.156394801850206e-55,15.793969,HIST1H2BG,4.444251,2.2757396213093495e-05,4.578205,PAX5,9.203037,3.2090369385021315e-17,8.868432,ARHGDIB,2.0424876,0.000274326409251408,4.5450587
AGPS,1.9326836,0.0,50.445774,GCSAML,8.388106,0.0,58.119152,CYBB,2.9151204,1.9620791670396001e-31,12.090699,CYP27A1,4.0973186,0.0,73.37314,SPAG5,3.903417,0.0,39.825,SERPINF1,4.97949,1.104283823410618e-06,5.760324,EID3,3.734607,1.084862886499268e-32,12.162751,OAZ1,0.6549738,1.059280548586829e-17,9.014045,FBN1,4.2783256,0.0,108.976814,ADIPOR1,2.2812874,1.7354268242328964e-42,13.867896,CYTIP,2.5055113,7.266027433039557e-51,15.191102,EAF2,3.705032,3.278882121072894e-05,4.4960876,MDM4,3.535474,4.1794982596388646e-17,8.835274,NFE2,4.350016,0.0004109192617997969,4.429824
CXCL8,4.0009623,0.0,50.28867,JUNB,2.5435336,0.0,57.346424,ALAS1,3.7484906,4.122582047803706e-30,11.824443,LRPAP1,2.5402699,0.0,73.34946,TCF19,3.594237,0.0,39.24178,SAMHD1,2.788322,1.58326819383635e-06,5.675424,RUNX1,2.0543742,1.1703295288405279e-31,11.961523,MIF,1.7657807,1.1567951710005024e-17,9.003621,MAGED1,3.9698114,0.0,108.955666,PITHD1,3.2937815,6.91958511603936e-42,13.765708,RIPOR2,5.710066,1.4644530723954137e-50,15.144317,PIM2,3.2189894,3.782750677172989e-05,4.4632382,UCP2,2.8616302,2.8940306496929435e-16,8.602109,SEPTIN5,4.2087355,0.00048248066663255285,4.3833675
FBP1,3.1380477,0.0,49.69773,CREM,3.8049622,0.0,56.899563,RASSF5,2.7766695,1.3657748410525697e-29,11.715231,CSTB,3.2329962,0.0,72.576324,GMNN,3.3141506,0.0,39.240723,JUN,2.5850708,2.1842061563407966e-06,5.6147075,LUC7L2,2.0101979,3.6103131311880684e-31,11.864817,EPAS1,0.95762163,1.190477345154472e-17,8.9999485,FKBP10,4.2306514,0.0,108.9522,BSG,1.8415837,2.602708611370013e-38,13.14317,ITGAL,3.2619917,3.75927346008928e-50,15.08118,FBXW7,2.2829587,4.435241599581757e-05,4.426092,IKZF3,5.2649097,3.012467136349499e-16,8.597271,H3F3A,1.7850573,0.0005630112517863955,4.3378997
TFRC,2.8849525,0.0,49.621456,STK17B,3.1325028,0.0,56.87601,TMEM154,4.1804037,2.346213275227375e-29,11.665739,PHACTR1,3.275909,0.0,72.43869,CENPH,3.1346316,0.0,39.2155,OGT,3.9682562,2.208550245069295e-06,5.6117325,MICAL1,2.067536,5.324751320008561e-31,11.831143,NIBAN2,1.871451,7.84900398336859e-17,8.777519,CDH2,4.4214516,0.0,108.85694,RIOK3,2.6928456,1.1702354904943962e-37,13.026176,SPOCK2,9.048831,1.7868432930887248e-49,14.975894,ZBP1,5.115832,5.3964777217069526e-05,4.3804164,CXCR5,6.655351,5.464219617430355e-16,8.521766,HIPK2,1.8944647,0.0006362182786851146,4.3029523
