C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score,C16_names,C16_logfold,C16_pvals_adj,C16_z_score,C17_names,C17_logfold,C17_pvals_adj,C17_z_score
EPHB4,-4.8933067,1.8580510124612505e-12,-7.2611194,SLC39A10,-1.3913382,9.473679711958274e-24,-10.252944,VPS54,-0.4660622,2.8608393115823673e-21,-9.68487,FAM172A,-0.9875187,2.441976463867514e-37,-12.929122,ZDHHC5,-0.5685562,5.65597192002619e-61,-16.598118,SPRY2,-1.672399,4.539052718090127e-26,-10.69926,CGGBP1,-0.8819919,8.13125723320779e-26,-10.711269,SEC24A,-0.68370444,4.489942182873322e-19,-9.166216,POLK,-2.3983634,1.3037168560505926e-07,-5.6699605,RASGRF1,-22.418585,0.5338416248832136,-0.9406776,NTRK1,-10.5085125,0.04885945376107248,-2.2660854,NAV2,-1.40477,0.4165225006189067,-1.1372967,SLC45A3,-3.4199202,0.02181962763647993,-2.6745584,PSMD10,-6.902828,2.971444558499666e-30,-11.621899,LIMK1,-1.3625573,9.48744029947831e-34,-12.289491,LPCAT3,-27.771242,2.4861965902412967e-09,-6.318652,TCN2,-29.197104,5.854458143714095e-08,-5.8051686,RUSC2,-1.8900827,0.05344816627917749,-2.753079
LMNB1,-2.8076844,1.8426523531325113e-12,-7.262281,CPSF6,-0.77136356,8.826508801991798e-24,-10.259823,CD82,-0.57254916,2.777089417948443e-21,-9.687951,ITSN1,-3.3979862,2.3603624204585436e-37,-12.931803,FAM32A,-0.63623625,5.363219438677575e-61,-16.601334,PMS1,-1.6873828,4.295882008783383e-26,-10.704452,SEC62,-0.78955406,7.933022181851664e-26,-10.7136,ABCD3,-1.5538968,4.422840096238812e-19,-9.167894,STARD3,-0.99808943,1.3033527784200534e-07,-5.6700945,LPAR2,-2.3563883,0.5336564611690809,-0.9409699,EXO1,-1.9300706,0.04774081301385854,-2.2753832,CTSL,-0.55947745,0.4156758450392412,-1.1386501,TMEM134,-0.26302463,0.02181710127869454,-2.6746514,HAT1,-3.978096,2.773484002443499e-30,-11.6278305,SNX13,-0.7339488,9.363089470656574e-34,-12.29064,TRIM44,-1.4878381,2.445859524959557e-09,-6.3212605,ATP5F1A,-1.7495843,5.7580968672482844e-08,-5.808033,SELENON,-0.6281333,0.0532781362063552,-2.7544985
ANKRD40,-0.6479346,1.835941084858626e-12,-7.2628107,SMAD9,-26.31082,8.662736235394778e-24,-10.261676,MYO5A,-0.8584437,2.7180444641093244e-21,-9.690193,PPP3R1,-0.7063883,2.0895222578997333e-37,-12.941202,IQCE,-1.0865567,5.298685659443143e-61,-16.602085,ARHGAP11A,-3.3018928,4.2019953139387224e-26,-10.706544,GPAT4,-0.79149246,7.545006799220394e-26,-10.7182865,COA4,-1.1109692,4.229907174059881e-19,-9.172756,NDUFS2,-0.6693726,1.2990776628053914e-07,-5.670744,BEAN1,-3.8613224,0.5333247434728219,-0.9414481,VSIR,-1.5341443,0.04705242680623969,-2.2811868,MVK,-1.1131922,0.41559494688879123,-1.1388791,PDE6B,-3.25828,0.021753646039666685,-2.6756818,UQCRH,-4.732635,2.7150655124809816e-30,-11.629692,PELO,-2.6080143,9.346565470394047e-34,-12.290823,FHL1,-3.5306714,2.415851354691342e-09,-6.3232484,ADAMTS2,-28.092598,5.7480945325909475e-08,-5.8084087,RAB32,-0.4732362,0.0532781362063552,-2.7546506
UBE2V2,-1.1070653,1.7955132895664094e-12,-7.265929,CHSY3,-26.16189,8.423068575682396e-24,-10.264428,PAG1,-1.5580091,2.696257853324382e-21,-9.691061,MYCBP,-1.7923074,2.023612389811328e-37,-12.943698,PITHD1,-0.73981935,5.0790035310543604e-61,-16.604652,FAM192A,-0.84007865,4.1257532774376147e-26,-10.708284,TTLL5,-1.3075751,7.299280544210429e-26,-10.7213955,ADGRA2,-2.0545049,4.1659381670968385e-19,-9.174454,HCK,-4.707379,1.2912663074396828e-07,-5.6718636,GBP4,-2.1445334,0.5323368548700359,-0.9427593,PAPLN,-3.7598057,0.04681892422834967,-2.2831259,LILRA6,-22.69589,0.41193136250587464,-1.1444991,PLEKHF1,-1.089655,0.02170980576714134,-2.6764662,SPOCD1,-28.759735,2.6915838676348557e-30,-11.630477,ALDH18A1,-1.9396716,7.87349395742191e-34,-12.30472,ARSJ,-4.054995,2.415837002929819e-09,-6.32333,DPY30,-1.5633627,5.722989734950798e-08,-5.809226,APOE,-4.243306,0.05317892584527256,-2.7554367
LRRN1,-25.590982,1.775691189588508e-12,-7.2674656,SOCS4,-0.516486,8.225244038654539e-24,-10.266767,LIF,-2.9358885,2.5307019976611513e-21,-9.697669,NDUFA8,-0.8856718,1.9296269034312753e-37,-12.947384,NRBP2,-2.5002599,4.888983437144777e-61,-16.606968,DKC1,-0.74686664,3.8623098331142816e-26,-10.714416,NPLOC4,-0.84695727,7.270308852419971e-26,-10.721809,ZFHX3,-1.0081735,3.934531265361828e-19,-9.180664,TPRKB,-1.1646003,1.290315768726436e-07,-5.672076,SHOC1,-7.874882,0.5317286768032535,-0.94370437,ANKHD1,-0.5201403,0.046265986761748326,-2.287734,XKR3,-23.153627,0.41193136250587464,-1.1444991,NDUFB1,-0.19234417,0.021584311342316632,-2.6785705,TCP1,-4.54248,2.669495266234754e-30,-11.631225,HNRNPUL2,-0.59906447,7.688150341498805e-34,-12.3066845,CHST11,-2.697771,2.374396215310089e-09,-6.326082,DHX29,-2.089021,5.690728869002018e-08,-5.810257,ALDH9A1,-2.14281,0.05316440541678626,-2.75569
KIF1BP,-0.9200918,1.7236135189781148e-12,-7.271596,EXOC7,-0.60138124,7.87535122281881e-24,-10.271005,NCOR2,-0.36172888,2.3885469361280926e-21,-9.703613,POMP,-0.99513274,1.7845283992241258e-37,-12.953419,ETV5,-1.3341143,4.8031302891894906e-61,-16.608057,C6orf132,-7.267407,3.785300168430422e-26,-10.716302,CMC4,-1.3904487,7.182717462818143e-26,-10.722976,MAGT1,-0.7748781,3.7986648758726136e-19,-9.184502,ABCD3,-2.2788181,1.290315768726436e-07,-5.672082,FZD5,-2.010234,0.53119445164607,-0.94444084,CLEC1A,-23.97889,0.04605716731265935,-2.2896287,LAMTOR5,-1.2427427,0.41189690832318904,-1.1447002,UQCR11,-0.23201486,0.021433843321626365,-2.6810203,COL5A2,-29.430569,2.6158781439202194e-30,-11.633,NUCKS1,-0.836745,7.567422393344407e-34,-12.308003,CANX,-0.79823,2.3595781982741498e-09,-6.3271294,GALNT5,-28.135092,5.673850565797201e-08,-5.8108387,EIF4E,-3.4297364,0.05316440541678626,-2.7557535
ABRAXAS1,-1.4893546,1.7085373938364105e-12,-7.2728186,ITPRIP,-1.1646783,7.385075586933258e-24,-10.277291,ZBTB20,-0.53105664,2.3653972504674495e-21,-9.704653,ROCK2,-1.4079813,1.6308641884331053e-37,-12.9603615,EMP3,-0.65314627,4.058602487984452e-61,-16.618185,ZDHHC7,-0.6998851,3.4888252504206315e-26,-10.723913,NPEPL1,-1.5449371,7.095351797971117e-26,-10.7241535,IGBP1,-0.8475645,3.7201383712970663e-19,-9.186805,POLR3C,-1.4668704,1.286818102689102e-07,-5.6727147,TNFSF8,-22.748089,0.5266040085579919,-0.95057946,GALNT6,-1.0273334,0.04584683672786904,-2.291455,PROK2,-23.9298,0.4097314246892409,-1.1482515,RAP1A,-0.24054284,0.021415171239049322,-2.681366,RTCB,-4.42092,2.5489264010281852e-30,-11.635257,ZMYM4,-0.9532947,7.508068946598477e-34,-12.308681,TUFM,-1.0878208,2.3422802005468826e-09,-6.328346,RARA,-1.0753602,5.669977711345484e-08,-5.8110375,PLSCR3,-27.242374,0.05316440541678626,-2.7558548
LAPTM4A,-0.53900594,1.6245857749181665e-12,-7.2796555,FBLN1,-6.9565487,7.318066510606362e-24,-10.278214,SUCNR1,-1.4712176,2.2145019847943206e-21,-9.711419,XPO5,-1.293252,1.4984166851357036e-37,-12.96689,ABCB6,-2.564232,3.8764193654758106e-61,-16.620964,VPS26B,-0.7697132,3.2828200002824203e-26,-10.729655,MED15,-0.90896153,6.905357794468243e-26,-10.726709,COPS9,-2.8209133,3.7201383712970663e-19,-9.186827,LONP1,-0.80496716,1.2813812293380207e-07,-5.6735263,GYPA,-24.330786,0.5266040085579919,-0.95057946,ADAP1,-4.2357616,0.0458416823916958,-2.2915416,OVCH1,-23.270142,0.4097314246892409,-1.1482515,CERS2,-0.22343582,0.021370828092067123,-2.6821136,RUVBL1,-4.402491,2.533084755824354e-30,-11.635833,PAF1,-0.8911961,7.190134746688831e-34,-12.312214,CLIP1,-1.0797437,2.341221397969531e-09,-6.328496,MTMR2,-2.8458567,5.662869177937073e-08,-5.8113317,KRTAP1-5,-28.502794,0.05298930698505932,-2.7572618
DEAF1,-1.1729699,1.4660266704050247e-12,-7.293534,RPRD2,-0.9989372,7.053375278809794e-24,-10.281853,DCAF6,-0.30489594,2.1156688012120697e-21,-9.716164,MED15,-0.81869894,1.4858421562834578e-37,-12.96757,ZNF770,-1.8642577,3.471235571567362e-61,-16.627607,GCAT,-3.4187856,3.172400640292112e-26,-10.73286,B4GALT1,-0.9728344,6.905357794468243e-26,-10.726748,NANS,-0.92554224,3.678320510550606e-19,-9.18813,DCAF12,-2.480961,1.2800621032799234e-07,-5.6737895,PIMREG,-2.07901,0.5249932916985711,-0.9527548,CHAF1A,-1.2926954,0.045586836442789956,-2.2937453,ARHGAP19,-1.855209,0.40587931314746495,-1.1541494,MED12,-0.3012352,0.02133070176492662,-2.6828504,SEMA3C,-6.4028625,2.4547749737510585e-30,-11.6385565,CSF2RB,-6.6513486,6.9852337158363286e-34,-12.314588,TPRA1,-1.7473321,2.3094629962948625e-09,-6.3306847,ARSB,-1.0466512,5.6562681967311165e-08,-5.8116117,RDH14,-3.4230478,0.052946121685453124,-2.7576928
SLC30A5,-0.7300117,1.3374448892976695e-12,-7.3059936,LMBRD2,-0.54606044,6.87882319044369e-24,-10.284312,HNMT,-1.544238,1.9997231335356066e-21,-9.72195,POFUT1,-1.3451375,1.4170027739442217e-37,-12.97124,TAF6,-0.9197864,3.275801467247899e-61,-16.631105,FBXO17,-25.320692,3.1036339317213776e-26,-10.734906,ILF2,-1.2631589,6.663284655909742e-26,-10.7301,CMAS,-1.5584997,3.63238910706646e-19,-9.189537,ABL2,-2.3634255,1.2797066111677187e-07,-5.673924,CD5L,-22.694595,0.5229624216754445,-0.9555304,PDCD6IP,-0.13247333,0.04546796837807543,-2.2948232,TFCP2L1,-23.046846,0.40484075687573823,-1.1557564,CLN3,-0.45370367,0.021178380758651503,-2.6853,BCL7C,-5.6575947,2.4291889923151675e-30,-11.639494,APEX1,-0.9116472,6.468205427259679e-34,-12.320831,UQCR11,-1.0447756,2.298402539962572e-09,-6.331506,MAP2K3,-1.1707153,5.5114043778677736e-08,-5.816037,ANKRD17,-1.1041286,0.052843512938662886,-2.7584915
