C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score,C16_names,C16_logfold,C16_pvals_adj,C16_z_score,C17_names,C17_logfold,C17_pvals_adj,C17_z_score,C18_names,C18_logfold,C18_pvals_adj,C18_z_score,C19_names,C19_logfold,C19_pvals_adj,C19_z_score
PCDHB16,-2.36683,0.9710969443562257,-0.5082582,ANKRD28,0.16186605,0.006506931503408475,-2.9912813,ZNF540,-1.3449208,0.8141843112941131,-0.63618827,ST6GALNAC1,-20.02524,1.0,-0.05555431,USF3,0.88585734,0.7241818199893643,-1.0645819,SURF6,-1.3998009,8.656606809135124e-08,-5.5045485,ZNF75D,-0.7456575,0.0003516637447004603,-3.7909653,EHD3,-4.1386847,0.0001936742926712199,-3.9554856,PRKAB2,0.5119182,0.018431503043550335,-2.6820734,VPS33A,-2.9343102,0.07257327302604634,-2.1962945,C12orf73,-0.0336577,1.0,-0.40829375,FBXO39,-1.7837492,1.0,0.02577796,ASPDH,-15.1068,1.0,-0.0040582307,TSSK2,-3.357188,1.0,0.013151783,HS6ST2,2.905723,1.0,0.028937861,SUPT3H,0.16167653,0.001911346107648666,-3.3707438,TANGO6,-3.520242,3.0659613994890005e-05,-4.383018,ADNP2,0.33525985,5.257181195430025e-05,-4.258771,HIP1,-1.8544705,0.045576222850364764,-2.379445,ADAP2,-1.9699572,0.9361772631145662,-0.8912683
SNRPG,-0.14506249,0.9709245530940085,-0.5085179,C11orf80,-1.919716,0.00649006869691844,-2.992113,LAMC2,-20.792736,0.810288461563361,-0.64038247,SUN3,-17.814241,1.0,-0.05555431,ENSA,0.81004375,0.7236778059171752,-1.065173,SLC30A1,0.18074791,8.634537147126723e-08,-5.505021,ZNF557,0.06818517,0.00035079216373142154,-3.7916138,PRR11,-1.4247375,0.00019172542420305968,-3.957936,RAPGEF6,0.2543138,0.01841970731922148,-2.6823342,SENP7,-2.4634478,0.07255945980220936,-2.1964254,MSX1,-0.10462612,1.0,-0.4083494,RNF43,-1.9797863,1.0,0.025748892,C1QL3,-15.047752,1.0,-0.0040582307,CCDC38,-2.408691,1.0,0.013151783,MYF6,3.204139,1.0,0.028937861,CHML,0.5823407,0.0019023814491206823,-3.3721166,CABIN1,-3.5150273,3.061917454368606e-05,-4.383337,EHMT2,0.46775007,5.256700646254861e-05,-4.258823,COA5,-0.39670998,0.04557121871063291,-2.3795393,VPS9D1,0.19669397,0.9358646837190558,-0.89181334
PLCD4,-21.170002,0.9709245530940085,-0.50857246,SURF6,-0.5021734,0.006476975740008709,-2.992769,TTPA,-20.84335,0.810288461563361,-0.64038247,CMTM5,-19.261982,1.0,-0.05555431,SACS,0.6195483,0.7236778059171752,-1.0652244,PANX1,0.024609353,8.624496702712411e-08,-5.505249,TMEM254,-0.38165152,0.0003500412753799001,-3.792178,DOK5,-25.153454,0.00019138103544727312,-3.958399,MICU3,0.47330517,0.018335219597154253,-2.6839647,AKAP7,-1.9856049,0.07248678678860004,-2.1968746,SETD4,0.37755135,1.0,-0.4088791,SLC44A5,-3.9543555,1.0,0.025727091,IQCF2,-16.34761,1.0,-0.0040582307,GLTPD2,-3.6564937,1.0,0.013151783,MYL10,3.285453,1.0,0.028937861,SQLE,-2.3010705,0.001893801280710183,-3.3734002,PLEKHG2,-25.955404,3.053335571986884e-05,-4.38398,TRIM16,-1.8502381,5.249370028014893e-05,-4.2591667,SLC25A12,-0.43974453,0.045470951076867445,-2.3804045,ADAL,-24.843365,0.9356874159385209,-0.8920415
EDF1,-0.12601246,0.9709245530940085,-0.50870776,RBCK1,-0.18510598,0.006468539797519916,-2.9932063,PDGFD,-3.9336762,0.810288461563361,-0.6405264,THEGL,-18.14861,1.0,-0.05555431,SDE2,0.4038264,0.722735820415939,-1.0661753,CRISPLD2,-5.0462365,8.621618840189488e-08,-5.5053306,C17orf75,-0.02417697,0.00034928869339091224,-3.7927444,MARF1,-0.7978361,0.00019130802617413478,-3.9585238,SASH3,-0.28689727,0.01833394841279613,-2.6840346,ACSS1,-26.149414,0.07247719057154292,-2.1969826,IGDCC4,-1.2650049,1.0,-0.40889245,TRHDE,-0.7051166,1.0,0.025073059,OR2V2,-13.716264,1.0,-0.0040582307,PCDHA11,-3.001377,1.0,0.013151783,RPTN,2.3279734,1.0,0.028937861,NDUFAF6,0.49174798,0.0018873774779700106,-3.3744133,SUDS3,-0.7015038,3.050974904085946e-05,-4.3841796,ADAP2,-3.9342854,5.234647474665549e-05,-4.259826,RAB33B,-0.21148103,0.04542728423831972,-2.380812,RBP4,-25.969267,0.9356874159385209,-0.8920415
GUCY1B1,-1.1178126,0.9694695650060297,-0.510253,MTPAP,0.37154898,0.006448383686822489,-2.994198,IGHA1,-4.646309,0.810288461563361,-0.64058524,CCDC175,-20.419804,1.0,-0.05555431,ABCG1,-26.313766,0.7226754589322067,-1.0663167,ZNF337,-0.032797962,8.618492549046746e-08,-5.5054173,BTG3,-0.020728717,0.0003477429826838904,-3.7938774,DDIT4,0.048863642,0.00019062576842212474,-3.9594107,TRPC4,-0.44557464,0.018275763353490435,-2.6851437,FKBP11,-0.024258163,0.07245499063093096,-2.197159,NRCAM,-2.3187354,1.0,-0.40937316,FER1L5,-0.37340277,1.0,0.024395408,BPIFB1,-12.6881,1.0,-0.0040582307,PPP1R1A,-2.515339,1.0,0.013151783,ENTPD2,0.88332856,1.0,0.028934075,SCRN2,0.61748034,0.0018873774779700106,-3.3744361,REXO4,-25.978006,3.0365725277175362e-05,-4.3852415,MGMT,0.28921318,5.232137504512958e-05,-4.259965,DCP1B,-0.6604495,0.045311087227964876,-2.381809,KLHL42,0.7436214,0.9356874159385209,-0.8921429
RIMS3,-1.4139508,0.968818662396213,-0.5109165,CXorf56,0.33185068,0.006448383686822489,-2.9942229,CCDC150,-5.1015463,0.810288461563361,-0.640641,NLRP6,-20.149752,1.0,-0.05555431,PCSK6,-26.27414,0.7226754589322067,-1.0663167,ZNF511,0.13016906,8.574396491529117e-08,-5.5063434,AMPH,-24.39014,0.00034734516667627455,-3.7941937,OSBPL1A,-0.735866,0.00018999114196524078,-3.9602406,PEX1,-0.3551539,0.018095154538615797,-2.6885078,TAZ,-3.0894225,0.07243279695359826,-2.1973352,PPP1R36,-0.91062,1.0,-0.40978044,NANOGP8,-0.52528346,1.0,0.024373608,BPIFA1,-15.74017,1.0,-0.0040582307,FAM71D,-3.2811077,1.0,0.013151783,APOA2,2.0862284,1.0,0.028934075,MILR1,-0.98375785,0.0018749603681401273,-3.3763072,DUSP11,-2.8518596,3.0098957211530893e-05,-4.387193,PPM1M,0.29926756,5.201682906769894e-05,-4.2613325,ULK4,-0.62962765,0.045217474466674505,-2.382624,C19orf38,-0.6484607,0.934899688680065,-0.89291614
FAM78B,-2.0396836,0.9686341509353296,-0.5111587,SLC39A7,0.078669466,0.006410753703588175,-2.9960623,ZNF213,0.14042588,0.8099919259459416,-0.64109,GRM1,-19.070354,1.0,-0.05555431,KATNBL1,0.93392634,0.7217927845156639,-1.0672675,CCDC137,-1.1868738,8.571865916067454e-08,-5.506418,RPIA,-0.17561668,0.0003462612998099182,-3.7950013,UTP15,-1.5890602,0.00018823846199905942,-3.9625201,ZNF573,-0.34449697,0.01808056444708668,-2.6888235,GLT8D2,-0.5093965,0.07241795905170113,-2.1974719,LRRC69,-0.03214099,1.0,-0.41013208,CNGA4,-0.5816781,1.0,0.024373608,SNTG1,-15.0261135,1.0,-0.0040582307,AMBP,-0.8600147,1.0,0.013151783,NLRP2B,2.1467779,1.0,0.028934075,C17orf58,-0.665564,0.0018737186475681956,-3.3765283,STX17,-1.7659043,3.002503820961352e-05,-4.3877597,SOX13,-2.4315333,5.1872577054389516e-05,-4.261985,ALKBH6,-2.922705,0.045217474466674505,-2.3826365,IQCK,-25.126171,0.934899688680065,-0.8929795
C16orf74,-2.7177112,0.9686341509353296,-0.5112438,OPCML,-3.0829127,0.006378321684099646,-2.9976876,DACT3,-2.1914139,0.8099919259459416,-0.6411132,PPP1R42,-17.804161,1.0,-0.05555431,TRMO,0.4327939,0.7216738636944128,-1.0674603,RBMXL1,-0.16410176,8.571865916067454e-08,-5.5064216,STK35,0.15259902,0.00034337463456278797,-3.7971423,DIPK1A,-25.104588,0.00018748815605520934,-3.9635067,GCDH,0.4345615,0.01805048686406207,-2.689426,ADORA2B,-7.9793515,0.07228877290481751,-2.1982284,CCDC191,-0.23547311,1.0,-0.41073743,NPY2R,-1.0948545,1.0,0.024369974,MALRD1,-15.478747,1.0,-0.0040582307,AICDA,-0.5179138,1.0,0.012903358,TRIL,2.767543,1.0,0.028934075,NUBPL,-1.0313776,0.00185458834756487,-3.379389,NME3,-26.045406,3.002503820961352e-05,-4.3877645,PROCR,-4.457383,5.1652314986833816e-05,-4.262967,INPP5E,-0.79723454,0.0451821296228468,-2.383019,ZFC3H1,0.6742607,0.9341529022573428,-0.893664
FBXO43,-3.8418787,0.968578684336419,-0.5114381,PTPRQ,-6.579222,0.006378063825149142,-2.9977396,HOOK1,-4.103242,0.8088245043158427,-0.64245397,PLA2G2C,-19.268583,1.0,-0.05555431,HSPB2,-25.17388,0.7214963717390912,-1.0677046,PPA1,-0.23215401,8.565897911919681e-08,-5.5065866,CCDC126,-0.046226773,0.0003433561794782021,-3.7971878,NPAS2,-5.7987943,0.0001860754437682901,-3.9653447,ZNF69,-0.12670678,0.017892352052728436,-2.692408,YPEL2,-1.7616912,0.07228877290481751,-2.1982794,NXF1,0.2376088,1.0,-0.4107864,TH,-0.7066584,1.0,0.024366342,SLC52A1,-16.402555,1.0,-0.0040582307,PARD6B,-2.5004003,1.0,0.012697257,ANO2,1.3468294,1.0,0.028934075,C17orf49,0.36762142,0.0018543159261999469,-3.3794682,RNFT1,-26.309172,2.968669532857532e-05,-4.3902874,SHCBP1,-3.6507359,5.148812455189887e-05,-4.26371,FASTKD1,-1.1789373,0.0451821296228468,-2.3830504,FXN,0.18413068,0.9333106530264509,-0.89438653
DKK2,-21.183119,0.968578684336419,-0.5114621,IMMP1L,-0.6109762,0.006373420601727176,-2.9980009,GGT5,-1.2016499,0.8078122211372645,-0.6435269,UPK3A,-20.240856,1.0,-0.05555431,STX16,0.5285781,0.721333546447626,-1.0679358,TBX3,-24.28421,8.300587279032031e-08,-5.5121484,RGS1,-1.5308739,0.0003426615543079324,-3.7977543,RNF38,0.44868618,0.00018503177079841305,-3.9667194,ARHGEF11,0.6264242,0.017879284743876494,-2.6926982,P2RX7,-5.0314727,0.07225914953853432,-2.1985013,B3GNTL1,0.1261091,1.0,-0.41110465,ASB9,-1.5871724,1.0,0.02436089,C1orf232,-11.909931,1.0,-0.0040582307,PCLO,-1.4833668,1.0,0.012193047,RIPPLY2,2.5917847,1.0,0.028934075,ZC3H4,0.65887874,0.001851974789871624,-3.3798544,ZNF581,-3.8456676,2.9523091659387517e-05,-4.3915205,BRF1,0.5941381,5.1432232855621766e-05,-4.263984,RNF220,-0.2910966,0.04516450113788621,-2.3832698,RNF166,-2.0706525,0.9330994658725852,-0.89464
