C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score
TYMS,4.183217,2.39463364124012e-69,18.148302,SRGN,1.9490874,5.294692547882229e-45,14.753338,LAPTM5,1.726445,1.7101642024009488e-39,13.871277,GPNMB,5.177659,1.3478586734314176e-44,14.690157,SCD,5.243632,8.195873009964039e-48,15.183729,SERPINE1,8.761514,2.0208823083258787e-34,13.006916,NR4A2,2.295179,2.4303993163322717e-40,14.010524,S100A9,4.520096,2.3278997683788533e-61,17.108282,CD24,8.680405,7.800624454170672e-11,7.8454504
MKI67,4.0246496,6.95273308574624e-67,17.795265,CSF2RB,2.6748505,3.076630320065999e-44,14.586904,NSMCE1,2.3929026,1.6273435318085756e-35,13.145757,CTSZ,4.626393,6.25206387696724e-43,14.379942,FABP3,5.4773407,8.648735613382125e-42,14.196969,MMP1,8.090617,7.941540296051515e-33,12.668989,NCOA4,1.8383677,2.577520881923527e-40,13.957024,CD68,2.8874152,6.034198445247828e-56,16.32389,TMSB4X,1.7948819,1.1222096892531635e-08,7.1007023
TUBB,3.17832,3.170099870651966e-61,17.0261,FCER1A,2.6627448,8.99757241649059e-33,12.627318,HPGDS,2.3186016,4.1291517345492584e-31,12.322535,HS3ST2,5.1194634,6.253644514569253e-40,13.864634,MARCO,4.8295393,4.940685319377863e-41,14.0456,PXDN,9.914918,2.411524171011237e-31,12.358958,CMIP,1.7890261,5.8471952692969885e-40,13.869454,SERPINA1,4.271087,5.04264073509594e-55,16.168837,CORO1A,4.078528,9.771637951335992e-08,6.6946673
HIST1H1B,3.2267265,5.714037374989407e-57,16.41431,HDC,2.2979982,1.1546768411657561e-30,12.215972,DUSP4,2.4050102,2.297634969322347e-30,12.15989,LYZ,5.0916405,1.0250489513813371e-38,13.641529,BHLHE41,4.1033683,1.1114002654147492e-40,13.967574,PRSS23,8.618039,2.411524171011237e-31,12.342686,RGS2,2.6805124,9.658127847077697e-39,13.645869,LYZ,4.426371,2.2543330835041395e-53,15.914997,CLC,6.150907,1.5297441136283634e-07,6.5957885
RRM2,4.4648585,5.714037374989407e-57,16.411594,CLU,2.3757532,3.8874601047747094e-30,12.098548,AHR,1.9766184,5.373930156246145e-29,11.880989,IFI30,4.061158,2.940585116456628e-37,13.377994,CCL18,5.050896,4.92157089538257e-39,13.678707,HHIP,11.39276,1.876789618727139e-30,12.158189,JUNB,1.6653595,5.877656720205932e-38,13.497157,CD74,3.7070506,2.921271756475963e-52,15.7397375,ALAS1,4.1432257,2.2686799691531927e-05,5.7100854
TUBA1B,2.1482456,2.4657497237445906e-55,16.17021,PLPP1,2.9779727,3.959289932216127e-30,12.082066,ITM2C,3.5014057,1.3836089465405626e-28,11.78633,CTSB,3.348392,4.015028103044197e-37,13.341239,CD163,4.234298,5.046153330498873e-39,13.663623,TPM1,3.945585,2.1953163967438055e-30,12.117824,SIGLEC6,2.0702405,5.276785994278267e-37,13.320853,CTSH,3.968634,8.629679153879572e-49,15.213817,FOS,3.5434582,4.208408383380845e-05,5.56913
LMNB1,2.925583,5.964006379316853e-55,16.106173,PRG2,3.2971153,4.044107941240706e-28,11.682534,CTSG,3.481992,3.409373665221643e-25,11.095456,LGMN,5.56538,5.704455453696634e-35,12.954757,NUPR1,4.5574336,5.324909143486086e-38,13.469773,EFEMP1,10.547463,1.6225812754707512e-29,11.931848,DDIT4,2.324153,7.159275023125147e-37,13.286525,IFI30,3.4650674,1.2349785939664209e-45,14.711189,SYNE1,6.687049,4.684358480041071e-05,5.5081196
CRIP1,2.0872076,1.338556327806245e-54,16.047806,ITGA2B,2.3290641,1.2787880602419263e-27,11.572842,DCBLD2,2.0258348,2.2539441750159537e-23,10.701892,PLA2G7,4.300286,6.830878180301428e-34,12.752419,APOE,4.0212975,1.5399489196307955e-37,13.382384,CDH5,9.383984,1.7265792516837434e-29,11.917899,VEGFA,2.3060997,8.344691650653105e-36,13.091309,CXCL8,3.9762878,1.3450110011886981e-45,14.697437,KLF10,3.0512955,4.885770875172987e-05,5.4649916
CDK1,3.9575157,2.4775667479403052e-48,15.117953,RFLNB,2.4430406,1.8700674890358186e-26,11.330118,FOXF1,3.1249661,2.1554035430569142e-22,10.479525,CCL18,4.8663683,4.335903431595982e-33,12.59768,CES1,4.4056673,1.0750285508640563e-36,13.229281,ENG,4.2347913,2.5074488600401193e-29,11.878802,ZNF331,2.1406097,1.9524014102114268e-35,13.0176,CYBB,3.6809173,2.0989766744848963e-45,14.660112,ADGRG3,5.9662867,4.885770875172987e-05,5.456226
TPX2,3.3926857,1.2030406870851084e-47,15.0065365,SEMA7A,2.0555413,2.1861917557469998e-25,11.103293,MLC1,3.38617,9.26004276112575e-22,10.330652,EPHX1,3.721426,4.335903431595982e-33,12.589961,FABP4,4.792171,8.076047696582265e-36,13.06959,ECE1,5.1916127,2.8997952869214486e-29,11.859359,NR4A1,1.9213147,6.285348293453712e-28,11.6145525,OLR1,3.2802296,2.4178947126518657e-44,14.486676,CD63,1.832307,5.5692339220484264e-05,5.423266
CKS1B,3.101695,2.9618797757696816e-46,14.786066,CPA3,2.5688088,5.0428300597101345e-23,10.59728,ADAM12,1.9291154,7.434982894197635e-21,10.119592,NUPR1,4.8381715,9.487042059094722e-32,12.3363495,CXCL5,5.032593,1.3839873139303373e-35,13.021908,ITGA5,4.6620874,8.558073797395667e-29,11.755382,TIPARP,1.5462314,1.1338075753061173e-27,11.5490055,GLIPR2,2.849002,3.9155069726957066e-44,14.447527,EPX,10.746914,0.00015602473603916632,5.2090282
ZWINT,3.4762664,1.2607841224153491e-43,14.366746,EGR3,2.3124096,4.826793901586301e-22,10.375561,FOXP1,1.7513714,3.735132914936084e-20,9.936363,LAMP1,2.119638,1.8727416097635032e-31,12.274417,COLEC12,3.794549,8.57439108259896e-35,12.87574,PODXL,9.679669,1.574942744162423e-28,11.697898,CREM,1.6404705,1.1338075753061173e-27,11.548358,GRINA,2.1310778,1.173778786379518e-42,14.205755,CCL23,3.2686934,0.0004929931407263181,4.9123917
HIST1H2BH,3.5936856,1.3568131981139693e-43,14.3561125,PLAUR,1.2785816,2.4250682929182645e-21,10.212481,KIT,1.9231035,1.6173116919908436e-19,9.782271,CD68,2.7839909,9.92087304214263e-31,12.126477,CPE,4.2060847,4.9610447316595936e-33,12.552715,TXNDC5,4.523937,2.5634869938449684e-28,11.650981,TDRD3,1.8284444,1.8121147567875445e-27,11.501076,PPARG,3.5747912,1.3970444610844944e-42,14.188355,RNASE2,8.487148,0.0008235717565861291,4.787916
TK1,3.6842628,4.98779867060834e-43,14.260409,CLC,4.3560424,3.993322261267139e-21,10.156759,VWA5A,1.7174621,2.783870066974572e-18,9.482496,C1QB,4.712367,9.92087304214263e-31,12.12611,CTSL,2.991004,1.275136399442516e-32,12.472262,RCN1,5.1728196,7.014884752158703e-28,11.559684,GATA2,2.1717837,6.83757211485683e-27,11.379437,MCEMP1,4.0347586,6.276460384135525e-42,14.073152,RAB11FIP1,2.783154,0.0008246135326825382,4.782306
TACC3,3.3650496,7.517972589830138e-41,13.901111,SOCS2,2.0882533,2.8154570755449266e-19,9.719448,RGS10,1.7051715,5.186466339288567e-18,9.405813,CTSD,2.612374,3.0264117107030678e-30,12.028708,FBP1,3.7670639,1.8462840818438281e-32,12.437585,APP,4.1068444,8.225773169498953e-28,11.541086,RGS1,2.214347,1.7300804384715554e-26,11.292128,CSTB,2.4737694,8.176969880116574e-41,13.882035,ADGRE5,1.9133418,0.0008392619903462269,4.77354
HMGB2,2.4415963,2.7882946349084166e-40,13.802337,RASSF2,1.7703967,8.302504416304555e-19,9.602463,FBLN2,2.068111,5.685924528499736e-18,9.390448,BCL2A1,3.028271,3.094463566462909e-30,12.021542,SPARC,3.4981337,1.019771764759297e-31,12.295405,DKK3,9.795021,1.4844503339249948e-26,11.280297,KIT,1.9208126,1.8341308170331062e-23,10.651034,THBD,3.9161756,9.990362427326603e-41,13.863794,PIM1,2.7047265,0.0011855338546430344,4.6529217
NUSAP1,4.138069,3.689410962166796e-40,13.7777605,TMEM154,1.746307,8.893322572777657e-19,9.58948,SERPINB1,1.4063095,7.120115292836278e-18,9.361311,TFRC,3.6337237,3.3598212156914106e-30,12.006472,MME,4.539297,1.3484361718476938e-31,12.268183,COL5A1,8.665781,1.8408899164710412e-26,11.25705,HEXIM1,1.8218548,8.003024323318058e-23,10.507634,VASP,1.7120731,1.0547513629320194e-40,13.856216,IKZF2,3.8217642,0.0015161609903957623,4.590509
CKAP2L,3.8644829,6.811420711792313e-39,13.561425,LGALS8,1.534196,7.549499282931728e-17,9.114098,RAB27B,1.7002981,2.5850962479648784e-17,9.213887,CTSS,3.0763855,3.3598212156914106e-30,12.005001,LPL,5.066532,1.708806771554897e-31,12.244602,ACTN1,3.158757,7.795279150277931e-26,11.124965,FXYD5,1.173953,3.59391834071408e-22,10.359829,HCK,3.360398,1.714749402203188e-40,13.817769,STXBP5,2.9697053,0.0015834846114734962,4.5726266
IDH2,1.655588,7.740598996932089e-39,13.548075,CST7,1.6765401,2.749570866882691e-16,8.967209,RGS2,1.9156048,5.280286526945262e-17,9.132131,CTSC,2.6230524,3.843998185054859e-30,11.98938,CTSH,3.887833,3.3234160048492294e-31,12.182355,MCAM,9.823369,1.518369562795508e-25,11.0575485,CLU,1.8996845,1.5577334212131067e-21,10.206713,MRC1,3.5568228,3.1723707405203e-40,13.766832,NCF2,3.0138292,0.0025655502073156024,4.4393854
CKS2,2.2830923,4.920780828089089e-37,13.235918,GLUL,1.0929269,4.290170011308451e-16,8.912655,SAMSN1,1.6422638,8.666551888036399e-17,9.073712,CD74,3.6547954,5.114307517653479e-30,11.961447,GPNMB,3.2826316,4.6395144110258265e-31,12.151319,CCN2,9.177439,2.085629455846075e-25,11.021832,FOSL2,1.4609412,1.5577334212131067e-21,10.204381,IL1A,3.512229,1.0553767332765868e-39,13.676606,CD96,6.257753,0.00292364321962104,4.393452
SMC4,2.5795724,1.0613792507912696e-36,13.174361,IL1RL1,1.5524441,1.2716690051468125e-15,8.786187,RAC2,1.2645286,1.5584177073053128e-16,9.000797,TCN2,4.298204,9.829740873066811e-30,11.903006,MSR1,5.5544453,7.582278077169103e-31,12.1074505,FSTL1,8.451649,2.1297853302174913e-25,11.016549,ID2,1.6036764,5.191535618038463e-21,10.082483,SAMHD1,3.124418,1.389871048405397e-39,13.653594,S100P,3.3362772,0.0035046475345934477,4.3355975
HIST1H1C,1.8657738,2.072974774211323e-35,12.944557,MS4A3,2.625255,2.6810437312495572e-15,8.696917,CELF2,1.2668332,1.6179568399702422e-16,8.992535,PSAP,2.4831126,1.590413290273846e-29,11.858899,CTSB,2.5491729,8.436103739078281e-31,12.0918455,CALD1,8.025273,2.98804381341305e-25,10.982735,LMNA,1.0213459,6.006683764360339e-21,10.063959,MARCO,3.8259494,4.7532497286931445e-39,13.5608425,CYBB,2.809696,0.003689698358525148,4.3166633
FOXM1,3.298028,4.213248592889251e-35,12.886544,CYTIP,1.6805519,3.367949053050295e-15,8.666139,ARHGAP18,1.4591854,2.185522570513085e-16,8.955425,RASSF4,4.796814,2.2918483698188744e-29,11.824533,CSTB,2.5625029,8.436103739078281e-31,12.0918455,FN1,7.4619083,4.387458245690568e-25,10.944272,NDEL1,1.3766156,9.878319385070321e-21,10.010848,IL1RN,3.8671293,1.3383048482408826e-37,13.308266,ADGRE1,5.884808,0.003689698358525148,4.3156114
CENPH,2.9948056,5.964275878353544e-35,12.856416,SFXN1,1.8833493,4.4786928529489574e-15,8.6289425,GZF1,1.9800248,2.8569025610121296e-16,8.92194,APOE,3.8114872,2.9691890136569664e-28,11.603818,ADAMTSL4,3.1070263,1.1706195922433708e-30,12.061676,CRIM1,4.7550297,4.387458245690568e-25,10.941736,RGS10,1.6058874,1.0533073876714817e-20,10.000614,SPI1,1.9494313,1.6803790610119239e-37,13.288621,RAB27A,2.156662,0.003815683524837792,4.3001833
MYBL2,3.378114,1.9385220270483645e-34,12.761777,CLINT1,1.5012673,2.6963307169418283e-14,8.416559,GATA2,1.8859111,1.397076488389431e-15,8.736827,CTSL,2.9434607,3.9358578272559384e-27,11.377038,SAMHD1,3.2268996,1.3788705788278742e-29,11.847713,ANKRD1,10.217079,1.2376943113199936e-23,10.62938,FBLN2,1.9243582,2.3964226162711578e-20,9.915118,CXCL3,3.6459095,2.995859156693475e-37,13.242736,LDLR,1.7492857,0.00440060539320291,4.2570553
CENPU,2.9616458,1.2655185267709849e-33,12.611724,AKAP12,2.0067375,6.008336681750511e-14,8.31766,FAM102A,1.7793502,1.397076488389431e-15,8.733348,GPR183,4.5388403,1.098804399786991e-26,11.283679,S100A10,1.7384773,1.4689667993771312e-29,11.839563,CD93,10.130123,1.2376943113199936e-23,10.628746,FST,1.9971884,2.484887590464948e-20,9.907864,MGST1,3.0684183,5.6529784864406445e-37,13.192501,SPI1,1.520552,0.005375372711056603,4.1848245
TMPO,3.1227863,1.7043230153196516e-32,12.402123,CORO1A,1.9427882,6.063508110224471e-14,8.3122635,SLC18A2,1.6889808,1.5320436412839365e-15,8.719432,CSTB,2.5122323,1.7527945729306518e-26,11.239205,CTSZ,2.8639548,7.27027979440229e-29,11.701892,TCIM,10.273596,1.2586633815283423e-23,10.624309,LXN,2.0517044,5.446246111053e-20,9.825606,NCF2,2.9422994,5.965847338096854e-37,13.186047,S100A8,3.5061178,0.006727155370106839,4.0919065
H2AFZ,2.586697,2.1648116726291398e-32,12.380029,LPCAT2,1.179423,1.8671910436044778e-13,8.173544,ABHD17B,1.873246,1.8981586757656454e-15,8.691745,TIMP2,2.9963233,3.2574881149246225e-26,11.181132,PCOLCE2,3.3250384,9.78331091606315e-29,11.673977,CAV1,8.8491,1.5668446914905107e-23,10.601062,SAMSN1,1.6248215,1.4741343862733654e-19,9.721326,LTA4H,3.6431792,7.774880778300715e-37,13.163735,PRG3,9.284242,0.006825358793512312,4.084543
TMEM106C,2.956246,4.7702323507947766e-32,12.313628,STK17B,1.337472,2.9979149245406237e-13,8.112133,AKAP13,1.2614342,1.9404667918627502e-15,8.685946,PLPP3,3.3882108,3.7115093295863345e-26,11.16643,SNX2,3.0577085,1.4488114090157198e-28,11.637912,S100A16,6.817005,3.4086411875275406e-23,10.525403,VWA5A,1.5868225,1.4858515891882246e-19,9.717181,BCL2A1,2.561994,2.4737688352106793e-36,13.071546,CEBPE,8.269069,0.006864279241315467,4.0810366
HJURP,4.143003,9.365847221796741e-32,12.256325,PLD3,1.442556,4.160388523725888e-13,8.068227,RGS1,1.9006772,2.4585893130611745e-15,8.655795,TMEM138,3.1196733,5.045848312335141e-26,11.135739,ADTRP,3.661653,2.6155184012682402e-28,11.584854,FSCN1,6.266279,9.965406604707157e-23,10.421214,ZFP36,1.7683421,1.834652449797616e-19,9.692439,IGSF6,3.1445184,4.4652503224014595e-36,13.024398,RCSD1,4.0773115,0.007582736287861482,4.0445704
HPGD,2.2397707,1.7902251654443405e-31,12.20103,BIRC3,2.459455,6.21677787487423e-13,8.015131,BASP1,1.6912707,2.9795495131526315e-15,8.630717,ZFYVE16,2.8286395,5.045848312335141e-26,11.133166,IFI30,3.310062,1.2499420095528644e-27,11.44753,GJA1,9.51885,1.1060452007783332e-22,10.407055,SGK1,1.1524423,3.2249516100794534e-19,9.628446,APP,2.7200751,9.843719335268141e-36,12.961815,SUSD1,1.9448483,0.008036207604424153,4.0235324
TCF19,3.131389,2.0460909103206685e-31,12.18756,GCSAML,1.5095805,6.389200115819496e-13,8.007984,STK17B,1.3383518,8.848002616211055e-15,8.499239,LHFPL2,4.064149,5.221539807730937e-26,11.127286,MRC1,3.5170152,2.0256665966264526e-27,11.403142,PCDH1,9.861785,1.1060452007783332e-22,10.405364,DUSP4,1.7050662,4.296407892201603e-19,9.595932,CTSD,2.0435586,2.368510343670199e-35,12.888287,FRY,2.8258932,0.00826500360829673,4.0112605
FANCI,3.7252145,6.906001783011946e-31,12.085478,ENPP3,1.7233049,7.518247023908799e-13,7.9772058,FXYD5,1.1131514,2.4246092967626307e-14,8.37269,CYP27A1,3.3091614,9.363494564960176e-26,11.072337,GSN,2.128548,3.295628829752366e-27,11.358061,TFPI2,9.921342,1.1060452007783332e-22,10.403673,CLK1,1.5624862,5.81643147040045e-19,9.561733,IL1B,3.252362,3.002176606258011e-35,12.86808,COTL1,2.0398502,0.00826500360829673,4.003196
DEK,1.7589773,1.3213224673834157e-29,11.83795,SAMSN1,1.544703,1.2760761310648448e-12,7.9082103,TIPARP,1.258652,3.068914905830224e-14,8.342104,CXCL3,3.7616239,1.537910396821756e-25,11.025106,CORO1C,2.0891347,3.295628829752366e-27,11.35598,CNN3,8.76351,1.1889253645203613e-22,10.394374,CPA3,2.2893486,1.6072446281716942e-18,9.450329,TIMP2,2.7494783,5.207318240383704e-35,12.823599,MXD1,2.8085475,0.00826500360829673,3.9989882
SRGN,1.166907,4.4393271587920034e-29,11.73315,SIGLEC6,1.4925506,2.7872593374730956e-12,7.806978,TMC8,1.705184,3.2518264114843885e-14,8.332537,LRPAP1,2.2186913,3.059775952530906e-25,10.960417,FABP5,3.2455704,3.954215458791155e-27,11.337774,GNG11,6.1704354,1.5708663269428582e-22,10.365421,FAM102A,1.6480775,4.8853142404176404e-18,9.330504,LRPAP1,1.8257464,9.418570582058867e-35,12.77575,KLF2,4.2317495,0.008685479847172835,3.9758463
KIFC1,3.6223981,4.4393271587920034e-29,11.731023,ST3GAL4,1.654574,6.900394337265649e-12,7.688534,PTGS1,1.5526805,4.717212697479384e-14,8.283105,CXCL5,4.424634,1.4382027601361745e-24,10.816888,LGALS3BP,3.7576337,4.9179480783190725e-27,11.316447,PLOD2,7.7284503,1.9507697514816383e-22,10.342385,NR4A3,1.5115765,1.7669946973141957e-17,9.1878805,INHBA,3.2837641,1.303908031481067e-34,12.74516,C15orf39,2.3606157,0.008936631059994045,3.967431
CENPE,2.64407,1.1564903070142387e-28,11.647372,ALOX5AP,1.2800092,9.559023417391819e-12,7.6434608,ACSL4,1.3229558,4.7364113831730135e-14,8.280061,SNCA,3.3071814,1.8595053495994544e-24,10.7907915,PPARG,3.0767415,1.7891024514067592e-26,11.20045,SPARC,3.817388,2.1321510960807194e-22,10.331607,RSAD2,1.7833337,3.7864302403573325e-17,9.102902,CSTA,3.6123915,1.739405206130607e-34,12.720183,PSTPIP2,2.1348937,0.009493426202823738,3.9477956
SHCBP1,3.3497562,1.544504670628116e-28,11.620079,PTPN6,0.99915946,9.561293157851893e-12,7.6402516,IFITM2,1.6458249,5.73004109173141e-14,8.254838,CXCL8,3.6293097,2.0907942842950235e-24,10.777559,NRP2,3.364353,7.781062489280908e-26,11.065206,MTUS1,6.789611,4.500349726002985e-22,10.2532015,FOSB,1.9477552,4.02035114340781e-17,9.093835,C1QC,3.2259269,1.739405206130607e-34,12.719341,PRG2,3.5277052,0.011196323611420514,3.8913434
PCLAF,3.2981231,1.544504670628116e-28,11.618189,MS4A2,1.4372976,1.1571074394566477e-11,7.612537,S100A4,1.1701154,6.088332945507803e-14,8.245126,GRN,1.6643728,5.009991921338007e-24,10.692103,MGST1,2.9820206,1.4679741499136137e-25,11.00608,COL4A2,9.406482,9.778321163518846e-22,10.175853,PRMT9,2.0128415,8.719952538635667e-17,9.0067835,MNDA,3.119519,4.262040452160276e-34,12.647497,DACH1,3.6612787,0.012571265236232003,3.8601367
MAD2L1,3.2936904,2.3007391538542233e-28,11.581916,FXYD5,0.9706159,1.2252932423383436e-11,7.5991173,CD9,1.0337263,1.1122400579170599e-13,8.170327,COLEC12,3.219443,5.625832594705157e-24,10.679055,TSPAN3,2.8350239,4.758311250127279e-25,10.897538,AKAP12,3.2965405,2.0948894206523652e-21,10.099348,JUP,1.4738017,3.9845600241144893e-16,8.83605,CTSC,1.985047,4.715830628881432e-34,12.637955,CKLF,1.8076422,0.013095016464110744,3.8471634
KIF11,3.750571,3.2956154341051e-28,11.548952,CR1,2.1198368,6.167724399699953e-11,7.376377,PALLD,2.65933,1.452325715477539e-13,8.135682,FUCA1,3.4442472,7.761433041730897e-24,10.646894,C5AR1,2.649362,7.2225880239466165e-25,10.857485,CD151,3.211952,5.750378180197233e-21,9.995793,PRKAR1A,1.1116962,7.121723713065472e-16,8.768431,LSP1,3.4058607,9.37533653300146e-34,12.580705,MRTFA,3.0507727,0.017973902112544897,3.7388172
NUCB2,1.682555,3.64562322909334e-28,11.538199,BTK,1.3651054,6.167724399699953e-11,7.375502,RGS13,1.6313471,1.83054765931229e-13,8.103066,SLC15A3,2.9574733,8.155049843975002e-24,10.640095,STON1,2.9706717,1.0725328701197419e-24,10.819339,HTRA1,10.10947,6.902742491899057e-21,9.975717,SMOX,2.0805209,9.277090122010941e-16,8.736175,ACTN1,2.2786849,3.0751885069151894e-33,12.485006,ENTPD1,3.2767582,0.020262336094992464,3.690079
SPC25,3.861659,3.531871806104308e-27,11.339114,LIMD2,2.6745057,6.587321952802934e-11,7.3639784,KRT79,2.29738,1.83054765931229e-13,8.1029215,MS4A7,3.0119097,1.579995442641205e-23,10.57614,RETREG1,3.9085617,1.2544032329242928e-24,10.8030405,HYAL2,4.1914024,2.6098409218316983e-20,9.83708,SOCS1,1.4880954,1.7667304748676801e-15,8.658321,PNPLA6,2.3500266,4.874538929649748e-33,12.4438925,BPI,7.8309,0.020262336094992464,3.6886766
FEN1,2.8761148,6.3276829174391166e-27,11.285947,P2RY14,1.8636427,1.6154129694316453e-10,7.232698,PRKAR1A,1.0998615,1.9206066710364148e-13,8.094804,RBP1,4.794105,2.6976879661193004e-23,10.523765,SPOCD1,3.5197692,1.72233316077614e-24,10.772004,THBS1,4.573055,3.8509094459669956e-20,9.794179,RAPGEF2,1.3774698,2.154069303728941e-15,8.631118,S100P,3.948829,7.045936809233022e-33,12.413022,GSR,1.9005741,0.02138636269940614,3.6700928
MS4A2,1.8027754,9.020604318937221e-27,11.252746,M6PR,0.9006925,2.0072739538073318e-10,7.200607,CALB2,1.6825762,2.924727542499517e-13,8.039139,SAMHD1,2.8838727,3.367100545508828e-23,10.5007925,SERPINA1,3.3265686,2.4632341570852824e-24,10.737152,ECSCR,4.9986196,3.8957244943995053e-20,9.79122,CTTNBP2,1.4674189,2.25093605777011e-15,8.623864,PCOLCE2,3.1407323,9.759723719338989e-33,12.385519,EBP,2.3427382,0.02231095477926676,3.6525612
NUCKS1,1.8354032,2.713408940758376e-26,11.153262,CCL23,1.9151183,5.137000624117342e-10,7.061449,ARL4C,1.8062407,4.2118492206193387e-13,7.9915924,TXNRD1,2.3045125,3.798427357796275e-23,10.487377,C1QB,3.6173728,3.748550969955602e-24,10.694672,IGFBP7,5.5468636,4.523008085040675e-20,9.772622,LMO4,1.5723296,2.3238171129472542e-15,8.618034,S100A8,3.6063218,1.0199891877654674e-32,12.380608,SERPINB1,1.2691517,0.02241894909323136,3.6494055
TOP2A,4.3468037,2.7489751534908054e-26,11.15019,IL9R,1.431487,5.451902901852622e-10,7.050801,SATB1,1.7298999,5.404240925802273e-13,7.9569473,CXCL1,3.5751886,5.483666777956581e-23,10.450622,RBM47,3.0666263,1.3721283247508593e-23,10.568444,HMGA2,6.3727484,4.5413894503706375e-20,9.770509,ACSL4,1.2427417,5.846702243868555e-15,8.505335,STON1,3.1151986,1.2434568590210506e-32,12.363348,PGD,1.6693481,0.02343362613558421,3.6308217
STMN1,2.5591416,6.295252544859985e-26,11.074337,IL3RA,2.0265198,7.898562010135983e-10,6.996684,NCOA4,1.0934556,9.021959823783744e-13,7.8891068,MMP12,5.5312605,8.32096193914314e-23,10.405229,C1QC,3.1695783,1.7464709678782224e-23,10.542436,PDGFB,9.121628,6.194555508422586e-20,9.7373295,MYC,2.1877294,7.623719991044601e-15,8.472431,CORO1C,1.9481279,2.257254866470168e-32,12.312833,GRK2,2.0360506,0.025180962515809212,3.6017191
ANXA1,1.1313273,7.46539813436593e-26,11.057205,SLC45A3,1.7897065,9.308335972963061e-10,6.971303,HPGD,1.8131444,9.330822415150272e-13,7.882873,CPVL,3.7646325,1.0586171279415132e-22,10.380419,TMSB4X,1.0045344,2.7391522251732726e-23,10.498395,COL4A1,8.486848,7.39332307559039e-20,9.717675,P2RX1,1.7121412,1.1395060294725575e-14,8.423466,PPT1,2.1020563,2.257254866470168e-32,12.312693,LIMD2,2.9585702,0.033116832532993745,3.501087
CTSG,2.767331,1.450253248676652e-25,10.995648,RASSF5,1.0486228,9.379213596230685e-10,6.967948,JUP,1.5404963,1.345259067132452e-12,7.8350368,C1QC,3.371063,1.0670127142871148e-22,10.377846,COLGALT1,2.1885552,4.4407321263746667e-23,10.451059,HSPG2,4.9704494,1.0847881545134713e-19,9.673717,CD69,1.4412863,1.4278656883257562e-14,8.394837,ADAMTSL4,2.701782,4.0705652717667023e-32,12.261195,TXNIP,1.5126927,0.03351111882416592,3.4968793
NCAPG2,3.1322827,1.5705639878420676e-25,10.986669,CKAP4,1.7767165,1.6756261163364496e-09,6.881303,ITGA2B,1.5999277,2.115324642660552e-12,7.774009,LY96,2.761482,1.8627299529463385e-22,10.322713,BCL2A1,2.4460902,6.142782449205447e-23,10.417075,FLT1,5.592248,1.0951636551177892e-19,9.671181,PHLDA1,1.6932461,1.4278656883257562e-14,8.3930235,JAML,3.564832,6.019146188454688e-32,12.22822,CSF2RB,1.5871096,0.040086588827397546,3.4302588
NDC80,3.6040258,2.0269512965856839e-25,10.961857,ADAM8,2.870149,1.9510379236899776e-09,6.8573804,C5orf22,1.4241241,3.0606481291248246e-12,7.7251577,CTSH,3.3877513,2.6346836952379325e-22,10.287612,INHBA,2.9875484,1.0676233043362643e-22,10.362804,MMP10,5.88474,1.3369837058584282e-19,9.649201,PTGS1,1.4117929,1.4436905703375588e-14,8.389785,FLNA,2.2824726,1.2108961098310522e-31,12.168864,ADAM8,3.4675782,0.04062362685541822,3.4200904
KIF22,3.3498123,9.459418901086796e-25,10.819839,SUSD1,1.2675055,2.0035608019961435e-09,6.8514,MAOB,1.9098455,4.717888909009346e-12,7.6660147,IL17RB,3.4500754,3.066197900702872e-22,10.2712555,IFI27,2.928126,1.3152764596302626e-22,10.341304,CTTN,5.993767,2.9740078995620855e-19,9.563822,INSIG1,1.5074751,1.52078187729916e-14,8.381754,BHLHE41,2.8283787,1.9448347833834052e-31,12.12775,FBXL5,1.9385471,0.04149337434930363,3.4123764
CEP55,2.6116185,2.7634630302370083e-24,10.71941,GPAT3,1.8202544,2.978962508429934e-09,6.7901354,RHOG,1.2103522,4.7450007674948095e-12,7.6634054,JAKMIP2,2.8164973,3.1293824345263658e-22,10.26758,MGST3,2.4594545,1.5071114893593331e-22,10.326739,HSPB1,2.1909437,3.213639395965696e-19,9.554312,ADGRE2,1.581817,1.623589201886573e-14,8.372168,COLEC12,2.768707,2.1952001911174035e-31,12.116665,FAM107B,1.6112258,0.04149337434930363,3.4120257
SGO1,3.9716296,6.317007309358849e-24,10.640958,CD84,1.9484165,3.716187694754506e-09,6.7539606,SLC7A5,1.5129949,4.898762809724931e-12,7.657462,CLEC7A,3.1263762,4.388565722695179e-22,10.233214,CXCL3,3.1315756,2.0570576592418472e-22,10.295356,PAWR,9.819694,3.661991937953795e-19,9.539307,PDCD4,1.4612054,1.787759102026539e-14,8.358954,PTPN12,2.0816824,2.538022485960627e-31,12.103615,PYGL,2.6395416,0.04185435364047405,3.4067662
