C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score,C16_names,C16_logfold,C16_pvals_adj,C16_z_score,C17_names,C17_logfold,C17_pvals_adj,C17_z_score,C18_names,C18_logfold,C18_pvals_adj,C18_z_score,C19_names,C19_logfold,C19_pvals_adj,C19_z_score,C20_names,C20_logfold,C20_pvals_adj,C20_z_score
CTSZ,2.883656,0.0,55.40526,CES1,4.2906365,0.0,43.608315,CXCL16,4.2441654,0.0,76.3093,CPA3,8.779202,0.0,73.37748,SRGN,3.4201543,3.697740555253072e-273,35.589382,S100A9,5.3952894,0.0,52.609886,CLC,8.36693,1.2693842295624418e-110,22.781345,LENG8,3.0960083,5.836324500050652e-118,23.451004,HIST1H1B,5.5336113,0.0,49.32347,FOS,4.6016355,1.1366835787299049e-172,28.321367,CEP55,5.262624,0.0,54.349575,COL1A1,5.3757224,0.0,67.19998,SERPINE2,4.0132065,0.0,61.364235,CXCL12,3.09774,0.0,59.76798,SMURF2,2.89385,0.0,51.624702,HBA2,13.465321,9.024990078466374e-165,27.69416,JUN,3.6647887,1.6041194425119326e-195,30.091764,TXNDC5,4.1134214,1.0606284254803273e-66,17.771593,CD74,4.8752146,2.8021204505015846e-58,16.657352,ITGA2B,6.494356,5.177150955441933e-18,9.705271,LGALS1,2.8181794,7.159913031492759e-69,18.088034
MARCO,5.360795,0.0,55.101498,GPNMB,3.9214585,0.0,42.462807,CTSH,4.486924,0.0,75.70018,LAPTM5,4.6993546,0.0,72.44341,HDC,6.248233,2.253862157560662e-264,34.99707,S100A8,5.6378098,0.0,50.18599,SRGN,2.700304,5.796350158833898e-97,21.32675,RSRP1,3.559851,7.479170475980258e-112,22.80912,TYMS,3.8570633,0.0,44.109886,ZFP36L2,2.847544,3.050728907994545e-116,23.219875,MKI67,4.82509,0.0,53.78014,COL1A2,4.4933205,0.0,66.8777,GAS6,3.319527,0.0,58.947025,HAS2,3.418124,0.0,58.06235,RGS4,3.379863,0.0,50.91287,HBB,13.934937,9.024990078466374e-165,27.687109,CXCR4,4.4931955,1.38186189022657e-182,29.067791,MZB1,9.482534,3.6886853761680437e-47,14.919857,IGHM,10.905852,5.077601157206015e-58,16.588614,GP1BB,9.179376,1.0078959320095804e-15,9.032874,TAGLN,4.338346,9.514624304842593e-66,17.6481
APOE,5.160117,0.0,54.134026,APOE,3.9192598,0.0,41.057644,CTSA,2.979639,0.0,74.360916,GATA2,7.268254,0.0,71.38467,GATA2,5.909123,1.9813274369826804e-241,33.44269,FCAR,5.061119,0.0,45.21836,TMSB4X,1.7968246,2.257936404653885e-95,21.135572,ITGAX,3.8341296,8.536192814621207e-87,20.102047,HIST1H1C,3.2041671,0.0,43.27257,JUN,2.850492,4.6286463696562095e-111,22.698765,TPX2,4.422894,0.0,50.607506,ITGA11,3.8605456,0.0,66.67853,SPARC,3.5687208,0.0,58.543003,DKK1,2.956585,0.0,56.28901,GLIPR1,2.212302,0.0,50.107174,HBD,10.606256,4.6087259396304094e-164,27.613571,TRBC2,8.969586,1.277697208664003e-178,28.746937,JUN,3.2473905,4.3442483806484264e-38,13.379872,CXCR4,5.2859597,7.871022849309643e-57,16.405697,ITGB3,5.9772477,4.107297353080763e-13,8.297162,MYL9,3.8915832,4.932121672950172e-65,17.531874
GPNMB,4.613569,0.0,51.61496,CSTB,2.9803214,0.0,40.689583,FBP1,4.637594,0.0,74.33074,FXYD5,2.5187047,0.0,70.270226,CSF2RB,5.040391,1.4709843733648593e-237,33.166695,CXCL8,4.725667,0.0,44.494286,CD24,6.0908103,2.0985172955412574e-85,20.00852,NABP1,2.2412593,6.559879464240364e-67,17.587944,MCM7,3.622951,0.0,38.317787,MPO,8.617716,3.795443868921946e-106,22.184687,RRM2,4.280127,0.0,49.451363,SPARC,3.9612696,0.0,65.96938,LOXL2,3.2554839,0.0,57.726685,LOXL1,2.630993,0.0,55.794617,SERPINE1,3.7179189,0.0,49.18839,SLC25A37,6.636755,4.3923103337949265e-157,27.007257,ZFP36L2,3.484361,7.941421224733102e-175,28.43301,IGKC,11.650806,5.116000888641131e-33,12.418838,CD79A,9.598317,2.632279370637895e-51,15.588362,PLEK,4.4169173,1.65539753572292e-12,8.064994,TMSB10,2.2178755,5.532971551889601e-53,15.844681
CCL18,5.12947,0.0,51.267807,CD68,3.4323044,0.0,40.54441,CYP27A1,4.4699492,0.0,73.3153,HPGD,7.792528,0.0,69.99063,MS4A2,5.542102,1.4283874521253338e-227,32.45972,LSP1,3.7500665,0.0,43.78116,CSF2RB,4.4540505,7.483362158916961e-79,19.230175,APOE,2.8804348,1.537468452077642e-59,16.568264,RRM2,3.781269,1.0867353335813482e-274,35.64318,DUSP1,2.4099586,3.033540299081456e-97,21.217789,ANLN,4.8557024,0.0,48.828617,COL3A1,3.9248607,0.0,64.526245,IGFBP7,3.0371428,0.0,57.427303,MXRA8,2.3965166,0.0,55.62099,NEK7,2.8181534,0.0,48.67155,SNCA,7.23112,1.044928403119958e-149,26.35396,PNRC1,2.7234876,1.1083563947002601e-173,28.334833,SEC11C,3.714565,2.8712612605764785e-29,11.6796465,BTG1,4.861427,1.6328717827696368e-49,15.296023,FERMT3,3.8526223,1.921062053402007e-12,8.019424,TPM2,3.5864587,1.889897997955764e-52,15.75575
CD163,4.907092,0.0,51.027542,LGALS3,2.6912014,0.0,40.41336,CSTB,3.6675656,0.0,73.01658,CTSG,8.4461775,0.0,69.85011,SAMSN1,4.6299577,1.04197553091306e-223,32.17913,PLAUR,2.9670308,0.0,43.006416,EGR3,5.5540786,3.1572976414485975e-75,18.782627,KLF6,1.7152097,1.5170135573751737e-55,15.99029,MCM5,3.3711667,9.716184302401672e-271,35.382053,CELF2,2.7407274,1.2011158022983795e-93,20.815662,PLK1,5.4686317,0.0,47.93254,COL5A1,3.9191847,0.0,63.709766,ITGA11,3.1626832,0.0,56.88673,TPM1,3.450014,0.0,55.380135,CNN3,2.73193,0.0,48.327415,BNIP3L,4.1543627,2.7228494721047678e-148,26.22565,BTG1,4.466137,1.8468932530694527e-167,27.819029,UBE2J1,2.02342,2.76411849234289e-26,11.048389,JUND,3.4649568,1.933310504178891e-48,15.127347,TMSB4X,1.7628652,4.164913609596828e-12,7.9119596,TMSB4X,1.4405265,2.966542756611187e-48,15.122642
CES1,4.7818475,0.0,50.67413,NUPR1,3.165324,0.0,40.39842,LYZ,5.597194,0.0,72.589386,GLUL,4.27585,0.0,68.78965,CLU,4.871371,6.303665374212702e-219,31.830631,CSF3R,4.5897894,0.0,41.44128,BTG2,3.5370152,5.5081717220681e-71,18.241058,ALOX5,2.4949787,3.6434990106041405e-53,15.633863,MKI67,3.3399906,8.314625263846861e-268,35.18269,SPN,2.7026482,1.864775160178306e-92,20.679857,CENPE,4.567162,0.0,47.42857,HTRA1,3.1165807,0.0,62.044872,LOX,3.2932703,0.0,56.850456,C12orf75,2.5599642,0.0,55.37273,CCN2,3.5450091,0.0,47.963047,ALAS2,9.808139,1.5571537394652882e-147,26.15515,JUNB,2.9299076,1.3094997738349948e-156,26.898005,ITM2C,4.0236816,1.5264795437619647e-25,10.882752,MS4A1,12.013474,1.3341030986102272e-47,14.982249,CAVIN2,6.746681,1.1639258576900825e-11,7.761879,TPM1,3.3901384,1.2205276399730946e-46,14.859084
CD74,4.4386315,0.0,50.328156,FTL,1.8239685,0.0,38.52672,IFI30,4.8874593,0.0,72.32167,SAMSN1,5.217492,0.0,67.82106,FCER1A,5.495913,9.346995617014298e-217,31.669134,NAMPT,3.173352,0.0,40.71097,NCF2,3.7791803,1.7769766264521945e-66,17.651966,MT-ND4,1.9769813,9.08833619255568e-53,15.573578,CENPU,3.6312926,6.86940621359534e-260,34.657707,CD74,2.8739758,1.0984363035585165e-76,18.81596,FOXM1,3.7907834,0.0,47.358307,THBS2,4.0300713,0.0,62.01448,PRSS23,3.2431984,0.0,56.665874,MAP1B,2.6981108,0.0,55.232548,MYO1B,2.4882236,0.0,47.90609,SLC4A1,9.563797,4.544094383611499e-143,25.752583,FOS,4.12309,8.595752212125773e-148,26.12039,IGHA1,11.704304,4.535228120578054e-23,10.3243685,CD37,3.9256465,1.0230642892642072e-45,14.681362,NRGN,7.4234657,3.491938403648255e-10,7.2672343,ANXA2,2.2992394,2.0291059726522998e-44,14.505257
PSAP,3.3759215,0.0,49.88631,CXCL8,3.8716762,1.0513878527450468e-285,36.32816,TFRC,3.8800466,0.0,71.85019,CLU,5.595809,0.0,67.11148,BHLHE40,3.546148,2.591905313616301e-216,31.633224,CYBB,3.3793435,0.0,40.4104,CD69,4.296549,2.3798543354567146e-64,17.362762,PLEC,1.4429278,1.6048697416544751e-52,15.5363,MCM2,3.9019723,9.088084611113903e-257,34.44681,EEF2,1.0333878,8.33776562756423e-74,18.454777,CENPF,4.8458195,0.0,46.849907,PSAT1,3.3107436,0.0,60.289303,THBS2,3.4759972,0.0,56.580772,FSCN1,2.5215573,0.0,55.059673,ADAMTS1,2.8633323,0.0,47.898415,TENT5C,7.6561766,3.5617443460978128e-130,24.560402,IL32,7.3939095,1.0522696369339145e-140,25.486347,TENT5C,4.8558626,8.234327019540246e-20,9.536633,JUN,3.6165977,5.964274468894785e-42,14.068431,PRKAR2B,6.1058693,8.986290107966249e-10,7.1120834,CALD1,3.2229471,9.38832766496266e-43,14.233076
CTSB,2.350939,0.0,49.773766,LAMP1,1.3660256,3.5902375053045405e-276,35.716602,CTSD,3.9183152,0.0,71.67289,SIGLEC6,6.7827334,0.0,66.33728,CPA3,6.0720954,2.8707898384271205e-216,31.626669,CD14,3.4862142,0.0,39.759483,FTL,1.9614109,3.581544244703728e-63,17.197487,MT-ND3,2.1140196,7.913627058769033e-52,15.430566,TUBB,1.9210811,4.988316225569831e-255,34.327663,SELL,4.6298995,2.2199759889743466e-70,18.015932,TYMS,3.4108527,0.0,46.35993,LAMC1,2.8756454,0.0,59.344284,COL4A1,3.0323505,0.0,56.406292,CCN1,2.6334622,0.0,54.74602,ATP8B1,2.5044115,0.0,47.379436,RBM38,6.5388513,6.824514759320035e-129,24.435535,TRAC,9.644428,2.786228100348099e-139,25.355282,DERL3,7.742485,6.600957041497146e-19,9.301034,FOS,4.383181,4.126527984303304e-40,13.754399,RAB27B,4.9706364,1.3451967131463458e-09,7.050289,PEA15,2.5779605,2.589403093135423e-41,13.988193
NUPR1,3.206317,0.0,48.88818,HS3ST2,3.1094294,1.0746489645622642e-270,35.357365,MRC1,4.2924414,0.0,70.90172,AHR,3.7114055,0.0,66.30294,CLC,8.255214,2.0427735410253266e-183,29.136389,NFKBIA,3.0096452,0.0,39.677967,PYGL,4.2762227,8.401120701423884e-63,17.140244,PPARG,2.304894,4.789965003103057e-44,14.198167,LMNB1,3.0946236,1.1546254596809482e-242,33.486168,AIF1,2.8662546,4.326669957815343e-68,17.716808,SMC4,3.2269738,0.0,46.30324,VCAN,2.9911535,0.0,59.276833,TPM2,3.1329815,0.0,56.27046,ALCAM,2.2720065,0.0,54.66166,ACTA2,3.1402953,0.0,47.277275,TRIM58,9.489637,3.8344290610031504e-128,24.360811,KLF2,4.341363,4.702467721092717e-126,24.111393,IGHG1,10.589311,1.2183927787734156e-17,8.96632,TSC22D3,5.1349216,2.2416415172101877e-35,12.902824,LCP2,2.840008,2.09053114610474e-09,6.967276,S100A6,1.8387771,2.589403093135423e-41,13.987372
MS4A7,4.072105,0.0,48.81374,CD9,2.5978503,5.1198669035556366e-263,34.852047,CTSS,4.113777,0.0,70.52844,SRGN,2.480536,0.0,65.84778,SOCS2,4.707215,1.056970425000083e-180,28.918375,BRI3,1.7957646,0.0,39.399483,CYTIP,3.9212172,3.671200473887011e-62,17.047396,CD44,1.1335071,7.218976471759117e-43,14.001737,ILF3,1.6103741,9.261663231880475e-230,32.585144,ARHGDIB,2.1619854,1.1958477071744266e-58,16.416325,CKAP2,3.8115582,0.0,45.319534,MMP2,3.0483942,0.0,58.873394,CDH2,2.7815616,0.0,55.337322,TNC,2.798546,0.0,54.381676,CLIC4,2.1520228,0.0,46.981453,DCAF12,6.175333,2.6870180131765424e-122,23.793888,EVL,3.030185,9.922929558323263e-124,23.8871,FOS,2.3921762,1.8337809907178565e-14,8.061357,IGHD,9.866403,4.708540547888067e-34,12.650698,C2orf88,6.535575,3.787600358003814e-09,6.86838,SH3BGRL3,1.9155667,7.0438152157061205e-40,13.740054
ADTRP,3.7129774,0.0,48.026463,CTSB,1.492729,1.0414379214829818e-261,34.763588,CD68,4.105885,0.0,69.96991,VWA5A,5.529076,0.0,65.576996,LAPTM5,3.4699185,1.0184515434456565e-176,28.596996,LCP1,2.653912,0.0,38.972942,BCL2A1,3.1409173,1.996876745692196e-59,16.66883,MT-ND6,3.43062,1.728045414151331e-42,13.9386425,PRDX2,2.9768913,1.4903937333354186e-215,31.557808,AZU1,7.3727975,1.9523807182632968e-52,15.501267,DLGAP5,4.943691,0.0,45.032116,BGN,3.5435655,0.0,58.69037,COL5A1,3.5652585,0.0,55.268353,AXL,2.3772407,0.0,54.345997,PODXL,3.10208,0.0,46.90039,BPGM,4.987468,9.990637666153264e-118,23.343557,IKZF1,3.821932,3.3278417774539534e-116,23.14296,DUSP1,1.6265347,9.187122601494473e-13,7.5348825,DUSP1,2.6456933,4.1150736209945567e-32,12.275329,LTBP1,4.181637,1.0245912613133287e-08,6.7031393,CSRP1,2.1904526,9.55874489070963e-39,13.53655
IFI30,4.469267,0.0,47.991417,FTH1,1.7428731,6.662968099527847e-260,34.641994,LTA4H,3.5037515,0.0,69.88734,KIT,7.80252,0.0,64.506615,IL1RL1,4.603438,2.2771571593763704e-162,27.416098,IFI30,3.7369103,0.0,38.92624,CORO1A,4.5542536,2.0433279693464515e-58,16.520805,SAT1,2.3229716,9.237760823488245e-38,13.115555,GMNN,3.299754,4.341943185962137e-212,31.299082,H1FX,2.4422967,9.988123882602795e-52,15.391867,TACC3,3.8111897,0.0,43.644203,LOXL2,3.3111486,0.0,58.086025,PSAT1,2.9469655,0.0,54.89438,ENAH,2.5222616,0.0,53.963547,CRYAB,2.6011899,0.0,46.88782,FBXO7,3.5142322,1.256257672925466e-116,23.233595,TSC22D3,4.4999557,6.228775362416933e-113,22.809555,ISG20,4.796481,3.1512760291927128e-12,7.3601613,PNRC1,2.439126,4.5930216850345845e-32,12.264946,MMRN1,10.060006,1.259800846413336e-07,6.247143,S100A10,1.8884917,3.6997578387505185e-37,13.257328
CTSL,3.00579,0.0,47.93649,SCD,2.5797172,4.596445972275339e-257,34.451195,GRINA,2.3282049,0.0,69.651634,RGS13,7.541199,0.0,62.51723,GCSAML,4.846972,1.404332661782161e-161,27.34723,NCF2,2.9499798,0.0,38.612015,CCL23,6.506226,2.2154210017907047e-58,16.51336,DDX5,0.8984438,2.4364778663943406e-37,13.039116,IDH2,1.7692674,5.157080432672646e-202,30.543753,SERPINB1,2.1447914,1.1563683678538926e-51,15.382003,PTTG1,3.725812,0.0,43.090843,TGFBI,3.5728412,0.0,58.079517,COL1A1,4.7126336,0.0,54.756107,COL6A3,2.660265,0.0,53.917755,CSRP1,2.0276296,0.0,46.51729,BCL2L1,4.9893613,2.2795820794961746e-113,22.904814,TCF7,5.649387,3.6832445398447985e-112,22.730442,FKBP11,2.8921828,8.515311243591835e-12,7.216947,IER2,3.4940152,2.717271853981466e-28,11.506939,MED12L,7.996976,1.6900873343162018e-07,6.1984677,MAP1B,3.1970534,1.9364070883535917e-35,12.953361
TFRC,3.5326831,0.0,47.542793,LITAF,2.310539,5.064554749210615e-250,33.97599,CYBB,3.9564145,0.0,69.30614,NR4A2,4.9381022,0.0,61.78021,MS4A3,7.2093863,4.505620054224969e-157,26.96327,BCL2A1,2.9566789,0.0,37.93579,PLPP1,4.9437943,2.2921710743397208e-57,16.364601,CDK5RAP3,2.863298,3.6458803086546923e-37,13.007928,DEK,1.9652363,6.729956009276672e-196,30.078339,ITM2C,3.2425427,1.7604842252732716e-47,14.730466,KIF23,4.1550817,0.0,42.913998,NNMT,2.8172889,0.0,58.06189,ITGBL1,2.5640795,0.0,54.606556,GNG12,2.4406674,0.0,53.736465,CAV1,2.8217163,0.0,46.512726,SLC25A39,4.36399,1.3902689733445659e-111,22.718786,TXNIP,2.682722,7.060386662365097e-112,22.701454,TSC22D3,2.991349,1.8430217031894712e-11,7.1029663,JUNB,2.4353628,2.7963803930495904e-28,11.503405,PF4,13.558904,5.821272133416987e-07,5.971547,CFL1,1.4163035,8.787602323205109e-35,12.823252
C1QA,4.4029894,0.0,47.44863,CTSS,2.8344836,1.768669610276865e-248,33.869747,HS3ST2,4.1702538,0.0,69.268654,ANXA1,2.1837296,0.0,61.70037,TXNIP,2.9346936,2.9999277265277815e-152,26.546476,LYZ,4.0703197,6.04173150724915e-307,37.62974,SAMSN1,3.3785064,6.120496515177107e-50,15.273361,TNFAIP2,2.75484,5.789665037144627e-37,12.97156,HELLS,3.5632412,4.25300601203536e-195,30.015743,HIST1H1C,2.091304,5.0381721558932206e-46,14.496733,BUB1,4.626759,0.0,42.640434,FN1,4.4817505,0.0,57.94346,CCN2,3.6202257,0.0,54.261803,BGN,3.0471148,0.0,53.09258,ANKRD1,3.095113,0.0,46.493397,NCOA4,2.9839938,1.866581541343367e-107,22.289755,ETS1,4.392174,3.32776758574427e-98,21.252733,KLF2,2.7916234,2.452060959863377e-11,7.06032,KLF2,4.338248,4.070515487163946e-28,11.467854,RUFY1,2.9936342,1.8395262687833758e-06,5.7676835,NEK7,2.7364435,1.024400512280021e-34,12.805386
BHLHE41,3.544988,0.0,47.39934,AGPS,1.8687638,3.5373743413881978e-248,33.847782,CD74,4.492057,0.0,69.15703,MS4A2,6.5392094,0.0,61.62172,CYTIP,3.488907,2.1373615606721585e-151,26.470354,MCL1,2.3728783,1.4306403079332863e-304,37.483036,BHLHE40,2.7267184,3.376573203090778e-48,15.004031,CSF1,1.9026898,2.1144501293267697e-35,12.686474,ZWINT,3.251522,7.6189247246543e-195,29.995079,PLAC8,5.1269536,5.4373549445675604e-45,14.329652,CKS1B,3.3268342,0.0,42.558605,PRSS23,3.3593955,0.0,57.83314,SERPINE1,3.6742105,0.0,54.053066,UGDH,2.1525145,0.0,52.93176,RGMB,2.489381,0.0,46.463924,AHSP,6.835409,3.7254146785759416e-106,22.154324,TNFAIP3,3.031812,7.222062701018632e-94,20.771555,POU2AF1,7.7670293,7.710974863006549e-11,6.885642,CD79B,8.814978,7.950512181471386e-26,10.977915,PPBP,11.178021,2.7201265051482984e-06,5.6772294,HSPB1,1.8199672,4.6163053416461884e-32,12.302842
SCD,3.694992,0.0,47.385586,GPX4,1.6595484,3.955664254611671e-248,33.84304,ARRDC4,3.45799,0.0,69.031944,RAC2,3.6628783,0.0,61.475384,RAC2,2.9779656,2.160652515922457e-148,26.204044,SOD2,3.0170813,1.1553799658137064e-298,37.11745,S100A8,3.8507683,2.495635067151723e-47,14.860649,PDXK,1.5549084,2.7443185449378115e-35,12.665252,TPX2,2.826332,2.3241760931328167e-191,29.725475,JUND,1.7377214,7.926726998440269e-45,14.30272,TUBB,2.1360178,0.0,42.477142,COL12A1,3.2218056,0.0,57.752293,CDH11,2.6199808,0.0,53.712826,IGFBP3,3.0759432,0.0,52.801132,DDAH1,2.608697,0.0,46.37681,MARCH8,5.9413977,8.579686174998975e-92,20.579666,CORO1A,4.201226,3.246417451706789e-92,20.584383,HERPUD1,2.608193,1.497863073259498e-10,6.7840123,LTB,6.17234,2.2394759024606355e-24,10.653906,MAP3K5,3.6436696,1.616796488653366e-05,5.2857647,MYL6,2.1532195,2.3311444733422285e-31,12.15669
CTSS,3.7399552,0.0,47.199566,BCL2A1,2.6051428,1.4848339131250207e-247,33.802593,SCD,3.6305122,0.0,68.533844,BHLHE40,3.3929772,0.0,59.835384,ANXA1,1.8821607,2.5209019692716592e-148,26.196308,FTH1,1.7311925,2.1622936363406434e-290,36.599907,ALAS1,4.0346723,1.503415946332684e-45,14.5746155,KYNU,3.7099493,3.3769752250986343e-35,12.647805,MYBL2,3.7453344,1.0546773878629888e-188,29.518002,PRSS57,7.158349,3.122523599333833e-44,14.204855,TUBA1B,1.9279759,0.0,40.98633,POSTN,3.3269427,0.0,57.183434,PXDN,2.7721758,0.0,53.56868,TPM4,1.9531773,0.0,52.76792,NTN4,2.5940626,0.0,46.231976,EPB41,5.557517,8.384090853087939e-91,20.465649,DUSP1,2.0623147,1.6847505115649206e-86,19.925217,CD79A,5.6967807,1.2443528185046346e-09,6.4469824,IGKC,7.1192164,2.9928445683219316e-23,10.3961315,SNCA,3.8609617,2.4259942890452947e-05,5.184346,PALLD,3.0778487,6.333258053126551e-30,11.856282
SLC15A3,3.3697336,0.0,47.123825,LYZ,3.5782518,4.3458755481704636e-237,33.079975,CSF1,3.915635,0.0,68.373146,ACSL4,3.5458953,0.0,59.826622,DUSP6,4.125914,7.07779768691031e-146,25.977034,ITGB2,2.8761368,6.552812062677837e-290,36.56851,CXCR4,3.4668806,7.622182334559956e-45,14.457931,MT-ATP6,1.6600798,8.184038215862225e-35,12.575036,SMC4,2.425528,8.792685644531265e-188,29.445002,NUCB2,1.7135494,2.2844750341887545e-42,13.891825,LMNB1,3.3140697,0.0,40.61677,SERPINE2,3.7421262,0.0,56.6874,MMP2,2.840094,0.0,53.25332,FAM171B,2.3453176,0.0,52.675446,FLNC,2.3472767,0.0,46.149395,IFIT1B,12.579825,1.534147312133278e-87,20.08834,WIPF1,2.1252682,1.5925309689369858e-85,19.811314,ST6GAL1,4.03333,4.6881498992527004e-08,5.8268147,LAPTM5,2.507145,1.459595867691036e-21,9.998333,FOS,3.0544388,3.5713586889910105e-05,5.0945387,CAVIN1,3.2253416,1.6666814324609406e-29,11.770638
CYP27A1,3.8374083,0.0,46.851086,CREG1,2.14514,1.332035521247752e-234,32.90537,FGR,3.5264592,0.0,68.24903,LCP2,3.5252345,0.0,59.707813,PRG2,4.9037156,7.287707324351312e-145,25.885607,SPI1,2.6941457,3.582055636190626e-287,36.394768,CCL4,3.7569377,5.1534253553274335e-43,14.15858,FGR,1.835714,5.14078672476314e-34,12.423657,HIST1H4C,3.578266,5.780750451393451e-187,29.379936,FOSB,2.7033012,5.799208032538113e-41,13.652647,HMMR,4.414703,0.0,40.57798,LTBP2,3.1300125,0.0,56.66892,STC2,2.9744418,0.0,53.235626,ENG,1.8922541,0.0,52.594463,KRTAP2-3,3.6500719,0.0,45.893772,EPB42,7.4864216,4.465370356581847e-80,19.199953,IER2,3.0570142,6.09602042704957e-85,19.742323,TXNDC11,2.040534,5.307351241501186e-08,5.804206,FCMR,5.3916144,5.185223089868186e-21,9.859619,TC2N,6.18883,5.081204261701172e-05,5.007723,OAZ1,0.9282188,3.5588231190055344e-27,11.289657
C1QB,6.1874547,0.0,46.850407,BHLHE41,2.780642,1.1516382891193083e-231,32.69821,SAMHD1,3.5018752,0.0,67.92002,HDC,6.201695,0.0,59.536835,CST7,3.8139694,9.41442331256723e-145,25.874151,LCP2,2.730232,8.33502050856055e-287,36.369537,CST7,3.6041958,1.2728406862164752e-42,14.093684,PIK3R5,2.5784912,7.4308844093342666e-34,12.393107,LIG1,3.1600962,7.193785050191788e-181,28.894684,IER2,2.3998806,1.2466893119529476e-40,13.595457,SPAG5,3.934282,0.0,39.763134,CDH13,2.7884443,0.0,56.592625,TIMP3,2.9529376,0.0,52.964886,CAV1,2.6963751,0.0,52.47405,AFAP1,2.2361994,0.0,45.5987,HEMGN,7.1855946,7.752029425746178e-78,18.923925,CELF2,2.5717921,1.5636472537946115e-76,18.722546,SLAMF7,3.95662,6.111651133493062e-08,5.7785673,TXNIP,2.3596852,9.959484507354146e-21,9.788517,RGS18,6.481115,5.65936158565523e-05,4.9813066,PFN1,1.2632512,4.48454550852001e-27,11.265862
FBP1,3.8338785,0.0,46.666965,SOD2,2.566386,8.718621921371631e-228,32.422993,PPARG,3.6359155,0.0,67.83099,RAB27B,6.793327,0.0,59.46238,SIGLEC6,4.0947814,3.3074340271917675e-138,25.284288,EVI2B,2.635397,7.919812992567935e-286,36.30666,FTH1,1.6481102,3.6711419883948884e-42,14.015181,ZFYVE16,2.1395888,1.6982489785592306e-33,12.323919,USP1,2.4634318,1.2787804335883193e-179,28.793104,MYB,4.3774962,1.519945511271623e-39,13.407631,CKAP2L,3.995197,0.0,39.405106,IGFBP7,3.0209293,0.0,56.438457,CALD1,3.1482778,0.0,52.751293,COL6A2,3.2773533,0.0,52.400806,FHL2,2.3788145,0.0,45.05496,FECH,4.419006,3.2944685943384306e-75,18.594887,CD3E,10.779497,6.828006210442337e-72,18.136087,JCHAIN,8.408901,6.336709842838436e-08,5.772252,AFF3,6.599458,1.410619421141232e-20,9.74807,CLU,2.6456316,6.616636153710828e-05,4.942291,SELENOW,2.189787,8.809501164982455e-27,11.199672
IRF8,4.20201,0.0,46.24394,FABP3,3.3504953,1.4961635386933272e-221,31.976463,CTSC,3.5550227,0.0,67.750565,RASSF5,3.9318771,0.0,58.582882,HPGD,4.3737016,3.146109833693864e-134,24.91843,AIF1,3.039508,4.347352096168579e-285,36.25883,MXD1,4.5777373,4.5066582085060845e-41,13.828328,TRIM25,2.1208296,2.1693272137185822e-33,12.303718,MCM4,3.4849472,2.1883050234436575e-173,28.288998,H3F3A,1.5034518,5.0079995719766486e-39,13.31764,SHCBP1,3.9999766,0.0,39.342663,COL6A2,3.513474,0.0,55.99741,DKK3,2.6760252,0.0,52.714287,NAV1,2.1238406,0.0,52.06867,STC2,2.802001,0.0,44.968887,UBE2O,4.6792865,1.1119349825091382e-64,17.211508,TMC8,3.7122078,2.1642642928948353e-70,17.941292,TRIB1,2.6351228,1.0826190458391292e-07,5.6742177,FCRL1,10.941503,9.007042385470155e-20,9.541729,NLK,3.3004038,7.315734231551692e-05,4.9139733,DRAP1,1.524828,6.569200489113162e-26,11.015056
LIPA,3.328601,0.0,45.853043,PLD3,1.7265052,2.295968633421056e-216,31.597975,GRN,3.1922488,0.0,67.70872,FCER1A,5.779659,0.0,57.673244,ITGA2B,4.308675,5.673858864287166e-133,24.800812,IL1B,3.5911355,1.2827322838329917e-283,36.16453,TXNIP,2.5578907,5.819714941290253e-40,13.633178,SLC11A1,2.9399626,5.671801674298626e-32,12.029162,MCM3,3.5960271,6.250109258098301e-173,28.251026,ARHGAP4,2.9562304,1.630438890762448e-38,13.227853,KIF20A,4.8679233,0.0,39.241856,COL5A2,2.581124,0.0,55.435375,ADAM12,2.8265233,0.0,52.684456,LIMA1,2.1647844,0.0,51.855286,ARSJ,2.4781845,0.0,44.94214,MPP1,2.7699466,3.1581970289779836e-63,17.012016,SYNE2,5.448642,3.6070902845933886e-69,17.781824,IRF4,4.582849,1.1741687784141885e-07,5.6590915,OGA,2.5933435,2.6956882560823156e-19,9.421601,HEMGN,5.232673,7.575863463862197e-05,4.900638,MAP4,2.5763845,1.182519076680881e-25,10.955139
