C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score,C16_names,C16_logfold,C16_pvals_adj,C16_z_score,C17_names,C17_logfold,C17_pvals_adj,C17_z_score,C18_names,C18_logfold,C18_pvals_adj,C18_z_score,C19_names,C19_logfold,C19_pvals_adj,C19_z_score,C20_names,C20_logfold,C20_pvals_adj,C20_z_score
C10orf88,-0.5964764,0.006813896505093533,-3.0037382,FDX2,-0.61085796,1.1488125022763423e-08,-5.9319434,NCKIPSD,-0.40156794,0.00018056670452681,-3.9551935,PAF1,-0.119699255,1.3081828318277808e-24,-10.370163,INO80C,-0.37411496,1.949348615251247e-06,-5.0266423,STEAP3,-0.81539124,1.9550746696606157e-14,-7.823752,TMEM44,-2.5674968,5.996526323961199e-06,-4.8204093,TNKS2,-0.25759035,2.767989345980047e-07,-5.40242,MS4A3,-4.1367626,0.035230625172109294,-2.521886,TADA2B,-0.65915775,6.574283264009952e-08,-5.655378,CYP2E1,-1.8805535,0.9779896097481691,-0.620933,HIGD1C,-17.174986,1.0,-0.010757411,C12orf40,-17.50081,1.0,-0.010997421,SOX5,-19.941244,1.0,-0.08982834,RERGL,-15.511007,1.0,-0.00960211,YWHAB,-27.240896,4.869304016228194e-14,-7.723374,HPS1,-0.39055097,4.539952182096422e-15,-8.018138,SLCO3A1,-2.2853787,0.0002248129694002061,-4.046475,TMEM64,-0.6446307,0.0010547185440612419,-3.6620197,PAG1,-2.3965366,0.3499970170582294,-1.7281197,NGF,-2.8555624,0.00044954943828192224,-3.8774366
SERTAD4,-24.111044,0.006812011681993933,-3.0038652,TBL1X,-0.4692313,1.1456503202767103e-08,-5.9324307,MOCS1,-23.473818,0.0001804330855548908,-3.9554017,MID2,-5.4846406,1.3041723505667803e-24,-10.370477,UBXN1,-0.30839643,1.9458440587118274e-06,-5.027029,FBXO32,-2.9868789,1.9378399964664007e-14,-7.8248925,PPP2R3C,-0.17509103,5.992993055119658e-06,-4.820573,RABEPK,-0.9961938,2.720149552477549e-07,-5.405587,COPB1,-0.09024975,0.035208226995213004,-2.5221684,GSTA4,-2.5848649,6.551009029288047e-08,-5.656027,RUBCNL,-23.299559,0.9767225710215168,-0.6222615,MYBPC2,-17.276936,1.0,-0.010757411,PHACTR3,-17.098207,1.0,-0.010997421,OR2G3,-19.883398,1.0,-0.08982834,RHO,-15.852498,1.0,-0.00960211,FAM241A,-27.310863,4.869304016228194e-14,-7.723374,RASSF4,-4.559795,4.539952182096422e-15,-8.018142,TBCE-1,-6.2463064,0.0002248129694002061,-4.0464997,NKAP,-1.2188114,0.001053903373032948,-3.6622775,NAGLU,-1.7214062,0.3499970170582294,-1.728145,NIP7,-0.7384975,0.00044686178142390286,-3.878953
F2RL2,-4.495045,0.006759923253501243,-3.006286,KAT7,-0.14122084,1.1445084386449722e-08,-5.932629,ZBED8,-3.5962262,0.00018040505638053465,-3.95547,GON4L,-0.24059306,1.2524090343117193e-24,-10.374366,FBXO3,-0.2763335,1.9369650752446543e-06,-5.027948,NOSIP,-0.4615804,1.9129844188747277e-14,-7.826543,TNFAIP1,-2.2450652,5.938609688553513e-06,-4.8224835,LRRC57,0.07842614,2.714390133053365e-07,-5.4060087,ARHGEF1,-0.17141719,0.03510138608481732,-2.523296,ARHGEF17,-1.7347687,6.515205650692109e-08,-5.657008,VSTM4,-0.036620215,0.9766750256667317,-0.62251854,GPR32,-17.232933,1.0,-0.010757411,TTC6,-16.977354,1.0,-0.010997421,TGM3,-19.845003,1.0,-0.08982834,OR4S2,-16.922016,1.0,-0.00960211,ACTL6A,-27.241226,4.776077364761065e-14,-7.725897,SPTY2D1,0.0055676773,4.539952182096422e-15,-8.01818,KBTBD2,-1.5234903,0.0002248129694002061,-4.0465307,ATP10A,-26.63265,0.0010521807653172902,-3.662756,PLAAT3,-26.148024,0.3499970170582294,-1.7282718,NKIRAS2,-1.2353565,0.00044659654857028404,-3.879155
SMG9,-0.7122755,0.006738077338345045,-3.007356,PROSER1,-0.171362,1.142519369722127e-08,-5.9329495,PARPBP,-1.5408186,0.0001775438650474543,-3.9593837,NCAPD2,-1.4383723,1.2524090343117193e-24,-10.374384,HERPUD2,-0.07896492,1.933088691925259e-06,-5.0283732,MAD2L1,-2.5096285,1.8072275303976733e-14,-7.8337193,PIGN,-0.5064218,5.9333226205928484e-06,-4.822707,RINT1,-0.13990024,2.689328158504394e-07,-5.4077125,COLGALT1,-0.1014277,0.035078409016364026,-2.523585,IPO9,-0.6731311,6.440306670138306e-08,-5.6590333,WHRN,-2.043406,0.9762269211859494,-0.62305534,OTOS,-15.014981,1.0,-0.010757411,CCDC201,-16.898232,1.0,-0.010997421,C1orf127,-18.313303,1.0,-0.08982834,NEUROD4,-17.835396,1.0,-0.00960211,IL1RAP,-27.553556,4.776077364761065e-14,-7.725897,BRD3OS,-1.7575469,4.5350612233487806e-15,-8.018357,TMCO3,-0.35471657,0.0002244559736282086,-4.047015,DDX18,0.18630864,0.0010511558571579976,-3.6630652,CHORDC1,-0.5331054,0.3492547179015503,-1.729438,ZDHHC8,-0.77277935,0.00044561554968034937,-3.8797472
MYOCD,-6.4760394,0.006696549104046973,-3.0093205,KANSL1,-0.14583068,1.129998909545912e-08,-5.9347925,NUP160,-0.73157775,0.00017657287679526682,-3.9607246,SHOC2,-0.26057583,1.185334250740327e-24,-10.379663,ZNF398,-1.3386244,1.9275789959727323e-06,-5.028962,WDR83OS,-0.31038085,1.798111882285165e-14,-7.8343816,SRSF9,-0.5718165,5.92333575303658e-06,-4.8230896,DLG1,-0.16188692,2.689328158504394e-07,-5.4077373,EXOC4,0.09371709,0.034513275507320716,-2.5295832,IPO5,-0.23068869,6.398072968613006e-08,-5.6602025,SEPTIN1,-1.2807072,0.9752214430125737,-0.6239735,BANF2,-16.909239,1.0,-0.010757411,DOC2B,-16.672396,1.0,-0.010997421,CLEC4G,-19.159565,1.0,-0.08982834,ITPRID1,-17.102892,1.0,-0.00960211,ANP32E,-2.4470282,4.7694281266608224e-14,-7.726135,OSBPL10,-26.660406,4.3373044370559566e-15,-8.023862,MS4A7,-4.5810056,0.00022421816262303945,-4.0473194,SUN2,-0.20181902,0.0010493771149477258,-3.6635587,KIF7,-2.9616337,0.3492547179015503,-1.7294633,NAV1,-0.74769926,0.0004454463807596263,-3.8798969
IL9R,-6.1129775,0.006638643239773646,-3.0120437,MIOS,-0.23620808,1.1097690229665638e-08,-5.937791,MAOB,-7.00662,0.00017649026689635345,-3.9608674,CHCHD1,-0.36324108,1.1793514118319275e-24,-10.380167,ABHD13,-0.35971102,1.9202007832867455e-06,-5.0297394,HMGXB3,-0.5990552,1.7576012719877074e-14,-7.8372707,TRPV4,-3.885174,5.904952011187748e-06,-4.8237553,CYFIP1,0.076481655,2.6880190599517075e-07,-5.407883,CAP1,-0.31400076,0.03449746634525798,-2.5298028,RFNG,-0.3616682,6.38610354353184e-08,-5.660564,MTHFD2L,-0.17443295,0.9743100761737452,-0.62494344,KRT75,-15.739577,1.0,-0.010757411,GNG8,-17.355219,1.0,-0.010997421,TTC22,-20.832216,1.0,-0.08982834,APOBEC2,-17.329082,1.0,-0.00960211,TERF2,-3.3911884,4.740166628193212e-14,-7.726949,ZC3H12A,-1.2101352,4.3204509261042105e-15,-8.024368,PSMD9,-0.66192126,0.00022411725890624567,-4.047481,SLC25A16,-2.8877747,0.0010483246514654018,-3.6638753,E2F6,-2.1768517,0.3492547179015503,-1.72959,DMD,-2.03678,0.00044507478113134483,-3.880157
GP1BB,-6.117829,0.006578644905944124,-3.0148416,APMAP,-0.06871682,1.1049467574549258e-08,-5.9385395,DUS2,-0.4133743,0.000174154283743132,-3.96411,MAP7D3,-0.6014388,1.1391042697686816e-24,-10.383502,ARF3,-0.2134603,1.914301435217792e-06,-5.0303707,MID2,-4.528442,1.735424601255163e-14,-7.838892,TM2D2,-1.3447833,5.902602718342877e-06,-4.8238807,VLDLR,-1.6870302,2.6479506990574127e-07,-5.410615,KDM3A,0.0598064,0.03449746634525798,-2.5298398,PIR,-3.0859082,6.356639591361689e-08,-5.661398,DHRS4,-1.025329,0.9740356172153782,-0.6253704,IL2,-17.755701,1.0,-0.010757411,POU6F2,-15.242906,1.0,-0.010997421,FAM90A1,-19.092808,1.0,-0.08982834,PPP1R17,-18.208536,1.0,-0.00960211,GRK3,-5.267345,4.734033557391712e-14,-7.7271442,TM2D2,-1.6124501,4.316456605492606e-15,-8.02451,XYLT2,-0.7714463,0.00022411725890624567,-4.047506,RRM2B,-1.1976434,0.0010464299998541684,-3.6643982,DCAF17,-2.8215158,0.3492547179015503,-1.7296915,NECTIN1,-1.8702316,0.00044464398837325606,-3.88045
CENPJ,-1.0731826,0.006573395465275288,-3.0151265,TOM1L1,-0.5138141,1.0898600963851371e-08,-5.940863,MTR,-0.4434404,0.00017125604798863713,-3.9681745,PCIF1,-0.37135673,1.1308499892080212e-24,-10.384216,VOPP1,-0.7210171,1.911352829330457e-06,-5.0307074,AAMP,-0.2603744,1.6936475998166342e-14,-7.841978,CFH,-26.606493,5.896055461194761e-06,-4.824148,STAG2,-0.09978026,2.6421337563270494e-07,-5.411051,CDKL3,-0.7230826,0.03449746634525798,-2.5299134,LRCH3,-0.31975368,6.310594624728963e-08,-5.662685,DIO2,-0.49214318,0.9740356172153782,-0.62542015,SIGLECL1,-15.865643,1.0,-0.010757411,SPEM1,-17.117208,1.0,-0.010997421,C17orf99,-20.512543,1.0,-0.08982834,SPSB4,-15.85256,1.0,-0.00960211,TENT5A,-4.8015213,4.630634127051593e-14,-7.729986,CCL3,-3.3136067,3.86912820523032e-15,-8.03796,STRIP1,-1.7322323,0.0002234884143304012,-4.0482507,PIEZO1,-0.47857657,0.0010431870239962717,-3.6652522,TBC1D5,0.08420139,0.34917995843937977,-1.7299703,USP38,-4.0884633,0.00044378581413533004,-3.8809772
ZNF236,-0.63800085,0.0065668203207592925,-3.015473,ITGA2B,-5.60927,1.0886225487380122e-08,-5.9410844,MMP14,-0.19872999,0.0001710619942326076,-3.9684758,AKAP8L,-0.33851415,1.095882738419319e-24,-10.387234,UNC5B,-0.77240384,1.895315184724551e-06,-5.0323644,DNTTIP1,-0.25406697,1.6873791821731206e-14,-7.84247,CACTIN,-1.0626462,5.861998707433988e-06,-4.8253493,NQO2,0.129916,2.6414132921111157e-07,-5.4111414,ZNF106,0.031412132,0.03437803615985348,-2.5311954,FLCN,-2.0519197,6.265008176374555e-08,-5.663969,SCIN,-1.5644507,0.972794807603497,-0.62664914,PRLH,-16.11223,1.0,-0.010757411,XCL1,-18.05236,1.0,-0.010997421,CLEC6A,-19.835993,1.0,-0.08982834,OR6Q1,-17.333515,1.0,-0.00960211,TTC1,-2.896501,4.5523896354097147e-14,-7.732186,ABCF1,-0.179089,3.8154048323572146e-15,-8.039702,PSMG3,-1.1061466,0.0002231391080553129,-4.048673,CTNS,-2.5211751,0.0010408516713195561,-3.6658854,NDUFA10,-0.20136252,0.34917995843937977,-1.7300718,USP11,-1.0973938,0.0004435817417627295,-3.8811464
TROAP,-3.9911668,0.006518561301002735,-3.0177948,WDR12,-0.5377155,1.0274115156491804e-08,-5.9505973,MED16,-0.85976136,0.00017088931339596713,-3.9687476,ZNRD2,-0.5391502,1.078557534735158e-24,-10.388774,CHTOP,-0.2558072,1.8921846083163411e-06,-5.0327225,AGO2,-0.32718438,1.6586989027198082e-14,-7.8446484,SSU72,-0.44220507,5.839477581231874e-06,-4.8261623,NECAP2,-0.06867654,2.630383566165876e-07,-5.411932,NPR2,-0.30916688,0.03433461929168109,-2.5316973,TMOD2,-1.3804419,6.210782578924986e-08,-5.6654997,MSLN,-1.4965001,0.972794807603497,-0.62667817,LY6G6E,-17.081589,1.0,-0.010757411,FSIP2,-17.625772,1.0,-0.010997421,SPINK1,-20.23047,1.0,-0.08982834,PCK1,-17.72423,1.0,-0.00960211,TMEM185A,-27.19887,4.50788091269641e-14,-7.733466,ECSIT,-0.8587458,3.7650819380279484e-15,-8.041358,SNRPB,-1.7598153,0.00022247727492268074,-4.0494246,GAB2,-1.1885967,0.0010299163882935992,-3.6686468,ADPRHL2,-2.821143,0.34868457179630014,-1.730959,TRMT2A,-2.1178184,0.0004435817417627295,-3.881166
