C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score,C11_names,C11_logfold,C11_pvals_adj,C11_z_score,C12_names,C12_logfold,C12_pvals_adj,C12_z_score,C13_names,C13_logfold,C13_pvals_adj,C13_z_score,C14_names,C14_logfold,C14_pvals_adj,C14_z_score,C15_names,C15_logfold,C15_pvals_adj,C15_z_score,C16_names,C16_logfold,C16_pvals_adj,C16_z_score,C17_names,C17_logfold,C17_pvals_adj,C17_z_score,C18_names,C18_logfold,C18_pvals_adj,C18_z_score,C19_names,C19_logfold,C19_pvals_adj,C19_z_score
KIT,6.871914,0.0,69.77414,LAPTM5,1.6164702,3.010319808812498e-137,25.230991,ACP5,2.0277958,0.0,38.578537,PHACTR1,1.9270544,0.0,43.942493,SIGLEC5,2.9663894,0.0,44.95455,CES1,3.1924684,0.0,45.6101,BHLHE41,2.5736094,1.5409771569549314e-187,29.447292,ADTRP,3.2204385,0.0,52.002045,CKAP2L,3.5632186,0.0,40.164867,RRM2,3.2998474,3.2014681695633696e-26,11.265268,PYGL,2.2017024,2.354543817889817e-138,25.280697,SAMSN1,2.491843,6.927873873162335e-123,23.883026,BEX1,3.4396162,0.0,38.248684,BEX1,4.380968,0.0,49.638954,COL5A1,8.5471,1.182055592666221e-100,21.634544,NABP1,2.0337725,1.4783307955945832e-68,17.86106,CD44,1.7660289,4.8933522498344105e-161,27.31295,S1PR1,4.851611,7.084927805479766e-06,5.5959473,RGS18,6.2316165,1.7693475043768193e-19,9.80454,PRKAR2B,5.313755,7.904432352683182e-08,6.5231266
SEMA7A,5.070747,0.0,68.90453,SAMSN1,2.3393738,6.849544251238137e-135,25.011831,PLA2G7,1.9353693,0.0,37.783108,CHI3L1,2.38868,0.0,43.53063,S100A12,5.09039,0.0,44.938293,CSTB,2.318419,0.0,45.21006,ADTRP,2.6793427,5.008202877232887e-187,29.405226,C1QA,3.8171802,0.0,51.69861,TACC3,2.919497,0.0,38.53685,HMMR,3.9857616,3.8672598152824314e-25,11.035838,PRG3,8.553239,3.6063504687523337e-131,24.615711,CLU,3.0994046,2.030475385095791e-122,23.834686,NKG7,3.0463562,0.0,38.110245,SLPI,4.241291,0.0,49.204266,DKK3,10.286248,1.504994273439631e-98,21.403162,PPARG,2.147174,4.364290289971353e-68,17.7968,MAFB,3.0845387,3.176150593051271e-160,27.241287,PNRC1,1.7281727,1.4819987361838087e-05,5.434621,PTGS1,4.3412085,2.8054237504066894e-19,9.749063,ALAS2,10.761911,7.904432352683182e-08,6.5207796
HDC,5.2719245,0.0,67.44529,HIST1H1B,3.5231378,1.3933379799846664e-134,24.98027,CXCL16,1.7743089,2.1772880430994203e-300,37.23569,NFKBIA,1.7707949,0.0,43.02326,CHI3L1,2.957944,0.0,43.98227,TGM2,3.0516179,0.0,45.01632,S100A10,2.1518772,1.3324488530183507e-183,29.134155,IRF8,3.924727,0.0,51.453053,ANXA3,2.59667,0.0,38.26271,BHLHE41,2.7348397,4.401928964363205e-25,11.016987,PLPP1,3.5070279,4.902133322264122e-128,24.318575,CYTIP,2.7696111,4.466491881850522e-122,23.798538,NCAPG2,3.1395276,0.0,38.05593,CEACAM6,4.3767085,0.0,47.56687,PRSS23,8.417064,2.624629722842321e-98,21.374205,CSF1,2.0740554,1.3656259478996155e-65,17.470192,CD14,2.567138,7.096420645680055e-158,27.03931,BTG1,3.2774873,2.0483125970321546e-05,5.3611503,PF4,13.642625,3.2633726416237526e-19,9.725556,LEPR,5.2389307,8.163494669723363e-08,6.506836
MS4A2,5.3347354,0.0,66.16506,SIGLEC6,3.329461,5.237399795820304e-131,24.64607,LITAF,1.1964124,2.8454577654482768e-300,37.226772,PPP1R15A,1.7204759,0.0,41.99242,DYSF,2.6108286,0.0,43.632156,SLC7A7,2.3752391,0.0,45.006245,CSTB,2.127896,1.1757221372232638e-177,28.657293,CES1,3.825835,0.0,51.37021,HMMR,4.05276,0.0,38.01651,SPARC,2.7809138,5.9695720494946015e-25,10.982834,CELF2,1.2351974,6.280684255159796e-98,21.25302,CPA3,3.9830785,3.057890064411564e-120,23.617685,SRGN,2.5319974,0.0,38.004326,BPI,3.8167853,0.0,46.852245,TPM2,7.8788342,7.286021573248918e-98,21.32365,RSRP1,2.3419518,1.4731807330769335e-61,16.920252,TLR2,3.016375,1.366953676862474e-156,26.927088,CCR7,9.907777,2.518388833550968e-05,5.316384,PLEK,3.3083467,8.79972356324272e-19,9.616466,CDK4,2.8984466,1.521090173957159e-07,6.3878417
RAB27B,5.8684225,0.0,65.964874,ITGA2B,3.6536179,1.5472501478291182e-130,24.599352,CTSH,1.8510594,3.241004085785951e-293,36.786392,CCL3L1,3.5291758,0.0,41.762447,CEACAM1,4.1044683,0.0,43.491394,LTA4H,2.2760067,0.0,44.914433,PLPP3,2.2925193,3.6957573034307844e-171,28.126083,CD74,3.2022538,0.0,51.347664,CKS1B,2.8770337,0.0,37.950832,MARCO,3.1636212,9.633742023890812e-25,10.933269,EGR3,2.3700209,1.0631498637084827e-96,21.116707,FCER1A,4.0048437,2.4584383676398236e-119,23.526686,SLPI,3.4848106,0.0,38.00314,CTSG,4.2602763,0.0,46.209938,MYL9,6.987143,1.9294239565095383e-97,21.275352,PDXK,1.6872672,1.4731807330769335e-61,16.919004,TGFBI,3.3806543,1.0603243521137031e-151,26.503656,SATB1,4.2139378,2.6570984914114534e-05,5.299567,PRKAR2B,7.1653175,1.1523716960276293e-18,9.581554,REXO2,3.3597393,1.6377658211051653e-07,6.369047
GLUL,2.2038515,0.0,65.631584,CRIP1,3.3298473,1.8611273445087754e-129,24.49557,CTSD,1.4764864,1.5176743945463368e-288,36.491535,MCL1,1.3382765,0.0,41.138206,MXD1,2.6475909,0.0,43.388424,MARCO,2.8786483,0.0,44.770615,FABP3,2.9150639,1.0736036360050626e-166,27.757238,MS4A7,3.3424857,0.0,51.30726,NKG7,3.0308583,0.0,37.803608,IDH2,2.045467,2.88935838786291e-24,10.827269,CEBPE,2.7459733,6.479054873312981e-90,20.355423,MS4A2,3.8343387,1.5734826621536602e-116,23.243544,AZU1,3.7376077,0.0,37.78051,PLAC8,3.4117203,0.0,45.42447,CTTN,7.0918756,7.907176349914329e-97,21.204138,TRIM25,1.9807626,1.319300952541632e-59,16.645117,ADA2,2.7622027,1.3411937931242442e-146,26.054808,KMT2E,2.5416546,3.421265556447401e-05,5.235419,MAPRE2,3.7132747,1.8259754960453892e-18,9.527206,HMGN5,3.874947,2.365365137498318e-07,6.2983294
ACSL4,3.440191,0.0,65.35128,SEMA7A,3.3358026,3.6950591430388464e-128,24.370987,HS3ST2,2.1390562,6.426279598470277e-283,36.133522,METTL9,1.8545692,0.0,40.20937,CORO1A,2.6275153,0.0,43.197815,CYP27A1,2.7224972,0.0,44.66751,AGPS,1.6059021,1.5432694209892747e-165,27.659695,NRP2,3.6683178,0.0,51.249115,BPI,3.2962325,3.5012598053950756e-306,37.588673,TPX2,3.3684754,3.970380384452736e-24,10.792551,ANXA1,1.0707611,4.749519779117212e-87,20.024988,PRNP,2.7836735,8.058612900618521e-113,22.869457,HELLS,3.4255412,0.0,37.72246,MLC1,3.7947793,0.0,45.295322,CTHRC1,9.18848,1.8607143417309627e-93,20.83329,AHNAK,2.1718178,2.378888661240842e-58,16.467176,DUSP1,1.8822457,8.99099076476114e-136,25.078892,LIMD2,4.231854,6.563713881370319e-05,5.0766573,MMRN1,8.970586,4.8369790514704885e-18,9.41915,KCNH2,5.4267273,2.8527509524251794e-07,6.262587
FCER1A,5.1821184,0.0,64.6482,PRG2,3.292952,1.2100027191451103e-122,23.840473,SGK1,1.5309937,1.0822809431005256e-278,35.861965,NAMPT,1.7869543,0.0,39.824787,ADGRG3,2.8283927,0.0,43.056755,MS4A7,2.713706,0.0,44.57928,ZFYVE16,2.0355036,1.1341219311925638e-163,27.501308,EPHX1,2.9859996,0.0,50.94457,CDK1,3.2988894,2.054016524834492e-300,37.23236,TYMS,2.7733471,3.301824962781067e-23,10.590824,CORO1A,1.7117374,1.8823490883975215e-85,19.838528,SEMA7A,3.4482603,2.2753303364336495e-105,22.103977,PCLAF,3.3856006,2.9407033282563097e-304,37.466366,NKG7,3.2850027,0.0,44.976166,COL4A2,10.017908,1.0492381866058942e-92,20.745914,SLC11A1,2.9096758,8.407421025641935e-55,15.951311,CXCL8,2.0978262,1.6824499926504672e-133,24.867445,ETS1,4.406179,6.563713881370319e-05,5.076339,GP1BB,7.118357,1.3043171588218821e-17,9.308345,EIF1AY,3.4759943,3.162529621012377e-07,6.240115
SLC18A2,5.618073,0.0,64.095955,CKAP2L,3.8215163,1.2518351559655398e-121,23.738226,B2M,0.7144116,8.986566430130616e-278,35.80158,MARCKS,2.0735564,0.0,38.434124,SYNE1,3.830803,0.0,43.0306,ARRDC4,2.2639413,0.0,44.555466,PLD3,1.8697041,8.448926092285869e-163,27.426964,TFRC,2.8039207,0.0,49.07866,TSPAN2,2.8410282,2.975882038631226e-297,37.035038,CD52,1.9599639,2.263625218414933e-22,10.403954,EIF1B,1.2952977,2.6851032464786134e-82,19.46412,EMP3,1.947295,1.012182330849793e-97,21.284883,HIST1H2BH,3.4914732,4.175346840960253e-304,37.454723,FAM107B,1.9153003,0.0,44.418465,PXDN,9.792022,1.8099575813016477e-92,20.717628,TNFAIP2,2.618991,3.7936593175977926e-54,15.852884,ITGA5,2.0936174,1.0682112568193273e-132,24.790949,RACK1,2.836918,7.446782782440464e-05,5.0417666,NLK,4.37201,2.1636638049384924e-17,9.248648,OSBP2,7.663739,5.17512811644977e-07,6.1564093
IL1RL1,4.901428,0.0,62.941856,SLC18A2,3.4299498,6.88750339479016e-118,23.36936,GPNMB,2.1759846,2.335738901987069e-274,35.57889,LCP2,1.323779,0.0,38.180416,MMP8,4.7720847,0.0,42.544262,PCOLCE2,2.4567301,0.0,44.442337,CTSB,1.9075755,2.3495082162006765e-162,27.388418,SPARC,3.2495453,0.0,48.9085,FPR2,2.6678283,4.0935302837644043e-287,36.39697,MS4A7,2.6422815,6.313338383769775e-22,10.300865,ARL4C,2.9396977,3.687176282213569e-76,18.71806,SFXN1,3.2890048,9.014023712462908e-96,21.071726,ARHGDIB,1.7931716,4.175346840960253e-304,37.45447,ATP8A1,3.2676878,0.0,43.973698,IGFBP4,7.0287213,3.454678703881906e-90,20.461184,MT-CO2,3.4384441,4.342182079903083e-54,15.843422,CTSL,2.404642,5.238788013101192e-131,24.631607,MAL,13.302421,9.040580233318454e-05,4.9948034,FERMT3,2.531521,3.362734997670401e-17,9.195878,PDZD8,2.6447816,9.264740459730667e-07,6.0573983
