C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score
LEPROT,0.49219656,3.139138811957985e-17,8.743742,FASTKD3,1.5426704,1.0,0.35134438,SMC4,0.3839855,0.0004983883787307077,3.989131,COMMD7,0.94804406,0.001262289267262969,3.5317295,HS6ST1,0.7283833,0.4868517766071013,1.2990947,MAPKAP1,0.5661511,1.7296892268542832e-37,13.000358,CCL23,0.17498879,0.35072082933661675,1.8206353,TGFB1,0.2625382,0.022541477428907105,2.8614585,ELL,0.58620024,1.0,0.10382873,PVALEF,0.0,1.0,0.0,MANF,0.7581105,0.2544828598572709,2.0738218
SPG21,0.37456214,3.323832630097714e-17,8.737197,SLC6A13,3.8685138,1.0,0.35126066,LCMT1,0.7571445,0.0005093663433869307,3.9838605,ANTXR2,1.117001,0.001288401907390534,3.526087,FKBP1B,1.67511,0.4942063266129936,1.2885593,ATMIN,0.7499126,1.8222177923630805e-37,12.996311,DCLRE1C,0.9883223,0.351200265143622,1.8195087,LRP8,0.59542555,0.02255047706600536,2.8612108,BET1L,1.7535517,1.0,0.103224754,ZG16,0.0,1.0,0.0,PDCD1LG2,0.95284003,0.2590033288875554,2.065206
XIAP,0.39332917,3.3257717669306025e-17,8.737044,PRSS36,1.941144,1.0,0.35121414,CHPF,1.9798114,0.0005150373729085753,3.981131,CRBN,1.1162183,0.0012891287265319417,3.5258484,CEP152,1.5657552,0.4960603499951585,1.2861171,DMXL1,0.49862996,2.181065127870203e-37,12.982493,MANEA,0.7144849,0.3513275615579713,1.8190902,RAB11B,0.18878521,0.022732847155507017,2.8584688,SKI,0.6706528,1.0,0.10240115,KBTBD12,0.0,1.0,0.0,CDK7,1.5540949,0.25913571714610667,2.0648446
HES2,1.1513703,3.332516826974727e-17,8.736729,AXDND1,2.3825336,1.0,0.35120484,VMP1,0.3943642,0.000526861292244253,3.9755359,NAA10,1.1436996,0.0012951726140178932,3.5245645,PRTFDC1,2.5477564,0.4985012406991471,1.2826949,SERPINB8,0.40446326,2.2430390366019586e-37,12.980288,CEP41,0.85693896,0.3560504134927603,1.8119038,MAP4K4,0.29935357,0.023049209205204698,2.8538935,KIAA0232,0.9798562,1.0,0.10229134,LMX1A,0.0,1.0,0.0,STS,1.2495881,0.26015104256710264,2.0630789
ITGB2,0.52592033,3.411370369064449e-17,8.733998,EPM2AIP1,1.2948527,1.0,0.35056287,PSMG3,0.97074777,0.0005283350764731533,3.9747722,ZNF260,1.3603215,0.001339514199747128,3.5150967,TNFRSF18,1.9667625,0.5009079417440157,1.2794149,DUSP3,0.59219724,2.387879278595937e-37,12.975413,HYI,1.0807159,0.35709749203196445,1.8103185,CDKN2D,0.8100282,0.023331890098812397,2.849456,C19orf48,0.5246309,1.0,0.102236435,CLEC3A,0.0,1.0,0.0,ELK3,2.26156,0.26203391347311294,2.059356
CSF1,0.5190726,4.183617725564821e-17,8.710725,PDLIM4,1.4273896,1.0,0.34931618,EIF3M,0.60694534,0.0005290270775702056,3.9743621,SENP7,1.4770536,0.0013777569927483492,3.5071683,CCND2,0.68910927,0.5025296873869912,1.2770991,CYP3A5,1.9543848,2.387879278595937e-37,12.975374,CXCL16,0.07940501,0.3573839573797253,1.8098276,SIGLEC7,0.66353065,0.02355245931231369,2.8460865,TNK2,2.3166564,1.0,0.10218153,DCDC1,0.0,1.0,0.0,SEM1,0.97243226,0.26353217657253225,2.056399
CCDC47,0.34894916,4.222895806182392e-17,8.709579,GCGR,4.4976144,1.0,0.3480974,LZTFL1,1.4631273,0.0005387479260405165,3.9697297,ATP1A4,3.2644134,0.001415143852826665,3.4999478,LNX2,1.6699145,0.5030665677252406,1.275882,PTGR1,0.87673426,2.5606642530392194e-37,12.9699,LMBR1,0.4371273,0.35941654189920824,1.8067936,C18orf32,0.14758724,0.02369821393321932,2.8437464,NUP50,0.5120012,1.0,0.101742275,ZAN,0.0,1.0,0.0,PPA1,2.2583096,0.26681844081647493,2.0508254
FLCN,0.45860282,4.289241349525269e-17,8.707726,SLC20A1,0.56093913,1.0,0.3480695,NAA15,0.6002594,0.0005430588681614121,3.9677184,DCLK2,2.4550366,0.0014890559478566556,3.4859037,NT5DC2,0.9171913,0.5030665677252406,1.2758425,GLG1,0.91444176,2.9348831832989574e-37,12.959381,ZC3H18,0.46955466,0.36132167091750816,1.8040897,YPEL3,0.4497704,0.023857556855639294,2.841423,GIGYF2,0.6147553,1.0,0.10146774,PTH2,0.0,1.0,0.0,C1GALT1,1.719713,0.267088229120852,2.0499532
ITGAV,0.4117104,4.506651932478397e-17,8.70203,SLC26A7,6.012139,1.0,0.34796715,KHSRP,0.53041303,0.0005430588681614121,3.9676328,RBM38,1.3485698,0.0015293581598360185,3.4783933,MMS22L,1.8594474,0.5033667846165966,1.2752656,YARS,0.7570276,3.290527766074838e-37,12.950484,BSG,0.17028159,0.36280983834573044,1.8020939,DRAM1,0.15936254,0.024413603858703357,2.8335059,SMARCAL1,0.72180754,1.0,0.10141283,C3orf85,0.0,1.0,0.0,NPM3,1.108709,0.2683205430531113,2.047443
RTF1,0.34737328,4.664290760843388e-17,8.698042,PLEKHM3,1.4007035,1.0,0.34766942,DNAAF5,1.206936,0.0005513915888180974,3.9638038,LYSMD3,0.9409535,0.0015424500727946894,3.475928,AREG,0.53385323,0.5035063370961436,1.2750285,IMPACT,0.37368557,3.40151139016887e-37,12.947877,MCU,0.7639876,0.3662610336769261,1.7966617,XRN1,0.3247494,0.024519359255800656,2.8320303,UBE2J1,0.7132429,1.0,0.10086376,ZP2,0.0,1.0,0.0,SUN1,1.2563906,0.26978370549886044,2.0450392
TTC3,0.26693454,4.809646990548437e-17,8.694471,ATP6V1FNB,2.0696433,1.0,0.34595755,TCERG1,0.4953365,0.0005530225464962823,3.9630005,AMHR2,5.095357,0.001646235096067955,3.457794,NDST2,1.0329736,0.5036319874402821,1.2748072,SRC,0.41668504,3.7606640851141223e-37,12.940108,IRS2,0.30631313,0.36770424524705037,1.7940785,SF3B5,0.10738221,0.024694228322317793,2.8291948,SPOP,0.5511562,1.0,0.10064414,SSU72P8,0.0,1.0,0.0,BCR,0.955685,0.2705863760193,2.0436563
PNP,0.49790204,4.938391598996566e-17,8.691384,LOXL3,1.7065642,1.0,0.34593895,SNX4,0.55600744,0.0005548185884099394,3.9619007,PTPN22,0.5145093,0.0016821999385657422,3.4518316,NFATC2IP,1.0588387,0.5044271698964838,1.273669,NME2,0.40772963,3.795412341935098e-37,12.939342,GMEB1,0.6036981,0.3696206396551621,1.7911009,HSD17B10,0.43944904,0.02506719601319592,2.8231769,JRKL,0.5728831,1.0,0.10042451,GRID2IP,0.0,1.0,0.0,PCDHGB7,4.4571514,0.27259762095236995,2.039827
CHIT1,3.2642496,5.034073206046543e-17,8.689118,GPC4,2.345585,1.0,0.34519467,GPR150,2.036413,0.0005548185884099394,3.9618325,CCNB1IP1,1.2885151,0.0017323913598050137,3.443349,PIMREG,4.6989155,0.5060196387005159,1.2715983,CEPT1,0.5204479,3.796498102549024e-37,12.9392605,NAPRT,0.53956074,0.3706487084619367,1.7892902,RNPEP,0.15397798,0.02550589326281575,2.817049,ZYG11B,0.8068001,1.0,0.09976563,APOA4,0.0,1.0,0.0,ENPP2,1.5065806,0.27259762095236995,2.039827
AGGF1,0.49086288,5.096515286109814e-17,8.687631,TUBGCP5,1.4614705,1.0,0.3448225,HECTD1,0.76158345,0.000556990762040867,3.9608011,CBX4,0.6998992,0.0018376997668349449,3.4268608,NUP37,0.8922099,0.5070614801142445,1.2702153,PEAK1,0.7136464,3.879796682026667e-37,12.937533,TMEM201,1.0385695,0.37122567171621373,1.7883245,MAST3,0.53059924,0.025644847056032215,2.81521,ZNF12,0.5831621,1.0,0.09938128,DDI1,0.0,1.0,0.0,KTN1,0.8292867,0.27390534059779154,2.0371468
CNPY3,0.37010846,5.291782029960951e-17,8.68327,GSTO2,2.9408982,1.0,0.34472016,BNIP1,1.4628216,0.0005599549410148682,3.9593368,PDE4D,0.81176287,0.0018680673589756556,3.422272,AGFG2,1.4352716,0.5076363414045126,1.269251,RNPEP,0.43767008,3.880910694791018e-37,12.937451,HAUS3,1.1424022,0.37362665395136246,1.7849928,ATG7,0.376544,0.025688862810131954,2.8143127,SLC35B2,1.2140846,1.0,0.099161655,APOBEC4,0.0,1.0,0.0,PPP1R3C,4.453684,0.27390534059779154,2.0371256
HEATR5B,0.64541864,5.365786619267969e-17,8.681605,ANO9,3.4718115,1.0,0.3445434,MAEA,0.56367433,0.0005624814149256007,3.958163,Z82206.1,4.473524,0.0018782437411317874,3.4207494,ASRGL1,1.0931091,0.5078118946488255,1.2689427,RRP1,0.6691598,4.028575352271397e-37,12.934522,SUSD3,1.3937414,0.37409542486205793,1.78418,GADD45A,0.23476368,0.025689776257297025,2.814087,CABLES1,0.6329332,1.0,0.09745955,MT1B,0.0,1.0,0.0,PACSIN3,4.222933,0.27442298254221204,2.0361469
SIAH1,0.38847384,5.4618094396069345e-17,8.679502,LYG1,3.7557847,1.0,0.3445248,ELOC,0.6744987,0.0005649243458554778,3.957029,MANSC1,2.5100498,0.0019450690487599616,3.4109573,C3AR1,0.5168459,0.5078118946488255,1.2688954,ATP6V0C,0.59167886,4.182671904555008e-37,12.931577,NUP133,0.57230085,0.3745658569716775,1.7832062,WNK1,0.2703011,0.025864604953509614,2.811626,RIC1,0.21132304,1.0,0.096581034,KCNG4,0.0,1.0,0.0,SELENBP1,2.2274666,0.27456193769891724,2.0357852
NSDHL,0.46271622,5.46622315339748e-17,8.679323,ENAH,1.447628,1.0,0.34169647,RETSAT,0.8297809,0.0005664447973731302,3.9562883,LAMTOR1,0.12727508,0.0019487271104078332,3.410309,RASGRP2,1.9581662,0.5093969180440263,1.266793,MAPK13,0.48635677,4.6818617403327536e-37,12.922847,IPO11,0.5462671,0.37494880016100013,1.7826108,SCARB1,0.14461476,0.025951540364944903,2.8103595,DHX33,1.2046347,1.0,0.095592715,KLC3,0.0,1.0,0.0,FAM83H,2.5934927,0.2769398417603439,2.0317433
SNX8,0.37902817,5.772553380691331e-17,8.673033,SEPSECS,1.1001947,1.0,0.34167787,PPP1R14C,0.8504429,0.0005842514841489621,3.9486873,ADAMTS14,2.7507358,0.001975868404532813,3.4063087,PYROXD2,1.105049,0.5101770545657471,1.2655996,FNBP1,0.37904492,4.788095748208765e-37,12.9210615,SMC6,0.7613184,0.374989516727828,1.7824337,SLC15A4,0.39406723,0.026061507384773797,2.8086252,LRIG1,0.578928,1.0,0.09515346,LRRC18,0.0,1.0,0.0,ERLIN2,1.214019,0.27698077231419677,2.0315306
SASH3,0.37970477,6.051001198798015e-17,8.6675825,SPTBN2,3.1155877,1.0,0.34080333,NKAP,0.9595481,0.000617721117072179,3.9344428,MAGED1,1.0941334,0.0019975201403752024,3.4031057,CLEC4D,4.9643536,0.5105438181587539,1.2648487,PPP6R2,0.49743095,5.600440667158824e-37,12.908939,FAM102B,0.4250787,0.37762593841557063,1.7783295,COLEC12,0.15551697,0.026458458528737787,2.8027287,TDG,2.7558384,1.0,0.09476911,CX3CL1,0.0,1.0,0.0,RYK,0.6875102,0.2776419441313613,2.0300841
PNMA1,0.72505295,6.276422689039798e-17,8.663329,IPPK,1.7275704,1.0,0.34013346,TMEM268,1.1614432,0.0006188464329275141,3.933907,CPOX,1.3658037,0.0020020072859127922,3.402402,DBN1,1.9900807,0.5119308036668831,1.2626041,GTF2E2,0.5690054,5.646947753898809e-37,12.908243,WRNIP1,0.4184465,0.37853625767676635,1.7769694,SH3RF3,1.7458273,0.026464000211893105,2.8023818,ZNF92,1.1472391,1.0,0.09476911,ZBED2,0.0,1.0,0.0,SLC9A7,1.6166198,0.27854461675918885,2.0282545
KBTBD8,0.4714189,6.276439164687001e-17,8.663242,C2orf91,3.0995483,1.0,0.33854252,ELP5,0.9400638,0.0006467977875368431,3.9228873,NME7,1.3550012,0.002023722261413724,3.3992715,EID1,0.5000834,0.5139198058999895,1.2597431,TM6SF1,0.51345766,6.584357435161567e-37,12.89635,TTF1,1.1938888,0.37887053693608186,1.7763095,RRP12,0.39961687,0.026480855655648134,2.8018973,IFIT2,2.0644586,1.0,0.0946593,BRINP2,0.0,1.0,0.0,UBB,1.0290644,0.27876934299431444,2.0274887
NUS1,0.40348017,6.316141295164393e-17,8.662437,TASP1,1.8129809,1.0,0.33783543,TMEM106B,0.5911365,0.0006468394525712989,3.9227734,IL4R,1.9224144,0.0020255022277943704,3.3989859,MCM6,1.0392989,0.5139414727292568,1.259585,SNX6,0.49587083,6.800385413706354e-37,12.893802,ANAPC11,0.4851487,0.37920377169811725,1.7757784,TSC22D4,0.24855521,0.02667925375981834,2.7990232,PHC1,0.31821358,1.0,0.09449458,PCDH15,0.0,1.0,0.0,COLGALT1,0.53874063,0.27883912626564744,2.0272334
VAMP3,0.34813598,6.495668533104233e-17,8.659071,ADCY10,3.08683,1.0,0.3377331,EIF4E3,0.7972091,0.0006652602144756597,3.9156113,SSR2,0.24283592,0.0020485773433769425,3.3957956,LSM4,0.5188625,0.514146598293971,1.259174,NSA2,0.36775023,6.841936841067303e-37,12.893273,SLC25A5,0.5291689,0.3793777729642084,1.7754403,PAK2,0.25927222,0.027074299750549178,2.7937157,NCK2,2.1166322,1.0,0.09422004,CBLC,0.0,1.0,0.0,DKK1,5.1244507,0.27899429578085355,2.0268505
SVIL,0.54401636,6.529450147321619e-17,8.658393,MYPOP,2.3503127,1.0,0.33765867,NECTIN2,0.586996,0.0006664784023159373,3.914973,OSM,0.5274496,0.0020742192924567237,3.3922985,ST3GAL3,0.9615245,0.5158156206020007,1.2567792,MTIF2,0.5687062,7.196592394663557e-37,12.889317,AP3M1,0.45415395,0.3795784272093628,1.7750702,C5AR2,0.43400168,0.027280626885568267,2.7911665,YIF1B,1.1158385,1.0,0.094055325,LMOD2,0.0,1.0,0.0,TP53BP1,0.9756789,0.27932038571147627,2.0262122
IFIT1,0.80373085,6.551690316158565e-17,8.65792,CFAP70,2.873057,1.0,0.33764008,XBP1,0.34349558,0.0006730280197564467,3.9123178,TNS1,1.0986439,0.002096405172836114,3.3892918,FAM24B,1.5436977,0.5158156206020007,1.2567081,CDCA7L,1.179334,7.217220205445044e-37,12.889036,GTF2H1,0.5092762,0.3805483667769094,1.7733883,FKBP8,0.7454357,0.02735734808177293,2.7901645,CHD7,1.0752413,1.0,0.094000414,GPR17,0.0,1.0,0.0,TCEAL9,1.3499284,0.2795018573976029,2.025489
SASH1,3.6230397,6.721873914955597e-17,8.654909,WDR19,1.3992925,1.0,0.33729583,LYSMD3,0.64080536,0.0006741527099703995,3.9118164,SLC41A3,1.4921755,0.0021293542206209095,3.384741,KRT10,1.2135453,0.5180472775529195,1.2537917,HAGH,0.3863989,7.611142235368914e-37,12.884878,CSTF3,0.62588423,0.38073621249434125,1.7730342,LYRM1,0.21536288,0.0276643926284561,2.7859912,RHBDD1,0.6844239,1.0,0.09394551,MUC15,0.0,1.0,0.0,C5orf24,0.96351326,0.2795576692294879,2.025255
SNUPN,0.6317124,6.746272324362213e-17,8.65441,BLOC1S3,1.9142939,1.0,0.33710045,IGBP1,0.46609247,0.0006758136517342702,3.9109275,EIF3D,0.6110454,0.0021590681964656954,3.3807535,HOMER2,0.71009165,0.5187293746971711,1.2526377,ELMO2,0.4921639,8.050338273569892e-37,12.880489,ZNF738,1.142078,0.3839333449421343,1.7682942,TRAK1,0.1512253,0.027918034949232128,2.7825665,DRG2,0.7102259,1.0,0.09367098,NXPH1,0.0,1.0,0.0,LMF1,1.7598138,0.2800379157533789,2.0240424
HMG20B,0.35068187,6.859615106270202e-17,8.652424,DENND2C,2.1749668,1.0,0.33707255,GON4L,0.677855,0.0006779817760265436,3.9100559,EMB,0.71247655,0.0021630832195135004,3.3801522,TCTN3,1.4093893,0.5195319471962977,1.2516656,RHOF,0.82416457,8.502714558028261e-37,12.87621,BCL2A1,0.15823781,0.3845091981969445,1.7670951,OSM,0.31571713,0.028727845874912866,2.7727168,OSGEP,0.563837,1.0,0.09290228,NPHS2,0.0,1.0,0.0,PIEZO1,1.9243133,0.2800653956697531,2.0237446
LILRB5,1.6626172,7.059715096706006e-17,8.649056,LRCH3,1.2521381,1.0,0.33686787,CTBP2,0.3801339,0.0006865367612927032,3.9069276,SPINDOC,1.5299681,0.0022093680603181387,3.3741472,KIAA1217,0.85899246,0.5195960865432829,1.2515155,RDX,0.33673313,9.442347485369861e-37,12.868056,TRRAP,0.37504867,0.38541888743926717,1.7657511,RNF10,0.2504241,0.0289762805263551,2.769727,ATN1,1.1736802,1.0,0.09284738,C7orf77,0.0,1.0,0.0,STMN3,4.3327727,0.28027840458472714,2.0232766
NDUFB5,0.3465531,7.361818223633007e-17,8.644187,SSC4D,2.6385524,1.0,0.3360212,TPD52,1.198193,0.0006881369077495353,3.9062667,EGR1,0.4363505,0.002218228123767145,3.373,CHAF1B,2.3747382,0.5212114689902352,1.2493262,LPL,1.8016689,1.0390050599721972e-36,12.860606,MTRF1,0.6494852,0.3856908455572019,1.7652924,FCGR1A,0.7172988,0.029367106067638937,2.765174,AGBL5,0.5061663,1.0,0.09191396,AC011005.1,0.0,1.0,0.0,ARHGAP24,1.9162347,0.2809049731086004,2.0220428
NME4,0.5641355,7.862288095241988e-17,8.636587,FAM83H,2.120347,1.0,0.33587235,CLN8,0.44748268,0.0006945275335241868,3.9037368,ICAM3,1.0715603,0.0023079400693873024,3.3616128,RTKN2,6.531237,0.5215676918460055,1.248852,AGPAT2,0.51438344,1.0654161959057865e-36,12.858606,C1QB,0.42330122,0.3871368086662974,1.7630633,VBP1,0.49723268,0.02950085091169745,2.763412,NACC2,0.5540717,1.0,0.091749236,PRSS54,0.0,1.0,0.0,TEX10,0.93573487,0.28223634321850977,2.0199153
MCUB,1.3431903,8.194967136634902e-17,8.631763,NRN1L,3.3160148,1.0,0.33442098,ATG5,0.6695308,0.0006951132092007036,3.9034348,GLT8D1,1.5091348,0.0023266509743407266,3.3592842,SENP1,0.9794723,0.5219598651053985,1.2482592,APBB1IP,0.6480619,1.0685728380341118e-36,12.858318,SFXN5,0.67433417,0.3888456031976206,1.7605202,HIST2H2BE,0.493869,0.029710591541946565,2.7610059,SPOUT1,0.5432508,1.0,0.09169433,C6orf141,0.0,1.0,0.0,TMED3,1.2676088,0.2844076226718472,2.0162563
PARP9,0.43449783,8.210737793512004e-17,8.631458,N4BP3,1.8523674,1.0,0.33276492,NSFL1C,0.5696451,0.0007028511853237015,3.9003637,ZNF648,4.12167,0.0023266509743407266,3.3592715,FAM122B,0.72073704,0.5242945512206758,1.2451215,RANBP9,0.36642468,1.0910557198375279e-36,12.856649,CABLES1,0.87629575,0.3894732809725317,1.7593936,LYST,0.52762914,0.029737692665811843,2.760615,SLC39A1,2.2204409,1.0,0.09158452,CHP2,0.0,1.0,0.0,PTK2,1.1193321,0.2848525769714253,2.0151503
SLC25A43,0.7655771,8.543496612964004e-17,8.626828,TBC1D1,1.8221885,1.0,0.33256954,CNOT2,0.7455979,0.0007061637989137419,3.8991272,ATP2B4,0.8408489,0.002333062989111316,3.3584397,SGCB,1.652215,0.5256757223071937,1.243201,P2RY13,1.4631712,1.164371018356808e-36,12.851562,PIGF,0.5798519,0.390269846730775,1.7581946,NLRP2,1.2921505,0.02996728100943289,2.7576363,CEBPZOS,0.9208101,1.0,0.091474704,CEACAM16,0.0,1.0,0.0,SIX5,3.5330353,0.28821894248145896,2.009768
UBXN4,0.3579192,8.625724271125262e-17,8.625647,ZNF337,1.2478399,1.0,0.33228114,PSMF1,0.2959606,0.0007069419832383268,3.8987625,NEURL1,3.9878838,0.002398234786593583,3.3504987,SRGAP3,2.981688,0.5260700349102219,1.242466,HTATIP2,0.4186049,1.1853949615159927e-36,12.850118,RIBC2,3.9593203,0.3917086056433266,1.7561102,OPLAH,0.659146,0.030140376246023427,2.7556598,LRIG2,0.5258936,1.0,0.09120017,TAGLN3,0.0,1.0,0.0,ETAA1,1.1729261,0.28821894248145896,2.0094702
AC118549.1,0.6705066,8.70602351444984e-17,8.6245,TNFAIP3,0.14375988,1.0,0.3321602,COPE,0.47464526,0.0007203602850385316,3.8940105,STX1A,2.5339592,0.0024545008777292067,3.343888,RFC5,1.7981417,0.5272601863815116,1.240901,SLC27A4,0.78318447,1.2239074365008457e-36,12.847586,NSD1,0.30486673,0.393565932304693,1.7531568,TYK2,0.38986298,0.031110729962071423,2.7443454,WDR44,0.5395463,1.0,0.09076092,TDRD5,0.0,1.0,0.0,ATP5F1E,0.80521286,0.28821894248145896,2.0094702
HYAL2,0.53771716,8.87587526427947e-17,8.622203,FBXL12,1.4097817,1.0,0.33209506,KAT6B,0.854244,0.0007242545340593253,3.8924093,MAN2A1,0.7723628,0.002487640331503223,3.339892,WDR35,1.0099642,0.5285453956481277,1.2393283,CD58,0.40314952,1.248760005459336e-36,12.845971,FANCM,2.381512,0.3935965639077745,1.752867,LPAR1,0.45765463,0.0311975061027816,2.7433379,VPS9D1,2.071425,1.0,0.0906511,LRRTM3,0.0,1.0,0.0,TRIM8,0.6477078,0.28899060399337667,2.007896
SPNS1,0.4678407,9.217986712722559e-17,8.617786,REEP1,2.6493669,1.0,0.33111817,TNFRSF10B,0.77679014,0.0007342121114954755,3.8888028,TIAL1,0.57830364,0.0026545251759401943,3.3212674,CCDC7,1.0533642,0.5287107335887736,1.2390674,SMIM15,0.4029367,1.3615065502170615e-36,12.839221,PAXBP1,0.5970697,0.3936324035751556,1.7526981,CDIP1,0.39361778,0.03123733037919662,2.742826,LMBR1,1.0987519,1.0,0.0905962,CEACAM20,0.0,1.0,0.0,CASK,0.66654325,0.2897220056216299,2.0066836
TRAPPC2L,0.56702054,9.387254166321072e-17,8.615617,STX1B,2.3074238,1.0,0.33080184,TTC8,0.9330139,0.0007357100408834221,3.88821,MYL6B,1.372966,0.002702372210888639,3.3158212,KIF24,3.1203496,0.5359592419886385,1.2301048,USP9X,0.3911545,1.4555008330809098e-36,12.833993,PRKD3,0.85547566,0.39480678840165045,1.7509357,SZRD1,0.18425448,0.03157809051423724,2.738702,PLEKHA2,0.8621144,1.0,0.08949806,CHRDL2,0.0,1.0,0.0,CTSF,1.8029244,0.29026395001887045,2.0057476
TMEM51,1.7256423,9.50493022590715e-17,8.614104,SPIN3,2.3050158,1.0,0.33038318,GID8,0.5155418,0.0007437051615397635,3.8853896,ZDBF2,3.43037,0.0027618087281529795,3.3095987,XRCC2,3.6499698,0.5374614476326025,1.2280736,SYS1,0.8879591,1.5718705809618147e-36,12.827916,LRRC8C,0.91432756,0.39577298104556385,1.7492939,GLB1,0.16086094,0.03219245665396831,2.731429,KCTD10,1.3587596,1.0,0.089388244,ANTXRL,0.0,1.0,0.0,FITM2,2.05214,0.2913218850604546,2.004067
PLCB2,0.36334798,9.643761380227682e-17,8.612357,ZNF623,1.5582932,1.0,0.32926676,MTPAP,0.7711645,0.0007443654851765251,3.8850763,EHD4,0.7033677,0.0029128743679377473,3.2942026,MLF1,0.94427,0.5393879740558506,1.2254891,USP30,1.1878294,1.720823938737697e-36,12.82084,RNPS1,0.39125732,0.39665177962591613,1.7478695,BRPF3,0.57579243,0.03251648276225564,2.727476,YRDC,0.2888943,1.0,0.08905881,SLC5A11,0.0,1.0,0.0,DEPTOR,3.9720824,0.29149765044460835,2.0036626
PI4KA,0.30071032,9.76635203654301e-17,8.610824,GBP2,0.8581836,1.0,0.32907137,METTL1,1.2542404,0.0007802700851858191,3.8732247,PKIB,4.207078,0.003105979744582168,3.2751513,CTNNBL1,0.7668092,0.5393879740558506,1.2253548,PGM1,0.4831018,1.7893990018292882e-36,12.817751,PNRC2,0.4672705,0.3971302854424883,1.7464371,PPP1CA,0.14084446,0.032921386347900636,2.7225537,KLF16,0.5361088,1.0,0.08905881,ZNF853,0.0,1.0,0.0,RASA3,0.63287956,0.29174724144139436,2.0031521
PITRM1,0.30883166,1.0485425530497855e-16,8.602506,PAQR6,1.5198935,1.0,0.3286713,ABCF1,0.6639177,0.0007874332928220141,3.8709,SLC2A3,0.16317043,0.00312378363179242,3.2733984,KCTD15,1.5656528,0.5430352744351057,1.2203677,VNN1,1.7881421,2.3425524905337307e-36,12.796786,ALG8,0.51000535,0.39725106136906035,1.7460427,PRR5L,1.0512391,0.03345078279107641,2.7164423,APAF1,2.1307154,1.0,0.08872937,DPT,0.0,1.0,0.0,TP53I3,1.1798885,0.2918337695044112,2.0027266
P4HA1,0.4613909,1.1327313438633654e-16,8.593531,NIBAN1,1.099576,1.0,0.32796422,ZCCHC7,1.0241445,0.0007902848070784713,3.869823,ELK4,0.8290193,0.003139265377693562,3.2718632,IGFL2,1.5750102,0.5443965474539462,1.2187395,PTPN9,0.5977689,2.381811740653057e-36,12.795436,C8orf88,1.7299974,0.4021622260094601,1.7385504,LEPROT,0.32929826,0.033686543435189065,2.713838,INO80E,1.1041574,1.0,0.08763123,TEDDM1,0.0,1.0,0.0,FBXO32,2.4638915,0.29192042524994266,2.0023863
GLA,0.41456217,1.1327313438633654e-16,8.59347,P2RX7,1.0341104,1.0,0.32758278,KEL,1.6658453,0.0007929980422496448,3.8687918,FGGY,1.9453422,0.0031692879525200605,3.2691252,ZNF85,1.5020446,0.5461991942090162,1.2162421,ACLY,0.771944,2.9456975694689227e-36,12.778801,B4GALT6,2.2032294,0.40332150292423885,1.7368283,AP5Z1,0.58725137,0.03368718572651807,2.713739,RHOBTB1,2.27972,1.0,0.08702725,TINAG,0.0,1.0,0.0,TCEAL3,1.8318249,0.29192042524994266,2.0023012
CRYL1,0.44819254,1.2024613354578978e-16,8.586435,CAV1,1.7076658,1.0,0.32679197,DDX54,0.6677843,0.0007970253443467454,3.8674583,CYP7B1,3.281215,0.003219927694531361,3.2643614,RPRD1A,0.88319933,0.546228304346755,1.2161313,DNAJC10,0.49899557,3.0337207631908065e-36,12.7764435,SLX4,1.0873692,0.40630148916812625,1.732048,CD37,0.11229922,0.03373898340523751,2.7129517,PDK3,1.728297,1.0,0.086862534,SLC26A3,0.0,1.0,0.0,SLC17A9,1.8529509,0.29227372250060163,2.0016418
ZDHHC8,0.80435956,1.2263820029160035e-16,8.584001,DUSP8,2.2691529,1.0,0.3256011,GLG1,0.8193201,0.0007972058417020317,3.8672476,ZNF518B,1.2642882,0.0032692730465953197,3.259866,IGLON5,1.3061178,0.5480496306505996,1.2137287,SRP72,0.41167238,3.0337207631908065e-36,12.776393,TCTN1,0.7872121,0.408683127717512,1.7285072,DDX3X,0.36217418,0.03379020997983211,2.7122633,ZBTB2,1.1207167,1.0,0.0857644,NXPH2,0.0,1.0,0.0,NRBP2,1.9891943,0.2923319176708505,2.0014076
LACTB2,0.44846955,1.2332628494765565e-16,8.583272,UNC5CL,3.4258978,1.0,0.3246149,UCK1,0.94989574,0.0008182721366139651,3.8605468,GATAD2B,0.97335756,0.0032855427600121294,3.258412,FAM124B,2.347381,0.5498166792228915,1.2115631,TMEM135,0.7639207,3.9071787511548416e-36,12.756634,ACSL3,0.18348858,0.40923090916392335,1.7275012,TMC6,0.60728943,0.03399525682122276,2.7100723,THAP7,2.3657656,1.0,0.08505061,DEFB133,0.0,1.0,0.0,PCYOX1,1.0949423,0.29272997937001993,2.0006845
