C0_names,C0_logfold,C0_pvals_adj,C0_z_score,C1_names,C1_logfold,C1_pvals_adj,C1_z_score,C2_names,C2_logfold,C2_pvals_adj,C2_z_score,C3_names,C3_logfold,C3_pvals_adj,C3_z_score,C4_names,C4_logfold,C4_pvals_adj,C4_z_score,C5_names,C5_logfold,C5_pvals_adj,C5_z_score,C6_names,C6_logfold,C6_pvals_adj,C6_z_score,C7_names,C7_logfold,C7_pvals_adj,C7_z_score,C8_names,C8_logfold,C8_pvals_adj,C8_z_score,C9_names,C9_logfold,C9_pvals_adj,C9_z_score,C10_names,C10_logfold,C10_pvals_adj,C10_z_score
CD74,2.1201668,0.0,38.33295,MT-ND6,4.5790143,1.6844962993959562e-67,17.707472,SEC31A,1.6873903,8.854806229253177e-135,24.96772,KIT,6.3562403,0.0,58.7224,SOCS2,3.0325198,4.601712806593079e-108,22.36358,MRC1,2.0662785,0.0,42.528442,DEK,2.0982163,1.4628906249287192e-70,18.160957,CCL4,2.6116319,4.420064586312093e-267,35.126152,PF4,14.9467,0.0011961585679522496,4.926347,CCL23,5.0488224,6.042187047224194e-48,14.977135,TIMP1,4.8034554,1.6266037459764086e-29,11.900995
C1QA,2.7579825,0.0,38.1733,NABP1,1.9820796,1.9402158630167725e-65,17.434605,TBC1D2,1.762157,1.4031759046597487e-126,24.199526,VWA5A,3.9347825,0.0,58.62031,CRIP1,3.343492,7.544291868279888e-105,22.024733,SAMHD1,1.8441583,0.0,41.99451,HMMR,5.4270473,6.83498845080242e-70,18.07204,LSP1,2.398468,6.921094404320104e-259,34.582733,GP1BB,11.616506,0.0011961585679522496,4.9246993,BTG2,1.7759864,1.1218898166316706e-44,14.457947,TPM1,5.842792,1.0551082479359893e-27,11.5297985
CTSB,1.542045,0.0,38.15625,APOE,2.3267748,6.3044573289335705e-62,16.962006,GPX4,0.9746783,6.788202542859781e-126,24.133003,ANXA1,2.5624886,0.0,57.972275,RAC2,1.8835618,4.968621066676773e-101,21.618279,UGCG,1.8302965,0.0,41.948425,TUBB,2.5534322,2.6691890460632333e-69,17.992908,CCL4L2,2.983075,4.9008397621171613e-256,34.39028,LTBP1,10.577045,0.0011961585679522496,4.9212403,CD69,2.7355106,3.6664309881248924e-43,14.206803,POSTN,10.103734,6.778954383576067e-27,11.358251
NRP2,2.8135448,0.0,37.716457,TRIM25,2.0132685,1.005922220954757e-59,16.65625,VIM,0.6498871,3.225308995398559e-123,23.873983,GLUL,2.068918,0.0,57.207706,CSF2RB,2.6577199,2.288383421520126e-100,21.546625,ENG,1.7152454,0.0,41.60068,S100A9,2.0486884,3.9126001248950644e-68,17.839916,CD14,2.1799076,5.396190537631252e-253,34.184017,LGALSL,7.118792,0.0017075290821401937,4.836409,NCF2,2.0315354,8.070818530328023e-41,13.80674,MAP1B,9.245443,7.366364793998281e-26,11.130011
LIPA,2.2389555,2.6842806610368057e-303,37.41502,PDXK,1.5447488,5.484344662528619e-54,15.82971,LAMP1,1.0037524,2.224277338096646e-121,23.69253,RGS13,5.8167334,0.0,56.55714,GCSAML,3.039268,2.0596446735429403e-97,21.226233,TGM2,2.185311,0.0,41.36628,HIST1H1B,3.3164728,6.325189094815594e-66,17.550013,CHI3L1,2.6324434,1.9132986447161393e-243,33.53311,ARHGAP21,5.8471236,0.0018198011121034578,4.7975354,ALAS1,2.9545755,1.6345471241046976e-36,13.052532,FSTL1,8.102069,1.3090288298311688e-25,11.071977
GPNMB,2.3131485,1.9025289993659244e-296,36.98959,PPARG,1.7054362,7.650284611156909e-54,15.806813,KDELR2,2.2547808,6.9520561655290095e-121,23.643276,SEMA7A,4.9285393,0.0,56.361534,PRG2,3.0947483,5.541003327225236e-94,20.84348,CD74,1.9840677,0.0,41.145115,TPX2,4.355452,1.4562725265280783e-65,17.499329,CYBB,1.9812969,1.5682270992431582e-232,32.773876,OAZ1,1.4835392,0.0018198011121034578,4.797041,CXCR4,2.4479578,8.514439721725325e-34,12.549457,IGFBP4,7.973834,1.3090288298311688e-25,11.070849
IFI27,3.6559913,3.4859098896014866e-296,36.971592,TNFAIP2,2.3736567,2.292581876414604e-53,15.733779,RHOQ,1.3078784,1.0585770529758365e-119,23.525736,MS4A2,4.9907603,0.0,55.202866,CLC,5.4946117,6.75113090319407e-94,20.833189,COLEC12,1.9740052,0.0,41.12047,ACTB,0.92126924,4.052715022626376e-62,17.035452,GRINA,1.3589706,3.915725469441839e-230,32.60331,PLEK,3.3789523,0.0019984673531351894,4.7435617,MXD1,3.5488172,2.1348745433236663e-33,12.474603,ABI3BP,9.555987,6.048271350757235e-25,10.925596
PSAP,1.6846244,2.4193086213963516e-295,36.917645,ZFYVE16,1.898324,2.786231949582198e-53,15.7205305,SOD2,1.5033284,1.2487286846215464e-116,23.22258,ACSL4,3.251434,0.0,54.914486,MS4A3,5.0141087,1.826812686254395e-91,20.559996,PLPP3,1.8670732,0.0,40.154972,MYBL2,5.0750732,1.2572642984671094e-61,16.966228,IER3,1.9631805,3.329485734779721e-227,32.394184,TMSB4X,1.7680792,0.003615240184383421,4.6012983,ARL4C,3.6883378,5.450006144709274e-31,12.007243,MXRA7,4.85494,7.203928856530615e-25,10.90628
ADTRP,2.1391883,3.439938583449308e-290,36.59361,SLC11A1,2.5350258,8.769721640363832e-45,14.399798,SEC13,1.8886882,2.104101070669104e-116,23.199053,RAB27B,5.5781393,0.0,54.288162,IL1RL1,2.6942232,2.2860058759633787e-88,20.210186,HS3ST2,1.9305221,0.0,39.623966,TMEM106C,2.962036,1.905461893656277e-61,16.93905,NFKBIA,1.6356462,4.2421028057041815e-227,32.385044,ZYX,3.2357697,0.00521522922869021,4.514546,S100A8,2.3657587,2.540943159261146e-29,11.673432,SERPINE1,4.508625,7.495199590386261e-25,10.899366
SPARC,2.3453953,6.750244799694955e-290,36.57379,KLF6,1.2051654,1.5445992339118012e-44,14.359979,ZFYVE16,1.3660499,2.68468921802954e-116,23.187504,NR4A2,3.6973684,0.0,53.98888,SEMA7A,2.573944,7.090409602683748e-86,19.921177,ARRDC4,1.5723219,0.0,39.323685,STMN1,2.8637757,3.224152028492475e-61,16.90546,BCL2A1,1.4305319,7.627853109448572e-217,31.645092,ITGA2B,4.7289686,0.006047160361837955,4.473585,BIRC3,3.2087238,3.580222944028848e-28,11.438885,COL5A1,8.456813,1.0304776475064401e-24,10.867158
CES1,2.5479336,6.245011194407513e-288,36.44855,FNDC3B,1.7129824,1.0359436251133889e-40,13.718145,PLPP3,1.484911,1.8433698518020857e-113,22.902534,SRGN,1.9060303,0.0,53.827995,SFXN1,3.2255785,3.8269624972776444e-84,19.717567,SCD,1.8761199,0.0,39.130306,MCM7,3.5968676,1.772355624275603e-60,16.80218,NAMPT,1.7342925,4.4686948465242975e-214,31.441782,FERMT3,2.7716503,0.007115419650123363,4.42071,ADAM8,5.130632,1.2503333105801095e-27,11.3248205,GREM1,9.873507,4.560185808590339e-24,10.724415
BHLHE41,1.9891846,1.0619120811808978e-253,34.218304,KYNU,3.183812,2.5062045601811222e-39,13.477058,FABP3,1.8848656,1.1393470400953977e-112,22.822012,HDC,4.8024673,0.0,53.545856,HPGD,2.8428714,7.040196954484255e-84,19.686008,CLEC4A,1.9099203,0.0,39.12295,TUBA1B,1.7169015,7.176713367705971e-59,16.57878,AQP9,1.941466,1.0401305535048498e-209,31.119238,PTGS1,3.8863702,0.007310191249641339,4.406379,TRIB1,2.6040626,2.1331346856530062e-27,11.276692,BGN,8.978237,6.684025108603175e-23,10.46737
IL7R,3.5758283,1.0685949175754483e-241,33.400257,MT-CYB,5.1361046,6.381283226110484e-39,13.405076,RAB18,1.3833866,1.5470191960700983e-112,22.807648,RAC2,2.5487523,0.0,53.03564,ITGA2B,2.7166388,4.75969520539339e-81,19.346891,IFI30,1.9269117,0.0,38.99182,TK1,4.533704,4.7419733550356985e-55,16.039055,NINJ1,1.4795681,1.6235490299996553e-209,31.103573,TUBB1,13.243246,0.007470211105748528,4.3780475,TXNIP,1.6170746,2.1526356143288597e-25,10.847586,CALU,2.755172,1.825734420410698e-22,10.366174
EPHX1,1.8610127,2.846896907471263e-237,33.09275,PIK3R5,2.100429,2.083193143038755e-38,13.313816,LONP1,2.1335225,2.4596126729645698e-110,22.581892,FCER1A,4.719516,0.0,52.479973,LAPTM5,1.2504648,4.75969520539339e-81,19.346426,SORT1,1.6005576,0.0,38.85068,TCF19,4.184459,4.062649960305188e-54,15.902729,FPR2,4.4389896,1.144090115291259e-202,30.591625,C2orf88,12.844772,0.007470211105748528,4.377938,CST7,2.132822,8.310949291690192e-25,10.717652,CTHRC1,10.810035,2.8866408158823168e-22,10.319585
