Cluster,Gene,Score,Adjusted p-value
4,SLCO2B1,-13.96359,2.7102378895263175e-43
4,PCID2,-13.97022,2.4707986148872123e-43
4,PRMT1,-13.97303,2.3765862019228727e-43
4,SELENOS,-13.978682,2.197734316689875e-43
4,THOP1,-13.979419,2.1763658535431127e-43
4,CARM1,-13.981278,2.1214679521666525e-43
4,AC118549.1,-14.004351,1.5354067348217087e-43
4,SLC5A3,-14.00648,1.490928276851907e-43
4,PAK1IP1,-14.008342,1.4540413774483349e-43
4,TMED10,-14.010419,1.4129578699003405e-43
4,PARL,-14.015791,1.3122996933752795e-43
4,SNRPB,-14.032314,1.040261402549134e-43
4,LRP12,-14.034119,1.0147176745478603e-43
4,EXO1,-14.041578,9.144103444394754e-44
4,IBTK,-14.043993,8.842944418794625e-44
4,LARP4,-14.060556,7.002660569798319e-44
4,NCOR2,-14.067458,6.355524444941133e-44
4,ABCC4,-14.07464,5.745064180029514e-44
4,NDUFB2,-14.096163,4.241227808721258e-44
4,ZGRF1,-14.097389,4.170591068368083e-44
4,PRPF31,-14.0983305,4.117777272382594e-44
4,BLVRA,-14.09897,4.082976553456637e-44
4,SIN3A,-14.119096,3.072964978401821e-44
4,GOLT1B,-14.1199465,3.037910819697886e-44
4,EIF3D,-14.12286,2.916568273686649e-44
4,MAF1,-14.127464,2.7352498145142413e-44
4,TOMM22,-14.135556,2.442638550023774e-44
4,EFTUD2,-14.14507,2.1362850807225492e-44
4,SMARCA5,-14.14636,2.0987022898485904e-44
4,SGO1,-14.156106,1.8303402197593548e-44
4,POLR1A,-14.157711,1.7900770464341871e-44
4,TSPAN4,-14.159517,1.7456799258913518e-44
4,ACADVL,-14.163554,1.649200800534438e-44
4,RMI2,-14.164165,1.6359113859679195e-44
4,ATAD2,-14.168864,1.530952809453798e-44
4,YEATS4,-14.171401,1.4775123136027576e-44
4,TXNDC15,-14.176551,1.3738210743882472e-44
4,RBX1,-14.185853,1.2039829369331216e-44
4,UGGT2,-14.188891,1.1536185505621194e-44
4,GCN1,-14.228028,6.601408475541594e-45
4,LRR1,-14.22936,6.480826905435897e-45
4,HIGD2A,-14.229585,6.463835817286948e-45
4,ADRM1,-14.234759,6.009980958798395e-45
4,NIPSNAP3A,-14.244371,5.243930246564823e-45
4,APPL1,-14.246158,5.114645514481609e-45
4,CYBRD1,-14.255846,4.457356659805322e-45
4,RTRAF,-14.266512,3.8324847118731354e-45
4,SLC35B1,-14.268777,3.712238240515367e-45
4,HAGH,-14.271184,3.588483574730761e-45
4,PAM16,-14.275692,3.3658071660554946e-45
4,TMEM38B,-14.280866,3.1268803662980154e-45
4,AGPAT5,-14.2867,2.877434647750353e-45
4,BMI1,-14.287855,2.831843870441811e-45
4,TMEM97,-14.295209,2.549572586961072e-45
4,CCNY,-14.30237,2.3030613592699415e-45
4,ATP1A1,-14.30844,2.11189976499893e-45
4,NEDD8,-14.317938,1.844476128774538e-45
4,ECI1,-14.319287,1.8101043149603518e-45
4,AKIP1,-14.333971,1.4669905889547197e-45
4,PDCL3,-14.336398,1.417440834531408e-45
4,PRKCSH,-14.347482,1.2096678604448897e-45
