l1 labels,source label,positive gene marker,positive protein marker,negative gene marker,negative protein marker,source,link,notes
,Late Erythroid Progenitor,"GATA1, HBB, MKI67, TFRC",CD71,,,Aishwarya Chander,,
,Lymphoid-primed Multipotent Progenitor,"FLT3, HOXA9, PROM1, SELL, MKI67, CD38",CD38,,,Aishwarya Chander,,
,Megakaryocyte Progenitor,"MEF2C, PBX1, MKI67, CD84",CD84,,,Aishwarya Chander,,
,Common Myeloid Progenitor,"MPO, CEBPA, SPI1, CEBPD, CSF3R, MKI67, CD33, CD38, CD84","CD33, CD38, CD84",,,Aishwarya Chander,,
,CD4+ Memory T Cell,"CD4, KLRB1, CCR6, CD82, CCR7, KLRG1, GKMZ, LTB, CD27, PTPRC, B3GAT1","CD4, CD27, CD45RO, CD45RA, CD57",,,Aishwarya Chander,,
,CD4+ Naive T Cell,"CD4, CCR7, SELL, AIF1, CD27","CD4, CD27",,,Aishwarya Chander,,
,CD8+ Memory T Cell,"CD8A, CCR7, GNLY, ADGRG1, ITGAM, KLRC3, CD27, PTPRC, B3GAT1","CD8, CD27, CD45RO, CD45RA, CD57",,,Aishwarya Chander,,
,CD8+ Naive T Cell,"CD8A, CCR7, SELL, AIF1, CD27","CD8, CD197, CD27",,,Aishwarya Chander,,
,Double Negative T Cell,"LGALS3, CD4, CD8A, NCR1","CD4 (neg), CD8 (neg), CD335",,,Aishwarya Chander,,
,Gamm-Delta T Cell,"KLRB1, TRDC, GZMK, IL32, DUSP2, NKG7, CD3D, CD3E, CD3G, CD8A","CD3, CD8",,,Aishwarya Chander,,
,Mucosal-associated Invariant T Cells,KLRB1,CD161,,,Aishwarya Chander,,
,Proliferating T/Natural Killer Cell,"MKI67, KLRD1, CD3D, CD3E, CD3G",CD3,,,Aishwarya Chander,,
,Regulatory T Cell,"FOXP3, TRAC, IKZF2, IL2RA, FOXP1, ITGAE, RTKN2, CD69, PTPRC, CD27","CD45RO, CD45RA, CD69, CD25, CD27",,,Aishwarya Chander,,
,HSPC,"PDPN, CD34, SPINK2, OXPHOS",,,,"Bandyopadhyay S, Duffy MP, Ahn KJ, Sussman JH, Pang M, Smith D, Duncan G, Zhang I, Huang J, Lin Y, Xiong B, Imtiaz T, Chen CH, Thadi A, Chen C, Xu J, Reichart M, Martinez Z, Diorio C, Chen C, Pillai V, Snaith O, Oldridge D, Bhattacharyya S, Maillard I, Carroll M, Nelson C, Qin L, Tan K. Mapping the cellular biogeography of human bone marrow niches using single-cell transcriptomics and proteomic imaging. Cell. 2024 Jun 6;187(12):3120-3140.e29. doi: 10.1016/j.cell.2024.04.013. Epub 2024 May 6. PMID: 38714197; PMCID: PMC11162340.",https://www.cell.com/cell/fulltext/S0092-8674(24)00408-2?rss=yes&s=09,
,Myeloid,"CD68, VCAM1, HIF1A, CD15, CD141, VECAD, CD14",,,,"Bandyopadhyay S, Duffy MP, Ahn KJ, Sussman JH, Pang M, Smith D, Duncan G, Zhang I, Huang J, Lin Y, Xiong B, Imtiaz T, Chen CH, Thadi A, Chen C, Xu J, Reichart M, Martinez Z, Diorio C, Chen C, Pillai V, Snaith O, Oldridge D, Bhattacharyya S, Maillard I, Carroll M, Nelson C, Qin L, Tan K. Mapping the cellular biogeography of human bone marrow niches using single-cell transcriptomics and proteomic imaging. Cell. 2024 Jun 6;187(12):3120-3140.e29. doi: 10.1016/j.cell.2024.04.013. Epub 2024 May 6. PMID: 38714197; PMCID: PMC11162340.",https://www.cell.com/cell/fulltext/S0092-8674(24)00408-2?rss=yes&s=09,
,Lymphoid,"CD4, CD8, CD79A, PAX5, CD117, CD45, CD3E, CD19, CD45RA, BCL2, GATA1, CXCR4",,,,"Bandyopadhyay S, Duffy MP, Ahn KJ, Sussman JH, Pang M, Smith D, Duncan G, Zhang I, Huang J, Lin Y, Xiong B, Imtiaz T, Chen CH, Thadi A, Chen C, Xu J, Reichart M, Martinez Z, Diorio C, Chen C, Pillai V, Snaith O, Oldridge D, Bhattacharyya S, Maillard I, Carroll M, Nelson C, Qin L, Tan K. Mapping the cellular biogeography of human bone marrow niches using single-cell transcriptomics and proteomic imaging. Cell. 2024 Jun 6;187(12):3120-3140.e29. doi: 10.1016/j.cell.2024.04.013. Epub 2024 May 6. PMID: 38714197; PMCID: PMC11162340.",https://www.cell.com/cell/fulltext/S0092-8674(24)00408-2?rss=yes&s=09,
,Meg/E,"CD49F, TGFB1, CD61, FOXC1, GYPC, CD10, CD44",,,,"Bandyopadhyay S, Duffy MP, Ahn KJ, Sussman JH, Pang M, Smith D, Duncan G, Zhang I, Huang J, Lin Y, Xiong B, Imtiaz T, Chen CH, Thadi A, Chen C, Xu J, Reichart M, Martinez Z, Diorio C, Chen C, Pillai V, Snaith O, Oldridge D, Bhattacharyya S, Maillard I, Carroll M, Nelson C, Qin L, Tan K. Mapping the cellular biogeography of human bone marrow niches using single-cell transcriptomics and proteomic imaging. Cell. 2024 Jun 6;187(12):3120-3140.e29. doi: 10.1016/j.cell.2024.04.013. Epub 2024 May 6. PMID: 38714197; PMCID: PMC11162340.",https://www.cell.com/cell/fulltext/S0092-8674(24)00408-2?rss=yes&s=09,
,Mesenchymal,"CD90, VIM, CXCL12, BCAT, CD271, CD146, ASMA, CD49F",,,,"Bandyopadhyay S, Duffy MP, Ahn KJ, Sussman JH, Pang M, Smith D, Duncan G, Zhang I, Huang J, Lin Y, Xiong B, Imtiaz T, Chen CH, Thadi A, Chen C, Xu J, Reichart M, Martinez Z, Diorio C, Chen C, Pillai V, Snaith O, Oldridge D, Bhattacharyya S, Maillard I, Carroll M, Nelson C, Qin L, Tan K. Mapping the cellular biogeography of human bone marrow niches using single-cell transcriptomics and proteomic imaging. Cell. 2024 Jun 6;187(12):3120-3140.e29. doi: 10.1016/j.cell.2024.04.013. Epub 2024 May 6. PMID: 38714197; PMCID: PMC11162340.",https://www.cell.com/cell/fulltext/S0092-8674(24)00408-2?rss=yes&s=09,
